module_id	TF	motif_database	log_odds_ratio	pvalue	qvalue	motif_hit_count	background_hit_count	note
M05	DUX4	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	DUXA	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	TPRX1	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	TPRX2	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	LEUTX	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	ZSCAN4	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	ZSCAN4C	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	ZSCAN4D	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	KLF17	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	TFAP2C	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	POU5F1	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	SOX2	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	NANOG	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	TEAD4	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
M05	GATA3	JASPAR_or_HOCOMOCO_or_CISBP						Fill from HOMER/FIMO/module-specific motif enrichment against matched background.
