biological_theme	source	term_id	term_name	p_value_gprofiler	minus_log10_p	intersection_size	representative_genes
wnt_cadherin_signaling	KEGG	KEGG:04519	Cadherin signaling	0.0178067423599357	1.7494155249224108	6	PCDH17,DSC1,WNT5B,ATN1,KRT25,WNT7B
development_and_patterning	GO:BP	GO:0048513	animal organ development	0.0462881793376206	1.3345299010745026	15	FSHR,DSC1,ANK2,WNT5B,NR2F2,ABLIM1,ATN1,ALX4,KRT25,PNPLA1,CRYBA2,WNT7B,SMYD1,HOXD10,NKX2-5
development_and_patterning	GO:BP	GO:0003002	regionalization	0.0890693901371502	1.0502715213115201	6	NR2F2,GREM2,ALX4,WNT7B,HOXD10,NKX2-5
development_and_patterning	GO:BP	GO:0098773	skin epidermis development	0.1124397687664598	0.9490800561947446	4	DSC1,ALX4,KRT25,PNPLA1
development_and_patterning	GO:BP	GO:0061061	muscle structure development	0.1430185930189517	0.8446074987543232	7	ANK2,WNT5B,NR2F2,ALX4,SMYD1,HOXD10,NKX2-5
development_and_patterning	GO:BP	GO:0007389	pattern specification process	0.1576936986003847	0.8021856606201057	6	NR2F2,GREM2,ALX4,WNT7B,HOXD10,NKX2-5
development_and_patterning	GO:BP	GO:0045165	cell fate commitment	0.1823859152781007	0.7390087030316316	5	WNT5B,NR2F2,WNT7B,HOXD10,NKX2-5
development_and_patterning	GO:BP	GO:0048856	anatomical structure development	0.3268645914534339	0.48563212306990494	20	PCDH17,FSHR,DSC1,ANK2,CCDC146,WNT5B,NR2F2,GREM2,ABLIM1,ATN1,ARID3C,ALX4,KRT25,PNPLA1,CRYBA2,WNT7B,SMOC2,SMYD1,HOXD10,NKX2-5
wnt_cadherin_signaling	REAC	REAC:R-HSA-3238698	WNT ligand biogenesis and trafficking	0.3527646722905891	0.4525149138958743	2	WNT5B,WNT7B
development_and_patterning	GO:BP	GO:0032502	developmental process	0.3725389285659013	0.42882833881365956	21	PCDH17,FSHR,DSC1,ANK2,CCDC146,WNT5B,NR2F2,GREM2,ABLIM1,ATN1,ARID3C,ALX4,KRT25,PNPLA1,CRYBA2,WNT7B,SMOC2,DAPL1,SMYD1,HOXD10,NKX2-5
development_and_patterning	GO:BP	GO:0070307	lens fiber cell development	0.3822276997997034	0.41767784309405687	2	WNT5B,WNT7B
wnt_cadherin_signaling	WP	WP:WP4150	Wnt signaling in kidney disease	0.4130879600649043	0.3839574628631009	2	WNT5B,WNT7B
development_and_patterning	GO:BP	GO:0007517	muscle organ development	0.4579130364385937	0.33921699226013263	5	NR2F2,ALX4,SMYD1,HOXD10,NKX2-5
