line_no	line
1	"!Series_title	""Preconception Urinary Phthalate Concentrations and Sperm DNA Methylation Profiles among Men Undergoing IVF Treatment: A Cross-Sectional Study"""
2	"!Series_geo_accession	""GSE102970"""
4	"!Series_submission_date	""Aug 23 2017"""
40	"!Sample_title	""Sperm from participant 1_S1""	""Sperm from participant 2_S2""	""Sperm from participant 3_S3""	""Sperm from participant 4_S4""	""Sperm from participant 5_S5""	""Sperm from participant 6_S6""	""Sperm from participant 7_S7""	""Sperm from participant 8_S8""	""Sperm from participant 9_S9""	""Sperm from participant 10_S10""	""Sperm from participant 11_S11""	""Sperm from participant 12_S12""	""Sperm from participant 13_S13""	""Sperm from participant 14_S14""	""Sperm from participant 15_S15""	""Sperm from participant 16_S16""	""Sperm from participant 17_S17""	""Sperm from participant 18_S18""	""Sperm from participant 19_S19""	""Sperm from participant 20_S20""	""Sperm from participant 21_S21""	""Sperm from participant 22_S22""	""Sperm from participant 23_S23""	""Sperm from participant 24_S24""	""Sperm from participant 25_S25""	""Sperm from participant 26_S26""	""Sperm from participant 27_S27""	""Sperm from participant 28_S28""	""Sperm from participant 29_S29""	""Sperm from participant 30_S30""	""Sperm from participant 31_S31""	""Sperm from participant 32_S32""	""Sperm from participant 33_S33""	""Sperm from participant 34_S34""	""Sperm from participant 35_S35""	""Sperm from participant 36_S36""	""Sperm from participant 37_S37""	""Sperm from participant 38_S38""	""Sperm from participant 39_S39""	""Sperm from participant 40_S40""	""Sperm from participant 41_S41""	""Sperm from participant 42_S42""	""Sperm from participant 43_S43""	""Sperm from participant 44_S44""	""Sperm from participant 45_S45""	""Sperm from participant 46_S46""	""Sperm from participant 47_S47""	""Sperm from participant 48_S48"""
41	"!Sample_geo_accession	""GSM2751783""	""GSM2751784""	""GSM2751785""	""GSM2751786""	""GSM2751787""	""GSM2751788""	""GSM2751789""	""GSM2751790""	""GSM2751791""	""GSM2751792""	""GSM2751793""	""GSM2751794""	""GSM2751795""	""GSM2751796""	""GSM2751797""	""GSM2751798""	""GSM2751799""	""GSM2751800""	""GSM2751801""	""GSM2751802""	""GSM2751803""	""GSM2751804""	""GSM2751805""	""GSM2751806""	""GSM2751807""	""GSM2751808""	""GSM2751809""	""GSM2751810""	""GSM2751811""	""GSM2751812""	""GSM2751813""	""GSM2751814""	""GSM2751815""	""GSM2751816""	""GSM2751817""	""GSM2751818""	""GSM2751819""	""GSM2751820""	""GSM2751821""	""GSM2751822""	""GSM2751823""	""GSM2751824""	""GSM2751825""	""GSM2751826""	""GSM2751827""	""GSM2751828""	""GSM2751829""	""GSM2751830"""
43	"!Sample_submission_date	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017""	""Aug 23 2017"""
49	"!Sample_characteristics_ch1	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male""	""Sex: male"""
50	"!Sample_characteristics_ch1	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm""	""tissue: Sperm"""
51	"!Sample_characteristics_ch1	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction""	""tissue subtype: Enriched motile fraction"""
58	"!Sample_scan_protocol	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting""	""Arrays were imaged using BeadArray Reader using standard recommended Illumina scanner setting"""
