source	top_k	iteration	random_mean
8cell_2pn	10	0	0.1
8cell_2pn	10	1	0.2
8cell_2pn	10	2	0.1
8cell_2pn	10	3	0.0
8cell_2pn	10	4	0.2
8cell_2pn	10	5	0.1
8cell_2pn	10	6	0.1
8cell_2pn	10	7	0.1
8cell_2pn	10	8	0.0
8cell_2pn	10	9	0.1
8cell_2pn	10	10	0.0
8cell_2pn	10	11	0.1
8cell_2pn	10	12	0.3
8cell_2pn	10	13	0.2
8cell_2pn	10	14	0.1
8cell_2pn	10	15	0.3
8cell_2pn	10	16	0.2
8cell_2pn	10	17	0.2
8cell_2pn	10	18	0.1
8cell_2pn	10	19	0.2
8cell_2pn	10	20	0.2
8cell_2pn	10	21	0.0
8cell_2pn	10	22	0.0
8cell_2pn	10	23	0.1
8cell_2pn	10	24	0.1
8cell_2pn	10	25	0.4
8cell_2pn	10	26	0.1
8cell_2pn	10	27	0.1
8cell_2pn	10	28	0.0
8cell_2pn	10	29	0.2
8cell_2pn	10	30	0.3
8cell_2pn	10	31	0.1
8cell_2pn	10	32	0.0
8cell_2pn	10	33	0.1
8cell_2pn	10	34	0.0
8cell_2pn	10	35	0.1
8cell_2pn	10	36	0.0
8cell_2pn	10	37	0.1
8cell_2pn	10	38	0.0
8cell_2pn	10	39	0.0
8cell_2pn	10	40	0.3
8cell_2pn	10	41	0.2
8cell_2pn	10	42	0.2
8cell_2pn	10	43	0.0
8cell_2pn	10	44	0.0
8cell_2pn	10	45	0.2
8cell_2pn	10	46	0.0
8cell_2pn	10	47	0.2
8cell_2pn	10	48	0.3
8cell_2pn	10	49	0.1
8cell_2pn	10	50	0.1
8cell_2pn	10	51	0.2
8cell_2pn	10	52	0.3
8cell_2pn	10	53	0.0
8cell_2pn	10	54	0.1
8cell_2pn	10	55	0.1
8cell_2pn	10	56	0.1
8cell_2pn	10	57	0.0
8cell_2pn	10	58	0.1
8cell_2pn	10	59	0.0
8cell_2pn	10	60	0.1
8cell_2pn	10	61	0.3
8cell_2pn	10	62	0.2
8cell_2pn	10	63	0.3
8cell_2pn	10	64	0.2
8cell_2pn	10	65	0.2
8cell_2pn	10	66	0.2
8cell_2pn	10	67	0.1
8cell_2pn	10	68	0.3
8cell_2pn	10	69	0.1
8cell_2pn	10	70	0.2
8cell_2pn	10	71	0.1
8cell_2pn	10	72	0.1
8cell_2pn	10	73	0.2
8cell_2pn	10	74	0.0
8cell_2pn	10	75	0.2
8cell_2pn	10	76	0.3
8cell_2pn	10	77	0.1
8cell_2pn	10	78	0.1
8cell_2pn	10	79	0.1
8cell_2pn	10	80	0.1
8cell_2pn	10	81	0.0
8cell_2pn	10	82	0.0
8cell_2pn	10	83	0.1
8cell_2pn	10	84	0.2
8cell_2pn	10	85	0.2
8cell_2pn	10	86	0.2
8cell_2pn	10	87	0.0
8cell_2pn	10	88	0.0
8cell_2pn	10	89	0.1
8cell_2pn	10	90	0.1
8cell_2pn	10	91	0.0
8cell_2pn	10	92	0.1
8cell_2pn	10	93	0.3
8cell_2pn	10	94	0.4
8cell_2pn	10	95	0.1
8cell_2pn	10	96	0.2
8cell_2pn	10	97	0.1
8cell_2pn	10	98	0.2
8cell_2pn	10	99	0.1
8cell_2pn	10	100	0.2
8cell_2pn	10	101	0.0
8cell_2pn	10	102	0.0
8cell_2pn	10	103	0.2
8cell_2pn	10	104	0.2
8cell_2pn	10	105	0.0
8cell_2pn	10	106	0.2
8cell_2pn	10	107	0.2
8cell_2pn	10	108	0.4
8cell_2pn	10	109	0.0
8cell_2pn	10	110	0.3
8cell_2pn	10	111	0.2
8cell_2pn	10	112	0.1
8cell_2pn	10	113	0.2
8cell_2pn	10	114	0.2
8cell_2pn	10	115	0.2
8cell_2pn	10	116	0.2
8cell_2pn	10	117	0.1
8cell_2pn	10	118	0.2
8cell_2pn	10	119	0.3
8cell_2pn	10	120	0.1
8cell_2pn	10	121	0.2
8cell_2pn	10	122	0.1
8cell_2pn	10	123	0.0
8cell_2pn	10	124	0.0
8cell_2pn	10	125	0.2
8cell_2pn	10	126	0.1
8cell_2pn	10	127	0.1
8cell_2pn	10	128	0.1
8cell_2pn	10	129	0.0
8cell_2pn	10	130	0.3
8cell_2pn	10	131	0.2
8cell_2pn	10	132	0.2
8cell_2pn	10	133	0.4
8cell_2pn	10	134	0.1
8cell_2pn	10	135	0.2
8cell_2pn	10	136	0.2
8cell_2pn	10	137	0.0
8cell_2pn	10	138	0.1
8cell_2pn	10	139	0.3
8cell_2pn	10	140	0.1
8cell_2pn	10	141	0.1
8cell_2pn	10	142	0.2
8cell_2pn	10	143	0.4
8cell_2pn	10	144	0.1
8cell_2pn	10	145	0.0
8cell_2pn	10	146	0.2
8cell_2pn	10	147	0.0
8cell_2pn	10	148	0.0
8cell_2pn	10	149	0.1
8cell_2pn	10	150	0.1
8cell_2pn	10	151	0.1
8cell_2pn	10	152	0.0
8cell_2pn	10	153	0.2
8cell_2pn	10	154	0.2
8cell_2pn	10	155	0.2
8cell_2pn	10	156	0.1
8cell_2pn	10	157	0.2
8cell_2pn	10	158	0.0
8cell_2pn	10	159	0.4
8cell_2pn	10	160	0.3
8cell_2pn	10	161	0.0
8cell_2pn	10	162	0.0
8cell_2pn	10	163	0.2
8cell_2pn	10	164	0.1
8cell_2pn	10	165	0.1
8cell_2pn	10	166	0.0
8cell_2pn	10	167	0.2
8cell_2pn	10	168	0.2
8cell_2pn	10	169	0.0
8cell_2pn	10	170	0.1
8cell_2pn	10	171	0.0
8cell_2pn	10	172	0.1
8cell_2pn	10	173	0.1
8cell_2pn	10	174	0.2
8cell_2pn	10	175	0.0
8cell_2pn	10	176	0.1
8cell_2pn	10	177	0.1
8cell_2pn	10	178	0.2
8cell_2pn	10	179	0.0
8cell_2pn	10	180	0.2
8cell_2pn	10	181	0.1
8cell_2pn	10	182	0.1
8cell_2pn	10	183	0.4
8cell_2pn	10	184	0.2
8cell_2pn	10	185	0.1
8cell_2pn	10	186	0.1
8cell_2pn	10	187	0.0
8cell_2pn	10	188	0.0
8cell_2pn	10	189	0.1
8cell_2pn	10	190	0.0
8cell_2pn	10	191	0.1
8cell_2pn	10	192	0.1
8cell_2pn	10	193	0.0
8cell_2pn	10	194	0.1
8cell_2pn	10	195	0.1
8cell_2pn	10	196	0.2
8cell_2pn	10	197	0.1
