top_k	metric	iteration	random_mean
10	overlap_public_chromatin	0	1.0
10	overlap_public_chromatin	1	1.0
10	overlap_public_chromatin	2	0.9
10	overlap_public_chromatin	3	0.9
10	overlap_public_chromatin	4	1.0
10	overlap_public_chromatin	5	0.9
10	overlap_public_chromatin	6	1.0
10	overlap_public_chromatin	7	0.9
10	overlap_public_chromatin	8	0.9
10	overlap_public_chromatin	9	1.0
10	overlap_public_chromatin	10	1.0
10	overlap_public_chromatin	11	1.0
10	overlap_public_chromatin	12	1.0
10	overlap_public_chromatin	13	0.9
10	overlap_public_chromatin	14	1.0
10	overlap_public_chromatin	15	0.9
10	overlap_public_chromatin	16	1.0
10	overlap_public_chromatin	17	1.0
10	overlap_public_chromatin	18	1.0
10	overlap_public_chromatin	19	1.0
10	overlap_public_chromatin	20	0.9
10	overlap_public_chromatin	21	1.0
10	overlap_public_chromatin	22	1.0
10	overlap_public_chromatin	23	1.0
10	overlap_public_chromatin	24	0.9
10	overlap_public_chromatin	25	0.9
10	overlap_public_chromatin	26	1.0
10	overlap_public_chromatin	27	1.0
10	overlap_public_chromatin	28	1.0
10	overlap_public_chromatin	29	1.0
10	overlap_public_chromatin	30	1.0
10	overlap_public_chromatin	31	0.8
10	overlap_public_chromatin	32	0.9
10	overlap_public_chromatin	33	1.0
10	overlap_public_chromatin	34	0.8
10	overlap_public_chromatin	35	0.9
10	overlap_public_chromatin	36	0.9
10	overlap_public_chromatin	37	1.0
10	overlap_public_chromatin	38	0.8
10	overlap_public_chromatin	39	1.0
10	overlap_public_chromatin	40	0.7
10	overlap_public_chromatin	41	0.9
10	overlap_public_chromatin	42	0.7
10	overlap_public_chromatin	43	1.0
10	overlap_public_chromatin	44	1.0
10	overlap_public_chromatin	45	1.0
10	overlap_public_chromatin	46	1.0
10	overlap_public_chromatin	47	0.9
10	overlap_public_chromatin	48	0.8
10	overlap_public_chromatin	49	1.0
10	overlap_public_chromatin	50	0.9
10	overlap_public_chromatin	51	1.0
10	overlap_public_chromatin	52	1.0
10	overlap_public_chromatin	53	1.0
10	overlap_public_chromatin	54	0.9
10	overlap_public_chromatin	55	1.0
10	overlap_public_chromatin	56	1.0
10	overlap_public_chromatin	57	0.9
10	overlap_public_chromatin	58	0.8
10	overlap_public_chromatin	59	1.0
10	overlap_public_chromatin	60	1.0
10	overlap_public_chromatin	61	0.9
10	overlap_public_chromatin	62	1.0
10	overlap_public_chromatin	63	1.0
10	overlap_public_chromatin	64	0.8
10	overlap_public_chromatin	65	0.9
10	overlap_public_chromatin	66	1.0
10	overlap_public_chromatin	67	0.8
10	overlap_public_chromatin	68	1.0
10	overlap_public_chromatin	69	0.9
10	overlap_public_chromatin	70	0.9
10	overlap_public_chromatin	71	0.9
10	overlap_public_chromatin	72	0.9
10	overlap_public_chromatin	73	1.0
10	overlap_public_chromatin	74	0.9
10	overlap_public_chromatin	75	1.0
10	overlap_public_chromatin	76	0.9
10	overlap_public_chromatin	77	1.0
10	overlap_public_chromatin	78	1.0
10	overlap_public_chromatin	79	1.0
10	overlap_public_chromatin	80	1.0
10	overlap_public_chromatin	81	1.0
10	overlap_public_chromatin	82	1.0
10	overlap_public_chromatin	83	1.0
10	overlap_public_chromatin	84	0.9
10	overlap_public_chromatin	85	1.0
10	overlap_public_chromatin	86	1.0
10	overlap_public_chromatin	87	0.9
10	overlap_public_chromatin	88	1.0
10	overlap_public_chromatin	89	1.0
10	overlap_public_chromatin	90	0.9
10	overlap_public_chromatin	91	0.9
10	overlap_public_chromatin	92	0.9
10	overlap_public_chromatin	93	1.0
10	overlap_public_chromatin	94	1.0
10	overlap_public_chromatin	95	1.0
10	overlap_public_chromatin	96	1.0
10	overlap_public_chromatin	97	0.9
10	overlap_public_chromatin	98	0.8
10	overlap_public_chromatin	99	0.9
10	overlap_public_chromatin	100	0.8
10	overlap_public_chromatin	101	1.0
10	overlap_public_chromatin	102	1.0
10	overlap_public_chromatin	103	1.0
10	overlap_public_chromatin	104	0.8
10	overlap_public_chromatin	105	1.0
10	overlap_public_chromatin	106	1.0
10	overlap_public_chromatin	107	0.9
10	overlap_public_chromatin	108	0.9
10	overlap_public_chromatin	109	1.0
10	overlap_public_chromatin	110	1.0
10	overlap_public_chromatin	111	0.9
10	overlap_public_chromatin	112	1.0
10	overlap_public_chromatin	113	1.0
10	overlap_public_chromatin	114	1.0
10	overlap_public_chromatin	115	1.0
10	overlap_public_chromatin	116	1.0
10	overlap_public_chromatin	117	0.9
10	overlap_public_chromatin	118	1.0
10	overlap_public_chromatin	119	1.0
10	overlap_public_chromatin	120	1.0
10	overlap_public_chromatin	121	1.0
10	overlap_public_chromatin	122	0.9
10	overlap_public_chromatin	123	1.0
10	overlap_public_chromatin	124	0.9
10	overlap_public_chromatin	125	1.0
10	overlap_public_chromatin	126	0.8
