Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[sex]	Characteristics[organism part]	Characteristics[individual]	Characteristics[stimulus]	Characteristics[single cell well quality]	Characteristics[inferred lineage]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[compound]	Factor Value[dose]	Unit[time unit]	Factor Value[single cell identifier]
C2_1	ERS5822686	SAMEA8135865	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	mural	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_1	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_1	sequencing assay	ERX5142284	BSSeq_C2_1.R1.fastq.gz	BSSeq_C2_1.R1.fastq.gz	ERR5354249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354249/ERR5354249_1.fastq.gz	none	  	  	C2_1
C2_1	ERS5822686	SAMEA8135865	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	mural	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_1	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_1	sequencing assay	ERX5142284	BSSeq_C2_1.R2.fastq.gz	BSSeq_C2_1.R2.fastq.gz	ERR5354249	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354249/ERR5354249_2.fastq.gz	none	  	  	C2_1
C2_10	ERS5822687	SAMEA8135866	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	mural	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_10	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_10	sequencing assay	ERX5142285	BSSeq_C2_10.R1.fastq.gz	BSSeq_C2_10.R1.fastq.gz	ERR5354250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354250/ERR5354250_1.fastq.gz	none	  	  	C2_10
C2_10	ERS5822687	SAMEA8135866	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	mural	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_10	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_10	sequencing assay	ERX5142285	BSSeq_C2_10.R2.fastq.gz	BSSeq_C2_10.R2.fastq.gz	ERR5354250	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354250/ERR5354250_2.fastq.gz	none	  	  	C2_10
C2_11	ERS5822688	SAMEA8135867	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	pe	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_11	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_11	sequencing assay	ERX5142286	BSSeq_C2_11.R1.fastq.gz	BSSeq_C2_11.R1.fastq.gz	ERR5354251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354251/ERR5354251_1.fastq.gz	none	  	  	C2_11
C2_11	ERS5822688	SAMEA8135867	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	pe	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_11	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_11	sequencing assay	ERX5142286	BSSeq_C2_11.R2.fastq.gz	BSSeq_C2_11.R2.fastq.gz	ERR5354251	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354251/ERR5354251_2.fastq.gz	none	  	  	C2_11
C2_12	ERS5822689	SAMEA8135868	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	polar	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_12	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_12	sequencing assay	ERX5142287	BSSeq_C2_12.R1.fastq.gz	BSSeq_C2_12.R1.fastq.gz	ERR5354252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354252/ERR5354252_1.fastq.gz	none	  	  	C2_12
C2_12	ERS5822689	SAMEA8135868	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	polar	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_12	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_12	sequencing assay	ERX5142287	BSSeq_C2_12.R2.fastq.gz	BSSeq_C2_12.R2.fastq.gz	ERR5354252	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354252/ERR5354252_2.fastq.gz	none	  	  	C2_12
C2_13	ERS5822690	SAMEA8135869	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	polar	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_13	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_13	sequencing assay	ERX5142288	BSSeq_C2_13.R1.fastq.gz	BSSeq_C2_13.R1.fastq.gz	ERR5354253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354253/ERR5354253_1.fastq.gz	none	  	  	C2_13
C2_13	ERS5822690	SAMEA8135869	Homo sapiens	7	day	EFO	UO_0000033	embryo stage	male	whole organism	C2	Ctrl	OK	polar	cell	P-MTAB-106712	P-MTAB-106716	P-MTAB-106717	P-MTAB-106713	P-MTAB-106714	C2_13	DNA	PAIRED	RANDOM	GENOMIC SINGLE CELL	not applicable	Bisulfite-Seq	none	DNA	other	random	cell picking	none	P-MTAB-106715	NGI Sweden	C2_13	sequencing assay	ERX5142288	BSSeq_C2_13.R2.fastq.gz	BSSeq_C2_13.R2.fastq.gz	ERR5354253	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354253/ERR5354253_2.fastq.gz	none	  	  	C2_13
