run_accession	experiment_accession	sample_accession	fastq_ftp	fastq_bytes	read_count	library_strategy	library_source	library_selection
ERR5354253	ERX5142288	SAMEA8135869	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354253/ERR5354253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354253/ERR5354253_2.fastq.gz	513871385;505704290	16483734	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354257	ERX5142292	SAMEA8135873	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354257/ERR5354257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354257/ERR5354257_2.fastq.gz	858478178;827919947	28369594	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354258	ERX5142293	SAMEA8135874	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354258/ERR5354258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354258/ERR5354258_2.fastq.gz	242228773;234881765	8176286	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354259	ERX5142294	SAMEA8135875	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354259/ERR5354259_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354259/ERR5354259_2.fastq.gz	114673597;113515044	3600066	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354260	ERX5142295	SAMEA8135876	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354260/ERR5354260_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354260/ERR5354260_2.fastq.gz	170791057;169323869	5605156	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354261	ERX5142296	SAMEA8135877	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354261/ERR5354261_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354261/ERR5354261_2.fastq.gz	65551070;63276869	2356548	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354264	ERX5142299	SAMEA8135880	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354264/ERR5354264_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354264/ERR5354264_2.fastq.gz	649012063;623916835	20902810	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354267	ERX5142302	SAMEA8135883	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354267/ERR5354267_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354267/ERR5354267_2.fastq.gz	711747212;702172390	22277710	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354269	ERX5142304	SAMEA8135885	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354269/ERR5354269_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354269/ERR5354269_2.fastq.gz	95553449;94745438	3179396	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354273	ERX5142308	SAMEA8135889	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354273/ERR5354273_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354273/ERR5354273_2.fastq.gz	2324908;2201782	68294	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354275	ERX5142310	SAMEA8135891	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/005/ERR5354275/ERR5354275_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/005/ERR5354275/ERR5354275_2.fastq.gz	139943639;136520451	4722166	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354276	ERX5142311	SAMEA8135892	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5354276/ERR5354276_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5354276/ERR5354276_2.fastq.gz	94462114;88312102	3740866	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354278	ERX5142313	SAMEA8135894	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354278/ERR5354278_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354278/ERR5354278_2.fastq.gz	110120898;104729266	3882434	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354290	ERX5142325	SAMEA8135906	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354290/ERR5354290_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354290/ERR5354290_2.fastq.gz	795208848;755207843	27582898	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
ERR5354292	ERX5142327	SAMEA8135908	ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354292/ERR5354292_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354292/ERR5354292_2.fastq.gz	251944301;242372181	8573784	Bisulfite-Seq	GENOMIC SINGLE CELL	RANDOM
