sample	run	condition	lineage	individual	sex	read_count	total_fastq_bytes	fastq_1	fastq_2
C3_27	ERR5354292	control	mural	C3	female	8573784	494316482	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354292/ERR5354292_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354292/ERR5354292_2.fastq.gz
D10_47	ERR5354458	dex		D10	female	8033438	498082403	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354458/ERR5354458_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354458/ERR5354458_2.fastq.gz
C6_2	ERR5354337	control		C6	not available	7465734	485666437	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354337/ERR5354337_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354337/ERR5354337_2.fastq.gz
D10_39	ERR5354449	dex		D10	female	7604116	471486412	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354449/ERR5354449_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354449/ERR5354449_2.fastq.gz
C2_18	ERR5354258	control	polar	C2	male	8176286	477110538	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354258/ERR5354258_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354258/ERR5354258_2.fastq.gz
D10_32	ERR5354442	dex		D10	female	7403048	456771695	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354442/ERR5354442_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354442/ERR5354442_2.fastq.gz
C2_21	ERR5354262	control	polar	C2	male	7935228	474571012	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354262/ERR5354262_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5354262/ERR5354262_2.fastq.gz
D9_31	ERR5354600	dex		D9	not available	8620660	453667247	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354600/ERR5354600_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354600/ERR5354600_2.fastq.gz
C5_8	ERR5354328	control	mural	C5	male	7586202	468602696	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354328/ERR5354328_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354328/ERR5354328_2.fastq.gz
D11_9	ERR5354511	dex		D11	not available	6846156	442627706	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354511/ERR5354511_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354511/ERR5354511_2.fastq.gz
