sample	run	condition	lineage	individual	sex	read_count	total_fastq_bytes	fastq_1	fastq_2
C5_1	ERR5354321	control	mural	C5	male	525446	31389884	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354321/ERR5354321_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354321/ERR5354321_2.fastq.gz
D10_61	ERR5354474	dex	polar	D10	female	509898	31986253	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354474/ERR5354474_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5354474/ERR5354474_2.fastq.gz
D10_58	ERR5354470	dex	polar	D10	female	530032	32797518	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354470/ERR5354470_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354470/ERR5354470_2.fastq.gz
C8_17	ERR5354377	control	polar	C8	male	592280	36747778	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354377/ERR5354377_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5354377/ERR5354377_2.fastq.gz
C3_26	ERR5354291	control	polar	C3	female	751618	44216379	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354291/ERR5354291_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5354291/ERR5354291_2.fastq.gz
C4_9	ERR5354320	control	mural	C4	male	890146	44624626	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354320/ERR5354320_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354320/ERR5354320_2.fastq.gz
D12_9	ERR5354543	dex	mural	D12	male	880376	54774499	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354543/ERR5354543_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5354543/ERR5354543_2.fastq.gz
C7_9	ERR5354368	control	pe	C7	male	1136132	55018873	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354368/ERR5354368_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5354368/ERR5354368_2.fastq.gz
C7_14	ERR5354350	control	epi	C7	male	953610	61617598	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354350/ERR5354350_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5354350/ERR5354350_2.fastq.gz
C3_24	ERR5354289	control	polar	C3	female	1247934	62519920	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354289/ERR5354289_1.fastq.gz	https://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5354289/ERR5354289_2.fastq.gz
