module_id	raw_value	control_value_z	feature_set	control_modality	leakage_status	description	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight
M01	0.3291074454858309	0.32910744548583093	RNA_nearest_delta	RNA	methylation_non_leaking_nearest_TSS_RNA	Nearest-TSS RNA delta z-score. Known to be coarse but retained as available external signal.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
M02	-1.7567908689809784	-1.7567908689809786	RNA_nearest_delta	RNA	methylation_non_leaking_nearest_TSS_RNA	Nearest-TSS RNA delta z-score. Known to be coarse but retained as available external signal.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
M05	0.4016620020684581	0.40166200206845815	RNA_nearest_delta	RNA	methylation_non_leaking_nearest_TSS_RNA	Nearest-TSS RNA delta z-score. Known to be coarse but retained as available external signal.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
M12	0.7555821326409754	0.7555821326409755	RNA_nearest_delta	RNA	methylation_non_leaking_nearest_TSS_RNA	Nearest-TSS RNA delta z-score. Known to be coarse but retained as available external signal.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
M10	0.2704392887857139	0.27043928878571394	RNA_nearest_delta	RNA	methylation_non_leaking_nearest_TSS_RNA	Nearest-TSS RNA delta z-score. Known to be coarse but retained as available external signal.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
M01	-0.3420985840550404	-0.3420985840550405	ATAC_8cell_2pn_chromatin_only	ATAC	methylation_non_leaking_ATAC_overlap	ATAC target-background enrichment z-score.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
M02	0.7164127298372371	0.716412729837237	ATAC_8cell_2pn_chromatin_only	ATAC	methylation_non_leaking_ATAC_overlap	ATAC target-background enrichment z-score.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
M05	-0.94805795939917	-0.9480579593991701	ATAC_8cell_2pn_chromatin_only	ATAC	methylation_non_leaking_ATAC_overlap	ATAC target-background enrichment z-score.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
M12	-0.7869801507633888	-0.7869801507633889	ATAC_8cell_2pn_chromatin_only	ATAC	methylation_non_leaking_ATAC_overlap	ATAC target-background enrichment z-score.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
M10	1.3607239643803624	1.3607239643803624	ATAC_8cell_2pn_chromatin_only	ATAC	methylation_non_leaking_ATAC_overlap	ATAC target-background enrichment z-score.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
M01	0.3420985840550404	0.3420985840550405	ATAC_8cell_2pn_chromatin_only_inverse	ATAC_inverse	orientation_corrected_proxy_uses_measured_direction_boundary	Inverse ATAC orientation because ATAC-only control was anti-aligned; proxy only, not final u_bio.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
M02	-0.7164127298372371	-0.716412729837237	ATAC_8cell_2pn_chromatin_only_inverse	ATAC_inverse	orientation_corrected_proxy_uses_measured_direction_boundary	Inverse ATAC orientation because ATAC-only control was anti-aligned; proxy only, not final u_bio.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
M05	0.94805795939917	0.9480579593991701	ATAC_8cell_2pn_chromatin_only_inverse	ATAC_inverse	orientation_corrected_proxy_uses_measured_direction_boundary	Inverse ATAC orientation because ATAC-only control was anti-aligned; proxy only, not final u_bio.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
M12	0.7869801507633888	0.7869801507633889	ATAC_8cell_2pn_chromatin_only_inverse	ATAC_inverse	orientation_corrected_proxy_uses_measured_direction_boundary	Inverse ATAC orientation because ATAC-only control was anti-aligned; proxy only, not final u_bio.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
M10	-1.3607239643803624	-1.3607239643803624	ATAC_8cell_2pn_chromatin_only_inverse	ATAC_inverse	orientation_corrected_proxy_uses_measured_direction_boundary	Inverse ATAC orientation because ATAC-only control was anti-aligned; proxy only, not final u_bio.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
M01	-0.6201658156196218	-0.6201658156196218	ATAC_8cell_3pn_chromatin_only	ATAC	methylation_non_leaking_ATAC_overlap	ATAC target-background enrichment z-score.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
