feature_set	panel_model	validation_status	included_modules	max_occupancy	alpha_at_max_occupancy	occupancy_at_alpha_1	cosine_at_alpha_1	PC3_recovery_at_alpha_1	alpha_to_observed_occupancy	matched_random_p_at_alpha_1
ATAC_8cell_3pn_chromatin_only_inverse	cumulative_M05+M01+M12	core_order_cumulative	M05,M01,M12	1.0	2.4	0.6	0.9448518820616026	0.3985016559625886	1.45	0.0
ATAC_8cell_2pn_chromatin_only_inverse	cumulative_M05+M01+M12	core_order_cumulative	M05,M01,M12	0.9777777777777777	2.45	0.5555555555555556	0.9292337883524143	0.38972277527015825	1.55	0.0
ATAC_8cell_3pn_chromatin_only_inverse	leave_one_out_remove_M02	leave_one_module_out	M05,M01,M12,M10	0.9333333333333333	2.4	0.4666666666666667	0.9171173333940179	0.3137052839169687	2.05	0.398
ATAC_8cell_3pn_chromatin_only_inverse	cumulative_M05+M01	core_order_cumulative	M05,M01	0.9111111111111111	2.1	0.4888888888888889	0.9089725044507112	0.3237653671081791	1.9	0.0
ATAC_8cell_3pn_chromatin_only_inverse	pair_M05+M01	core_pair	M05,M01	0.9111111111111111	2.1	0.4888888888888889	0.9089725044507112	0.3237653671081791	1.9	0.0
ATAC_8cell_2pn_chromatin_only_inverse	pair_M05+M12	core_pair	M05,M12	0.9111111111111111	2.5	0.4666666666666667	0.8957089583235773	0.3398538106056159	2.2	0.198
ATAC_8cell_3pn_chromatin_only_inverse	pair_M05+M12	core_pair	M05,M12	0.8666666666666667	2.45	0.4666666666666667	0.8941152855426104	0.3080978116125164		0.398
ATAC_8cell_2pn_chromatin_only_inverse	cumulative_M05+M01	core_order_cumulative	M05,M01	0.8444444444444444	2.5	0.4666666666666667	0.8828143343278925	0.3050052324887281		0.198
ATAC_8cell_2pn_chromatin_only_inverse	pair_M05+M01	core_pair	M05,M01	0.8444444444444444	2.5	0.4666666666666667	0.8828143343278925	0.3050052324887281		0.198
ATAC_8cell_3pn_chromatin_only_inverse	pair_M01+M12	core_pair	M01,M12	0.8	2.5	0.3111111111111111	0.9835644015166412	0.16514013320448165		0.398
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M02	leave_one_module_out	M05,M01,M12,M10	0.6444444444444445	2.2	0.4444444444444444	0.8551344329127979	0.28679655812732024		0.398
ATAC_8cell_2pn_chromatin_only_inverse	cumulative_M05+M01+M12+M02	core_order_cumulative	M05,M01,M12,M02	0.6222222222222222	1.85	0.4666666666666667	0.8352170727973671	0.32025579878310095		0.198
ATAC_8cell_2pn_chromatin_only_inverse	leave_one_out_remove_M10	leave_one_module_out	M05,M01,M12,M02	0.6222222222222222	1.85	0.4666666666666667	0.8352170727973671	0.32025579878310095		0.198
