null_type	iteration	model	rmse	correlation	delta_rmse_vs_baseline
random_tau_null	1	DMR_module_ridge_k16	0.2958686583578604	0.48344577557154406	-0.0015623690182020589
random_tau_null	1	latent_PCA_ridge_q3	0.269666924956495	0.5305352095617749	-0.02776410241956745
random_coupling_null	1	DMR_module_ridge_k16	0.28549129380332244	0.47884671953945535	-0.01193973357274003
random_coupling_null	1	latent_PCA_ridge_q3	0.26981501907165506	0.5260603951986781	-0.027616008304407413
random_module_null	1	DMR_module_ridge_k16	0.2932444542200638	0.4710194185351703	-0.004186573155998685
random_tau_null	2	DMR_module_ridge_k16	0.29369147286224684	0.4875086332158438	-0.003739554513815635
random_tau_null	2	latent_PCA_ridge_q3	0.2701786029490557	0.5296084923610583	-0.02725242442700676
random_coupling_null	2	DMR_module_ridge_k16	0.28598845764670994	0.47766764505364623	-0.011442569729352536
random_coupling_null	2	latent_PCA_ridge_q3	0.26984345090137807	0.5252406189955027	-0.027587576474684405
random_module_null	2	DMR_module_ridge_k16	0.29790670453009693	0.4585850938794838	0.00047567715403445954
random_tau_null	3	DMR_module_ridge_k16	0.29159552272853456	0.49378815529831493	-0.0058355046475279115
random_tau_null	3	latent_PCA_ridge_q3	0.2694194047842186	0.5326004211631131	-0.028011622591843865
random_coupling_null	3	DMR_module_ridge_k16	0.2856930685906489	0.47940045551552013	-0.01173795878541356
random_coupling_null	3	latent_PCA_ridge_q3	0.26991033934512443	0.5250649151923159	-0.027520688030938045
random_module_null	3	DMR_module_ridge_k16	0.29179371748891986	0.48137392198925166	-0.005637309887142616
random_tau_null	4	DMR_module_ridge_k16	0.29648686929814955	0.48048221520156253	-0.0009441580779129266
random_tau_null	4	latent_PCA_ridge_q3	0.27004599649568556	0.5308571860729732	-0.027385030880376915
random_coupling_null	4	DMR_module_ridge_k16	0.2857807853830582	0.4793687376171269	-0.011650241993004296
random_coupling_null	4	latent_PCA_ridge_q3	0.269941340851986	0.5237077428482247	-0.027489686524076462
random_module_null	4	DMR_module_ridge_k16	0.2936706811819021	0.4735420722264497	-0.00376034619416038
random_tau_null	5	DMR_module_ridge_k16	0.2986555056805563	0.48057530379477376	0.0012244783044938479
random_tau_null	5	latent_PCA_ridge_q3	0.2697096471551051	0.5358850572867931	-0.02772138022095738
random_coupling_null	5	DMR_module_ridge_k16	0.285479182683177	0.47982317125297813	-0.01195184469288546
random_coupling_null	5	latent_PCA_ridge_q3	0.26978685642289596	0.5256512778365072	-0.027644170953166514
random_module_null	5	DMR_module_ridge_k16	0.28967633445716867	0.4877238496695684	-0.007754692918893802
random_tau_null	6	DMR_module_ridge_k16	0.29477897473699066	0.48533924502783954	-0.0026520526390718113
random_tau_null	6	latent_PCA_ridge_q3	0.2719879862712129	0.5259296646753588	-0.025443041104849573
random_coupling_null	6	DMR_module_ridge_k16	0.28571864376539213	0.4795829561148091	-0.01171238361067034
random_coupling_null	6	latent_PCA_ridge_q3	0.2699163554861293	0.5230657781594406	-0.027514671889933173
random_module_null	6	DMR_module_ridge_k16	0.2926586579419442	0.4862685993938087	-0.004772369434118295
random_tau_null	7	DMR_module_ridge_k16	0.29276325919444285	0.49044219174793546	-0.004667768181619625
random_tau_null	7	latent_PCA_ridge_q3	0.2703770979364028	0.5301680644167126	-0.027053929439659674
random_coupling_null	7	DMR_module_ridge_k16	0.28523816730839663	0.48094721382747074	-0.012192860067665845
random_coupling_null	7	latent_PCA_ridge_q3	0.26960086449987886	0.526932979670335	-0.027830162876183617
random_module_null	7	DMR_module_ridge_k16	0.2911343028373054	0.48423268986936635	-0.00629672453875707
random_tau_null	8	DMR_module_ridge_k16	0.29342061246713097	0.4940549025182466	-0.004010414908931503
random_tau_null	8	latent_PCA_ridge_q3	0.27097911143354225	0.5260328230264012	-0.02645191594252022
random_coupling_null	8	DMR_module_ridge_k16	0.2855713312972778	0.4794050679869724	-0.011859696078784676
random_coupling_null	8	latent_PCA_ridge_q3	0.26976870924830626	0.5260528845470357	-0.027662318127756214
random_module_null	8	DMR_module_ridge_k16	0.29147752025208057	0.4779139692005194	-0.005953507123981905
random_tau_null	9	DMR_module_ridge_k16	0.29675945711601337	0.4789627971517762	-0.0006715702600491036
random_tau_null	9	latent_PCA_ridge_q3	0.2721298126761789	0.5289656869025005	-0.025301214699883556
random_coupling_null	9	DMR_module_ridge_k16	0.2855933235199811	0.48101806535115066	-0.01183770385608135
random_coupling_null	9	latent_PCA_ridge_q3	0.26979470308097425	0.5244035089192542	-0.02763632429508822
random_module_null	9	DMR_module_ridge_k16	0.2949477574569957	0.47126200135904683	-0.0024832699190667773
random_tau_null	10	DMR_module_ridge_k16	0.2969580721826586	0.4807738339632972	-0.00047295519340390113
random_tau_null	10	latent_PCA_ridge_q3	0.2690305364406744	0.533539660916141	-0.0284004909353881
random_coupling_null	10	DMR_module_ridge_k16	0.28550237490713076	0.4802284552665986	-0.01192865246893171
random_coupling_null	10	latent_PCA_ridge_q3	0.26989485616749886	0.5240542145713929	-0.02753617120856361
random_module_null	10	DMR_module_ridge_k16	0.2961583242760885	0.46679748532891757	-0.0012727030999739597
random_tau_null	11	DMR_module_ridge_k16	0.29507890481014515	0.4854892671852461	-0.002352122565917325
random_tau_null	11	latent_PCA_ridge_q3	0.26992162617447996	0.5308528363171392	-0.027509401201582517
random_coupling_null	11	DMR_module_ridge_k16	0.28511880657769106	0.4816460523919315	-0.01231222079837141
random_coupling_null	11	latent_PCA_ridge_q3	0.2698354100955564	0.5251499039823069	-0.02759561728050608
