cluster_name	selection_frequency_top10	selection_frequency_top25	selection_frequency_top50	selection_frequency_top100	mean_rank	rank_std	residual_contribution_mean	residual_contribution_q025	residual_contribution_q975	module_id	basin_residual_rank	abs_latent_residual_delta_beta
cluster_23	0.0	0.0	0.0	0.44	108.022	23.686230514794882	0.010827534548710122	-0.0016586470670812098	0.027694769199173783	M06	103	0.010913730745669703
cluster_67	0.0	0.0	0.0	0.0	148.246	2.149763707944594	0.0019856518226500884	0.001303825855320983	0.0030376486247623256	M02	150	0.0019896580789447228
cluster_123	0.0	0.0	0.0	0.002	134.912	12.103729012168083	-0.00428897781303357	-0.008612153424561604	-9.782220587096024e-05	M11	137	0.004492636586901818
cluster_125	0.0	0.294	0.98	1.0	29.498	7.505597644425123	-0.06249229891511553	-0.088534380222803	-0.035770261929413	M07	27	0.06392871898753896
cluster_126	0.0	0.0	0.0	0.64	94.51	25.963164290971932	-0.013666404758035537	-0.025064216461896317	-0.001464924064543509	M06	90	0.013563527494417912
cluster_242	0.02	0.704	0.986	1.0	22.824	9.10478028290633	0.07806962156628512	0.040434563605935725	0.11397372762603657	M01	21	0.07736259075217462
cluster_293	0.0	0.0	0.0	0.472	102.216	9.884196679548722	-0.01123385794146527	-0.014253002672668734	-0.008207824251324512	M00	102	0.011320331359549872
cluster_315	0.0	0.0	0.0	0.006	135.594	15.585158452835884	-0.0036366650663161807	-0.008863133873995972	0.0019127133844560802	M00	144	0.0035426819026432186
cluster_386	0.0	0.0	0.0	0.004	141.164	12.86130257788856	-0.0026389833780109586	-0.0072734744389191565	0.002302417479066572	M00	145	0.0025304369417066693
cluster_483	0.0	0.0	0.038	0.74	83.348	27.683404703901584	-0.017972618324058633	-0.03507466455024027	0.0013751777895566102	M11	80	0.018269489425537275
cluster_543	0.008	1.0	1.0	1.0	17.076	2.355042250151788	0.08965991340662181	0.07282576177966911	0.11351772444838755	M08	16	0.0903190284088766
cluster_587	0.0	0.508	0.938	0.996	28.19	14.41158908656502	-0.06945197732086263	-0.10829443471344527	-0.02922482216429082	M05	26	0.06936499188912126
cluster_618	0.0	0.0	0.0	0.88	97.722	2.8271391900648712	0.01244078093477525	0.010037985409300024	0.015882042414829628	M02	95	0.012457672993492734
cluster_634	0.0	0.0	0.0	0.95	79.178	10.28038501224542	0.01895924111952591	0.009343440758009062	0.03188869519400664	M13	77	0.019127026406937114
cluster_643	0.0	0.05	1.0	1.0	29.316	2.2459171845818524	0.061424652726533184	0.051689152661427235	0.07289547009579467	M13	29	0.061800200688313434
cluster_652	0.0	0.0	0.0	0.0	149.228	5.393701511948793	0.0013637865433054064	-0.0017770056135295823	0.0046588039025071875	M00	151	0.0014656449645791673
cluster_832	0.0	0.284	0.99	1.0	29.902	6.875201524319119	0.0620577505490605	0.03974854969888629	0.08272962354685004	M01	30	0.06166929719687478
cluster_840	0.0	0.0	0.0	1.0	68.772	7.109994092824525	0.022346111244388067	0.013849205906987244	0.034388382625258423	M13	67	0.022510081405926686
cluster_883	0.0	0.0	0.0	0.0	137.796	3.332624191234655	0.004070247987759753	0.0033757001780023803	0.0049656941562252945	M02	141	0.004079083887331211
cluster_900	0.0	0.0	0.0	0.0	129.052	3.0537347625488156	0.005417650810985592	0.004267775253405227	0.007139452136726864	M02	132	0.005420603936836627
cluster_915	0.0	0.0	0.0	0.916	76.31	15.394866027348185	-0.0195696055038921	-0.028685134711455434	-0.010891838467139989	M07	74	0.019993534209649107
cluster_916	0.0	0.0	0.736	1.0	48.612	3.5498529547010635	0.034553888453343944	0.02925007192385535	0.038837896485211326	M02	46	0.03477969827616953
cluster_950	0.0	0.0	0.224	1.0	57.206	7.878297024103591	-0.028273311349491927	-0.035278541197905425	-0.021729060129903093	M03	52	0.028665678768162717
cluster_1007	0.0	0.0	0.0	0.628	97.888	7.843433941839389	0.012479265908107247	0.006485400778148037	0.020847588142651138	M00	94	0.012547690119988691
cluster_1126	0.0	0.0	0.0	0.674	93.382	13.884958624353178	-0.013434913218191699	-0.01846829077946001	-0.008370591103525026	M00	91	0.013533457422441648
cluster_1257	0.0	0.0	0.0	0.326	108.736	14.416598211783493	-0.009702741534222301	-0.014515891526359	-0.0045138659171175665	M02	109	0.009691722645456683
cluster_1333	0.0	0.0	0.294	0.842	71.484	29.1521138856173	-0.023893152855803287	-0.04485567823209265	-0.001451184713466408	M04	62	0.02385699435247903
cluster_1387	0.0	0.076	1.0	1.0	30.782	3.43081273170076	0.058883664878930715	0.048671632011462955	0.07464679910213809	M12	32	0.05917032505379138
cluster_1406	0.0	0.0	0.092	0.572	94.434	34.04223324049116	0.008651921804508444	-0.025873300926263124	0.04425317982874727	M07	120	0.007469694877088543
cluster_1523	0.0	0.0	0.292	0.994	58.89	14.010206993474448	0.028400800831136136	0.011479725568600349	0.05120522720867889	M06	53	0.028657784752583102
cluster_1556	0.0	0.0	0.594	1.0	51.894	8.97834973700624	-0.032591570410039294	-0.04018949264905327	-0.02406332509233208	M00	48	0.03260139379560621
cluster_1564	0.0	0.0	0.0	0.0	119.386	6.8536854319410745	-0.0070133666845831845	-0.008558887029050565	-0.005541550030708372	M02	123	0.007105062288811339
cluster_1586	0.0	0.0	0.0	0.898	84.388	10.41966678929798	0.017124555765360715	0.008161925902447341	0.029544076897415877	M00	81	0.017238617640969938
cluster_1607	0.0	0.0	0.0	0.5	105.186	24.58258334675179	0.0114802925521802	-0.0027792482217278763	0.028920725745154936	M06	98	0.011705633309194583
cluster_1688	0.0	0.0	0.03	1.0	67.954	12.296173551149995	0.02310298579799646	0.01107607794432398	0.03977458455466072	M02	64	0.023257583375581637
cluster_1715	0.0	0.0	0.0	0.994	65.352	11.226758036049397	-0.02415716494009561	-0.030349263218755487	-0.017376226929502237	M06	60	0.024207698715579234
cluster_1718	0.0	0.002	0.928	1.0	40.698	5.779169144435918	0.04443556432507737	0.030107522950096305	0.06439962007891394	M00	40	0.04482086841341994
