control_name	module_id	control_type	n_DMRs	cosine_to_full	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
only_module_M01	M01	only_module	21	0.8932282396235536	0.9855570192530316	0.7826281344501036	0.9277507777516292	0.8487798699346262	0.2434054142501367	0.6332490992225287	0.2439296272029086	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5111111111111111	0.875	0.875	1.8193335690150638	1.0224014859114376
remove_module_M01	M01	remove_module_keep_remainder	135	0.9937589613261957	0.244521375420442	0.19140153599873344	0.3016882737752114	0.8487798699346262	0.23868344640088204	0.6502743132702882	0.23917447886143123	1.5666635350021403	1.9104332695957345	0.9777777777777777	1.0	0.875	0.875	0.7674130363341735	1.0224014859114376
only_module_M05	M05	only_module	6	0.8296942751524219	0.9251740601477997	0.709576469008496	0.85207351127157	0.8487798699346262	0.24278691810861067	0.6355682912588979	0.2433027891126203	1.5666635350021403	1.9104332695957345	0.4222222222222222	0.6	0.875	0.875	1.7081857441340076	1.0224014859114376
remove_module_M05	M05	remove_module_keep_remainder	150	0.976870141507442	0.3544011466008384	0.2849328737598785	0.35436459534703324	0.8487798699346262	0.2391950351837813	0.648797675916863	0.23969267076084722	1.5666635350021403	1.9104332695957345	0.9555555555555556	1.0	0.875	0.875	0.8947030314023736	1.0224014859114376
only_module_M10	M10	only_module	3	0.9033502686522016	1.089749851105002	0.8609689901786457	1.0430723118059322	0.8487798699346262	0.24423875217390917	0.6293974016627313	0.24476366913854727	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.9863163076319628	1.0224014859114376
remove_module_M10	M10	remove_module_keep_remainder	153	0.998865357694956	0.12100084149952915	0.13619035575473581	0.2305402630662295	0.8487798699346262	0.2384600703624755	0.6515633609493903	0.23894557081761694	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6849152271007205	1.0224014859114376
only_module_M12	M12	only_module	4	0.9269903681153812	1.0855913912150361	0.8591449268953424	0.9667926969252861	0.8487798699346262	0.24408926972204562	0.6292393050196895	0.24461455758540637	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4666666666666667	0.875	0.875	1.9778117608397063	1.0224014859114376
remove_module_M12	M12	remove_module_keep_remainder	152	0.9991095849951303	0.12210995609021806	0.11870943589523753	0.21144871974869078	0.8487798699346262	0.2387393478331615	0.651402700931891	0.23922164617387215	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6989869166512903	1.0224014859114376
only_module_M07	M07	only_module	9	0.7238881996038754	1.1496173719306295	0.9028764807376667	0.9828498493333904	0.8487798699346262	0.24479272763854662	0.6270598693102388	0.2453174810389626	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.084949125656217	1.0224014859114376
remove_module_M07	M07	remove_module_keep_remainder	147	0.9991692527407106	0.06790715344579168	0.11726133279771156	0.1986192798405461	0.8487798699346262	0.23832852331072837	0.6521258729170354	0.2388108201951526	1.5666635350021403	1.9104332695957345	1.0	1.0	0.875	0.875	0.6663737484792391	1.0224014859114376
only_module_M06	M06	only_module	23	0.8028769087605471	1.1453758593451973	0.9010745577603351	0.9270305044093199	0.8487798699346262	0.24467648097137104	0.6269475026621761	0.245201547596516	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.0773374414096852	1.0224014859114376
