source	target	weight	same_chr	same_gene	entropy_similarity	age_weight_similarity	genomic_similarity	same_context_score	source_gene	target_gene
cluster_123	cluster_126	0.8645340649027917	True	False	0.919624748147374	0.962477015979587	0.9740642621006059	0.5	ESPN	PLEKHG5
cluster_3369	cluster_5580	0.8371234207702769	False	False	0.9831627751977416	0.9871174459449649	0.0	1.0	KCNH4	FGF5
cluster_5760	cluster_126	0.8359714379376497	False	False	0.9790799436007278	0.9971298306478438	0.0	1.0	LINC02116	PLEKHG5
cluster_125	cluster_126	0.8346353668535182	True	True	0.786669825466984	0.9994969310181422	0.9837544064725718	0.5	PLEKHG5	PLEKHG5
cluster_2727	cluster_3369	0.8322795197391585	False	False	0.9739255177263003	0.9948528881137546	0.0	1.0	MAN2A2	KCNH4
cluster_883	cluster_3967	0.8320829407646005	False	False	0.9753909492816962	0.9871921582099865	0.0	1.0	CHAT	IFI30
cluster_5679	cluster_7052	0.8318075976260343	False	False	0.9759930402155956	0.9827474765726475	0.0	1.0	PDLIM3	PTPRZ1
cluster_6871	cluster_3336	0.8282201642703736	False	False	0.9666106252604861	0.9994883856737167	0.0	1.0	HOXA11-AS	NEUROD2
cluster_293	cluster_6020	0.8258933298264252	False	False	0.9648256583285248	0.9917110127525591	0.0	1.0	LINC01389	NKX2-5
cluster_4907	cluster_3519	0.8249529052731133	False	False	0.9661535597762206	0.9796872761237985	0.0	1.0	KRTAP13-4	DNAH17-AS1
cluster_883	cluster_6020	0.8232191966000361	False	False	0.9604323575298438	0.9929210947042506	0.0	1.0	CHAT	NKX2-5
cluster_5400	cluster_5447	0.8209028995037501	True	False	0.9351909378658316	0.8672851777765197	0.32936013224481436	1.0	SLC49A3	FGFR3
cluster_4899	cluster_2637	0.8202621803863166	False	False	0.9554291513060288	0.9948882135826517	0.0	1.0	LINC00320	SLC24A5
cluster_5400	cluster_2727	0.8199566255338755	False	False	0.9541609533334034	0.9983467057810883	0.0	1.0	SLC49A3	MAN2A2
cluster_6406	cluster_23	0.8165008134453233	False	False	0.9669464576065466	0.9199041066737866	0.0	1.0	LRFN2	TTLL10
cluster_618	cluster_900	0.8148199103938244	False	False	0.9488307176356673	0.9871996262042708	0.0	1.0	TRIM17	COL13A1
cluster_3967	cluster_123	0.8133915666735115	False	False	0.9838846891102312	0.9924434583457409	0.0	0.5	IFI30	ESPN
cluster_5215	cluster_543	0.8133221664931314	False	False	0.9438011554645911	0.9990094362743142	0.0	1.0	SYNPR	MIR181A1HG
cluster_7072	cluster_6087	0.8132073005781834	False	False	0.9935283500130302	0.7827591537980907	0.0	1.0	LOC100506937	GMDS-DT
cluster_5307	cluster_67	0.8131766833470594	False	False	0.9472518448615816	0.9830865612468755	0.0	1.0	ZIC4	MMEL1
cluster_2727	cluster_5580	0.8129518077418448	False	False	0.9434101478877828	0.9982347440985735	0.0	1.0	MAN2A2	FGF5
cluster_1333	cluster_5064	0.8118825246628611	False	False	0.9640620282889023	0.9016147085004971	0.0	1.0	ALX4	WNT7B
cluster_950	cluster_7052	0.8095846209709938	False	False	0.9380382933969251	0.9990648684199493	0.0	1.0	MYOF	PTPRZ1
cluster_883	cluster_5760	0.809409107865078	False	False	0.9440044144189188	0.9720415899518713	0.0	1.0	CHAT	LINC02116
cluster_3660	cluster_5336	0.8089301303889994	False	False	0.9861666303078208	0.9528121379261058	0.0	0.5	DSC1	LINC00578
cluster_5977	cluster_5608	0.8080746637414626	False	False	0.9741075033405429	0.9993652438007318	0.0	0.5	JAKMIP2	ANK2
cluster_1688	cluster_293	0.8080514519255699	False	False	0.9581447264494918	0.9017158648893354	0.0	1.0	WNT5B	LINC01389
cluster_3519	cluster_7052	0.8076091759501852	False	False	0.9734886931139412	0.9989435028408225	0.0	0.5	DNAH17-AS1	PTPRZ1
cluster_3967	cluster_126	0.8073170775689937	False	False	0.9370332387867311	0.9883031490507905	0.0	1.0	IFI30	PLEKHG5
cluster_5400	cluster_3369	0.8072882321526842	False	False	0.934513520701192	0.9990296246460625	0.0	1.0	SLC49A3	KCNH4
cluster_6410	cluster_3133	0.804770368923699	False	False	0.9694247788662548	0.997628417737556	0.0	0.5	NCR2	CYBA
cluster_4899	cluster_652	0.8045463759967758	False	False	0.9693198612928767	0.9965897743760396	0.0	0.5	LINC00320	GREM2
cluster_3967	cluster_900	0.8039661795810887	False	False	0.9311902490585523	0.9912834512868647	0.0	1.0	IFI30	COL13A1
cluster_5024	cluster_916	0.8039259714697687	False	False	0.9292585671821285	0.9993860186759006	0.0	1.0	RFPL2	NUDT13
cluster_883	cluster_4064	0.8036265298488168	False	False	0.9875341534416936	0.9115288674114392	0.0	0.5	CHAT	GIPR
cluster_883	cluster_126	0.8036082721810189	False	False	0.9397263038747301	0.9519078310829615	0.0	1.0	CHAT	PLEKHG5
cluster_7683	cluster_5760	0.8032783414264273	False	False	0.9289098811664286	0.9965794577883244	0.0	1.0	ARID3C	LINC02116
cluster_3362	cluster_5447	0.8029303852448623	False	False	0.9288988929573214	0.9943073654840218	0.0	1.0	KRT19	FGFR3
cluster_4907	cluster_7052	0.8029284860526912	False	False	0.9688566546657413	0.9878110701330615	0.0	0.5	KRTAP13-4	PTPRZ1
cluster_3967	cluster_4064	0.8029255893759721	True	False	0.9742909246145339	0.9642432558429845	7.742036052775132e-13	0.5	IFI30	GIPR
cluster_6020	cluster_5966	0.8029032740485496	True	False	0.9312435982882918	0.9839662344077238	1.327542915825193e-14	1.0	NKX2-5	PCDHGA1
cluster_5966	cluster_67	0.8028407829750562	False	False	0.9659092491179472	0.9999984736559376	0.0	0.5	PCDHGA1	MMEL1
cluster_6532	cluster_915	0.8024509498003114	False	False	0.927528990022946	0.9970473752359764	0.0	1.0	SYNE1	PLA2G12B
cluster_1688	cluster_6020	0.8022268355085457	False	False	0.9384347657315785	0.9482949185534643	0.0	1.0	WNT5B	NKX2-5
cluster_6871	cluster_4028	0.8011887256241733	False	False	0.9273014238119256	0.9896186676428109	0.0	1.0	HOXA11-AS	SELENOV
cluster_950	cluster_5679	0.8010682625717389	False	False	0.9307349719403026	0.9739368720702813	0.0	1.0	MYOF	PDLIM3
cluster_3336	cluster_3369	0.8004712693956043	True	False	0.9123283498877927	0.9986435363143327	0.07661311521389125	1.0	NEUROD2	KCNH4
cluster_5400	cluster_5580	0.8000280199058762	True	False	0.9246933623058293	0.9931822293805814	1.0922002665576457e-35	1.0	SLC49A3	FGF5
cluster_652	cluster_7612	0.7997462132795786	False	False	0.9617402084420227	0.9974338519484255	0.0	0.5	GREM2	MIR4472-1
cluster_5656	cluster_2743	0.7995255952483545	False	False	0.9664117319935409	0.9757197963503528	0.0	0.5	HAND2-AS1	NR2F2
cluster_4064	cluster_126	0.7994597314371886	False	False	0.9622668826191931	0.9932417182314202	0.0	0.5	GIPR	PLEKHG5
cluster_293	cluster_1564	0.7994131956985531	False	False	0.9512774633682665	0.8738856300611992	0.0	1.0	LINC01389	TIMM8B
cluster_23	cluster_6410	0.7993478639651841	False	False	0.9226541834972831	0.997484297946333	0.0	1.0	TTLL10	NCR2
cluster_883	cluster_7683	0.7987274292755695	False	False	0.9238875327987922	0.9880035530423634	0.0	1.0	CHAT	ARID3C
cluster_883	cluster_293	0.7982380920600992	False	False	0.9203774345313158	0.9999517307649596	0.0	1.0	CHAT	LINC01389
cluster_5307	cluster_5966	0.7981783182242552	False	False	0.9627125233373908	0.9827678536996746	0.0	0.5	ZIC4	PCDHGA1
