sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score	dataset	stage_order	P_raw	Hr_raw	D_raw	M_raw	P	Hr	D	M
Oocyte #1(RPKM)	oocyte	7.381788202896162	12788	0.508895736010337	0.2027673807290468	0.3558315583696919	GSE36552	0	0.3558315583696919	7.381788202896162	0.508895736010337	0.2027673807290468	0.3163801439601027	0.694639604700115	0.6193298657312205	0.2027673807290468
Oocyte #2(RPKM)	oocyte	7.476926477091045	12871	0.5171454129808171	0.2099145454124449	0.363529979196631	GSE36552	0	0.363529979196631	7.476926477091045	0.5171454129808171	0.2099145454124449	0.3301224893014873	0.7095020837447127	0.6293697834764728	0.2099145454124449
Oocyte #3(RPKM)	oocyte	7.479714966370953	13110	0.5409005069078621	0.2203691255930968	0.3806348162504794	GSE36552	0	0.3806348162504794	7.479714966370953	0.5409005069078621	0.2203691255930968	0.3606560991269658	0.7099377008908028	0.6582799080682231	0.2203691255930968
Zygote #1(RPKM)	zygote	7.388042551066096	13484	0.5780737501242421	0.2295588218867343	0.4038162860054882	GSE36552	1	0.4038162860054882	7.388042551066096	0.5780737501242421	0.2295588218867343	0.4020370225729052	0.6956166575150825	0.7035200193540583	0.2295588218867343
Zygote #2(RPKM)	zygote	7.332023014136357	13325	0.5622701520723586	0.2445951916443718	0.4034326718583653	GSE36552	1	0.4034326718583653	7.332023014136357	0.5622701520723586	0.2445951916443718	0.40135223822477545	0.6868652984984072	0.6842869239143583	0.2445951916443718
Zygote #3(RPKM)	zygote	7.447523430585651	13381	0.5678361991849716	0.2271648528257542	0.3975005260053629	GSE36552	1	0.3975005260053629	7.447523430585651	0.5678361991849716	0.2271648528257542	0.39076284609357986	0.7049087466652678	0.6910608443207934	0.2271648528257542
2-cell embryo#1 -Cell#1(RPKM)	2-cell	6.8605784872533535	13227	0.5525295696252858	0.2443676705400137	0.3984486200826497	GSE36552	2	0.3984486200826497	6.8605784872533535	0.5525295696252858	0.2443676705400137	0.39245527581638795	0.6132163442706264	0.6724325632030966	0.2443676705400137
2-cell embryo#1 -Cell#2(RPKM)	2-cell	6.9343774251266455	13168	0.5466653414173541	0.2389160944635008	0.3927907179404274	GSE36552	2	0.3927907179404274	6.9343774251266455	0.5466653414173541	0.2389160944635008	0.3823554323687425	0.6247451971632972	0.6652957542034595	0.2389160944635008
2-cell embryo#2 -Cell#1(RPKM)	2-cell	6.880976809855218	13222	0.5520326011330882	0.2468918689511962	0.3994622350421422	GSE36552	2	0.3994622350421422	6.880976809855218	0.5520326011330882	0.2468918689511962	0.39426466596661147	0.616402965478345	0.6718277488810935	0.2468918689511962
2-cell embryo#2 -Cell#2(RPKM)	2-cell	6.934467365787832	13253	0.5551138057847133	0.2571032968977664	0.4061085513412398	GSE36552	2	0.4061085513412398	6.934467365787832	0.5551138057847133	0.2571032968977664	0.4061289139576618	0.6247592476724477	0.675577597677513	0.2571032968977664
2-cell embryo#3 -Cell#1(RPKM)	2-cell	6.684735238365182	12964	0.5263890269356922	0.2518223573486753	0.3891056921421838	GSE36552	2	0.3891056921421838	6.684735238365182	0.5263890269356922	0.2518223573486753	0.3757773434009159	0.585746152869204	0.6406193298657311	0.2518223573486753
2-cell embryo#3 -Cell#2(RPKM)	2-cell	6.716838481069686	12968	0.5267866017294504	0.2511170472677952	0.3889518244986228	GSE36552	2	0.3889518244986228	6.716838481069686	0.5267866017294504	0.2511170472677952	0.3755026763825475	0.5907613139702133	0.6411031813233338	0.2511170472677952
4-cell embryo#2 -Cell#1(RPKM)	2-cell	6.977343250440404	12482	0.4784812642878441	0.4813980174958874	0.4799396408918658	GSE36552	2	0.4799396408918658	6.977343250440404	0.4784812642878441	0.4813980174958874	0.5379237784297309	0.6314573083904939	0.582315229224628	0.4813980174958874
4-cell embryo#2 -Cell#2(RPKM)	2-cell	7.077382672310738	11514	0.3822681641983898	0.3191217461356145	0.3506949551670021	GSE36552	2	0.3506949551670021	7.077382672310738	0.3822681641983898	0.3191217461356145	0.3072108640935082	0.6470854435838637	0.46522317648481915	0.3191217461356145
4-cell embryo#2 -Cell#3(RPKM)	2-cell	7.028845002576033	13658	0.5953682536527184	0.4618141677251962	0.5285912106889573	GSE36552	2	0.5285912106889573	7.028845002576033	0.5953682536527184	0.4618141677251962	0.6247710278308704	0.6395029001184657	0.7245675577597677	0.4618141677251962
4-cell embryo#2 -Cell#4(RPKM)	2-cell	7.054585379634038	11530	0.3838584633734221	0.3072479421287681	0.3455532027510951	GSE36552	2	0.3455532027510951	7.054585379634038	0.3838584633734221	0.3072479421287681	0.2980323924370831	0.6435240558295835	0.4671585823152292	0.3072479421287681
8-cell embryo#2 -Cell#1(RPKM)	2-cell	7.381811613573043	11573	0.3881323924063214	0.9278163351898934	0.6579743637981074	GSE36552	2	0.6579743637981074	7.381811613573043	0.3881323924063214	0.9278163351898934	0.8557311183940307	0.6946432619106068	0.47235998548445624	0.9278163351898934
8-cell embryo#2 -Cell#2(RPKM)	2-cell	7.306984201562734	12322	0.4625782725375211	0.9245473562772972	0.6935628144074091	GSE36552	2	0.6935628144074091	7.306984201562734	0.4625782725375211	0.9245473562772972	0.9192595730514369	0.682953741027701	0.5629611709205273	0.9245473562772972
8-cell embryo#2 -Cell#3(RPKM)	2-cell	7.308987170427347	12654	0.4955769804194414	0.9551186566590184	0.7253478185392299	GSE36552	2	0.7253478185392299	7.308987170427347	0.4955769804194414	0.9551186566590184	0.9759985476120794	0.6832666443573988	0.6031208419015363	0.9551186566590184
8-cell embryo#2 -Cell#4(RPKM)	2-cell	7.387800071184657	11156	0.346685220157042	0.9566357590979234	0.6516604896274827	GSE36552	2	0.6516604896274827	7.387800071184657	0.346685220157042	0.9566357590979234	0.8444603082830601	0.6955787773644583	0.4219184710293939	0.9566357590979234
