stage_order	J_path_order	enters_morula_from	enter_morula_A	is_canonical
blastocyst -> 2-cell -> 4-cell -> MII oocyte -> zygote/PN -> 8-cell -> morula	1.8196974862189124	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> morula -> zygote/PN -> MII oocyte -> 4-cell	1.8784512648719984	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 4-cell -> zygote/PN -> MII oocyte -> 8-cell -> morula	1.886941619137831	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> zygote/PN -> MII oocyte -> 4-cell -> morula	1.907826231497169	4-cell	-0.135697481725658	False
blastocyst -> 2-cell -> 8-cell -> morula -> 4-cell -> zygote/PN -> MII oocyte	1.9114539112921412	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> zygote/PN -> MII oocyte -> 4-cell -> 8-cell -> morula	1.9131655257736342	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> morula -> MII oocyte -> zygote/PN -> 4-cell	1.9169242116014815	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> morula -> 4-cell -> MII oocyte -> zygote/PN	1.920087318403038	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> morula -> zygote/PN -> 4-cell -> MII oocyte	1.922384556554764	8-cell	-0.20068847739403312	False
blastocyst -> 2-cell -> 8-cell -> 4-cell -> MII oocyte -> zygote/PN -> morula	1.9365171403567303	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> 4-cell -> MII oocyte -> zygote/PN -> morula -> 8-cell	1.9366351880584913	zygote/PN	-0.20091201350124943	False
blastocyst -> 2-cell -> 8-cell -> zygote/PN -> 4-cell -> MII oocyte -> morula	1.9510900294596334	MII oocyte	-0.16141955089898677	False
blastocyst -> 2-cell -> 8-cell -> morula -> MII oocyte -> 4-cell -> zygote/PN	1.9525013972405891	8-cell	-0.20068847739403312	False
