sample_name	stage	s_rna	detected_genes	detected_gene_score	marker_score	potency_score
Average Oocyte(RPKM)	oocyte	7.460609007814583	13986	0.6279693867408807	0.212346021251255	0.42015770399606783
Oocyte #1(RPKM)	oocyte	7.381788202896162	12788	0.508895736010337	0.2027673807290468	0.3558315583696919
Oocyte #2(RPKM)	oocyte	7.476926477091045	12871	0.5171454129808171	0.20991454541244492	0.363529979196631
Oocyte #3(RPKM)	oocyte	7.479714966370953	13110	0.5409005069078621	0.22036912559309682	0.38063481625047946
Average Zygote(RPKM)	zygote	7.404329915768682	14436	0.6726965510386641	0.23516027431042516	0.45392841267454465
Zygote #1(RPKM)	zygote	7.388042551066096	13484	0.5780737501242421	0.22955882188673432	0.40381628600548825
Zygote #2(RPKM)	zygote	7.332023014136357	13325	0.5622701520723586	0.24459519164437188	0.4034326718583653
Zygote #3(RPKM)	zygote	7.447523430585651	13381	0.5678361991849716	0.2271648528257542	0.3975005260053629
2-cell embryo#1 -Cell#1(RPKM)	2-cell	6.8605784872533535	13227	0.5525295696252858	0.2443676705400137	0.39844862008264975
2-cell embryo#1 -Cell#2(RPKM)	2-cell	6.9343774251266455	13168	0.5466653414173541	0.2389160944635008	0.39279071794042747
2-cell embryo#2 -Cell#1(RPKM)	2-cell	6.880976809855218	13222	0.5520326011330882	0.2468918689511962	0.3994622350421422
2-cell embryo#2 -Cell#2(RPKM)	2-cell	6.934467365787832	13253	0.5551138057847133	0.25710329689776645	0.40610855134123985
2-cell embryo#3 -Cell#1(RPKM)	2-cell	6.684735238365182	12964	0.5263890269356922	0.25182235734867536	0.3891056921421838
2-cell embryo#3 -Cell#2(RPKM)	2-cell	6.716838481069686	12968	0.5267866017294504	0.25111704726779527	0.3889518244986228
4-cell embryo#2 -Cell#1(RPKM)	2-cell	6.977343250440404	12482	0.47848126428784415	0.4813980174958874	0.4799396408918658
4-cell embryo#2 -Cell#2(RPKM)	2-cell	7.077382672310738	11514	0.3822681641983898	0.3191217461356145	0.35069495516700216
4-cell embryo#2 -Cell#3(RPKM)	2-cell	7.028845002576033	13658	0.5953682536527184	0.46181416772519623	0.5285912106889573
4-cell embryo#2 -Cell#4(RPKM)	2-cell	7.054585379634038	11530	0.3838584633734221	0.30724794212876816	0.34555320275109513
8-cell embryo#2 -Cell#1(RPKM)	2-cell	7.381811613573043	11573	0.3881323924063214	0.9278163351898934	0.6579743637981074
8-cell embryo#2 -Cell#2(RPKM)	2-cell	7.306984201562734	12322	0.4625782725375211	0.9245473562772971	0.6935628144074091
8-cell embryo#2 -Cell#3(RPKM)	2-cell	7.308987170427347	12654	0.4955769804194414	0.9551186566590183	0.7253478185392299
8-cell embryo#2 -Cell#4(RPKM)	2-cell	7.387800071184657	11156	0.34668522015704206	0.9566357590979234	0.6516604896274827
8-cell embryo#2 -Cell#5(RPKM)	2-cell	7.242563381993441	11005	0.3316767716926747	0.9351217612980018	0.6333992664953383
8-cell embryo#2 -Cell#6(RPKM)	2-cell	7.144435584880263	10655	0.29688897723884305	0.9154635980104513	0.6061762876246471
8-cell embryo#2 -Cell#7(RPKM)	2-cell	7.186480921862527	11265	0.3575191332869496	0.9164294932755191	0.6369743132812344
8-cell embryo#2 -Cell#8(RPKM)	2-cell	7.405372895335034	11678	0.3985687307424709	0.9401650438475329	0.6693668872950018
Average 2-cell embryo(RPKM)	2-cell	6.849322250351371	14891	0.7179206838286453	0.24922662329333514	0.4835736535609902
4-cell embryo#1 -Cell#1(RPKM)	4-cell	7.232490946264614	11116	0.3427094722194613	0.3058530483100951	0.3242812602647782
4-cell embryo#1 -Cell#2(RPKM)	4-cell	7.228723210124532	10534	0.2848623397276613	0.34118506698681383	0.31302370335723756
4-cell embryo#1 -Cell#3(RPKM)	4-cell	7.243452604287967	10549	0.28635324520425404	0.3055293025206894	0.2959412738624717
4-cell embryo#1 -Cell#4(RPKM)	4-cell	7.184361197353617	10555	0.28694960739489117	0.36891824545974206	0.3279339264273166
4-cell embryo#3 -Cell#1(RPKM)	4-cell	7.178833935046288	13149	0.5447768611470033	0.36885983539594963	0.4568183482714765
4-cell embryo#3 -Cell#2(RPKM)	4-cell	7.224214277915999	12048	0.43534439916509293	0.3331080347204758	0.38422621694278436
4-cell embryo#3 -Cell#3(RPKM)	4-cell	7.234044339454467	12871	0.5171454129808171	0.3746974934927413	0.4459214532367792
4-cell embryo#3 -Cell#4(RPKM)	4-cell	7.157297463900436	12631	0.4932909253553325	0.35381577754789834	0.42355335145161543
Average 4-cell embryo(RPKM)	4-cell	7.205008430812246	16775	0.905178411688699	0.40322099228499125	0.6541997019868451
8-cell embryo#1 -Cell#1(RPKM)	8-cell	6.933327217037199	12420	0.47231885498459397	0.7135642153255384	0.5929415351550662
8-cell embryo#1 -Cell#2(RPKM)	8-cell	7.063728419060469	12720	0.5021369645164496	0.8063976480438698	0.6542673062801597
8-cell embryo#1 -Cell#3(RPKM)	8-cell	6.836956909273406	13141	0.5439817115594872	0.7079013849084004	0.6259415482339438
8-cell embryo#1 -Cell#4(RPKM)	8-cell	6.913819866433364	12696	0.4997515157539012	0.7348937242234328	0.617322619988667
8-cell embryo#3 -Cell#1(RPKM)	8-cell	6.921838342009977	12096	0.44011529669018984	0.8074678097916125	0.6237915532409012
