sample_id	observed_region_fraction	n_observed_regions	n_regions
GSM2146951	0.33974358974358976	53	156
GSM2146952	0.41025641025641024	64	156
GSM2146953	0.358974358974359	56	156
GSM2146954	0.44871794871794873	70	156
GSM2481532	0.5128205128205128	80	156
GSM2481533	0.2948717948717949	46	156
GSM2481534	0.6025641025641025	94	156
GSM2481535	0.4807692307692308	75	156
GSM2481536	0.5256410256410257	82	156
GSM2481537	0.5705128205128205	89	156
GSM2481538	0.5384615384615384	84	156
GSM2481539	0.6089743589743589	95	156
GSM2481540	0.6282051282051282	98	156
GSM2481541	0.6025641025641025	94	156
GSM2481542	0.6666666666666666	104	156
GSM2481543	0.6153846153846154	96	156
GSM2481544	0.6858974358974359	107	156
GSM2481545	0.6602564102564102	103	156
GSM2481546	0.5	78	156
GSM2481547	0.5064102564102564	79	156
GSM2481548	0.5384615384615384	84	156
GSM2481549	0.4230769230769231	66	156
GSM2481550	0.47435897435897434	74	156
GSM2481551	0.32051282051282054	50	156
GSM2481552	0.32051282051282054	50	156
GSM2481554	0.3333333333333333	52	156
GSM2481555	0.26282051282051283	41	156
GSM2481556	0.32051282051282054	50	156
GSM2481557	0.26282051282051283	41	156
GSM2481558	0.3141025641025641	49	156
GSM2481559	0.358974358974359	56	156
GSM2481560	0.3525641025641026	55	156
GSM2481561	0.2692307692307692	42	156
GSM2481562	0.5448717948717948	85	156
GSM2481563	0.3974358974358974	62	156
GSM2481564	0.5705128205128205	89	156
GSM2481565	0.3269230769230769	51	156
GSM2481566	0.5192307692307693	81	156
GSM2481567	0.19230769230769232	30	156
GSM2481570	0.3782051282051282	59	156
GSM2481571	0.47435897435897434	74	156
GSM2481572	0.38461538461538464	60	156
GSM2481573	0.47435897435897434	74	156
GSM2481574	0.32051282051282054	50	156
GSM2481575	0.358974358974359	56	156
GSM2481576	0.2692307692307692	42	156
GSM2481577	0.5128205128205128	80	156
GSM2481578	0.40384615384615385	63	156
GSM2481581	0.48717948717948717	76	156
GSM2481586	0.2564102564102564	40	156
