module_id	TF	motif_database	motif_id	motif_name	log_odds_ratio	pvalue	motif_hit_count	foreground_nonhit_count	background_hit_count	background_nonhit_count	threshold	n_matched_background_sets	qvalue
M02	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	KLF4	3.5422935470939034	3.8526731678720665e-07	12	18	16	284	10.858938911058885	10	3.660039509478463e-05
M02	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	KLF5	3.346050460142893	2.664249039381123e-06	11	19	16	284	11.160025284327652	10	0.00012655182937060334
M01	KLF5	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0599.1	KLF5	2.404176506647077	0.011478666838157826	5	16	12	198	11.914086810714663	10	0.3634911165416645
M02	SOX2	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0143.5	SOX2	1.719659968339402	0.04580201585611796	5	25	18	282	10.798786680802987	10	0.9713651102262473
M01	KLF4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0039.5	KLF4	1.9114633253983424	0.054999206028321694	4	17	13	197	10.858938911058885	10	0.9713651102262473
M05	ZSCAN4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1155.1	ZSCAN4	3.190138222331821	0.06149831351444227	2	4	3	57	0.6776730196123821	10	0.9713651102262473
M02	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	TFAP2C	1.6451551718550808	0.08179916717694714	4	26	15	285	6.9876626016991965	10	0.9713651102262473
M02	KLF17	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1514.2	KLF17	1.6451551718550808	0.08179916717694714	4	26	15	285	7.786829739112071	10	0.9713651102262473
M01	TFAP2C	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0815.1	TFAP2C	1.7145845365939874	0.12245539530040865	3	18	11	199	7.838628080477621	10	1.0
M12	POU5F1	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA1115.2	POU5F1	2.722466024471091	0.2540018121413407	1	3	2	38	8.849164341468033	10	1.0
M12	TEAD4	JASPAR2024_CORE_vertebrates_PWM_matched_bg_q0.95	MA0809.3	TEAD4	2.722466024471091	0.2540018121413407	1	3	2	38	8.705677613016954	10	1.0
