sample_name	stage	POU5F1	NANOG	SOX2	KLF4	DPPA3	ZSCAN4	KLF17	TFAP2C	GDF3
Average Oocyte(RPKM)	oocyte	1.5490507624190053	0.2045721657287744	0.039220713153281295	0.22314355131420976	8.158738664959415	0.07232066157962612	0.0	0.12575120530556033	0.0
Oocyte #1(RPKM)	oocyte	1.2447307967981038	0.1432341680859078	0.0	0.0	8.134871887357374	0.20375683751401966	0.0	0.18979357163265562	0.0
Oocyte #2(RPKM)	oocyte	1.4699459336155014	0.21349717426240436	0.11332868530700317	0.30601302913650436	7.978523494420249	0.0	0.0	0.17563256864315802	0.0
Oocyte #3(RPKM)	oocyte	1.840549633397487	0.25309062768216184	0.0	0.33002291294130587	8.33142562394183	0.0	0.0	0.0	0.0
Average Zygote(RPKM)	zygote	2.0943301541735866	0.2295231582782488	0.0	0.31042155942127037	8.54696731028132	0.045928931888399804	0.0	0.23269776411902143	0.0
Zygote #1(RPKM)	zygote	2.1831256529567176	0.27990188513281866	0.0	0.33217731233833214	8.286220320812694	0.0	0.0	0.11154137473290741	0.0
Zygote #2(RPKM)	zygote	2.1572124399782933	0.173953307123438	0.0	0.12751332029895962	8.805746284419456	0.13278111123381847	0.0	0.5122246446796981	0.0
Zygote #3(RPKM)	zygote	1.922787731634459	0.23190505698278252	0.0	0.44532664153329504	8.47887742867179	0.0	0.0	0.0	0.0
2-cell embryo#1 -Cell#1(RPKM)	2-cell	2.0766877534832147	0.2045721657287744	0.0	0.22394323148477407	9.141072927083117	0.0	0.0	0.2523139286139896	0.0
2-cell embryo#1 -Cell#2(RPKM)	2-cell	1.7678082484055417	0.20863886511132804	0.0	0.3177261938001576	9.092315444566347	0.11955923505763925	0.0	0.13278111123381847	0.0
2-cell embryo#2 -Cell#1(RPKM)	2-cell	2.0744289998562917	0.16636153721522526	0.0	0.28065745751481647	9.315929091593505	0.0	0.0	0.1814878760453772	0.0
2-cell embryo#2 -Cell#2(RPKM)	2-cell	2.255074110322994	0.2677344346420849	0.0	0.24607852259670565	9.190704340802098	0.0	0.10436001532424277	0.4414755456311975	0.0
2-cell embryo#3 -Cell#1(RPKM)	2-cell	2.117579938570889	0.23980399220731702	0.0	0.21349717426240436	9.537949806884265	0.14496577025018573	0.0	0.0	0.0
2-cell embryo#3 -Cell#2(RPKM)	2-cell	2.170081743180952	0.23269776411902143	0.0	0.3886579897917831	9.428752025499714	0.0	0.0	0.0	0.0
4-cell embryo#2 -Cell#1(RPKM)	2-cell	3.120115700844023	0.1595645696713384	1.660511182618101	0.21026092548319608	8.504179073958406	4.550745678676536	2.4784693078239948	2.508948644268238	0.0
4-cell embryo#2 -Cell#2(RPKM)	2-cell	2.5109804219593475	0.14928170271575444	0.6318035503188933	0.0	8.934424011279049	3.234040261387973	0.0	0.0	0.0
4-cell embryo#2 -Cell#3(RPKM)	2-cell	2.722084590066013	0.5810976767513224	0.5754891370917129	1.9303613186656832	8.497834821423167	4.379623750057571	1.8586389980675997	1.7145183888846078	0.0
4-cell embryo#2 -Cell#4(RPKM)	2-cell	3.875193032177428	0.28216689176367077	0.09621885774054292	1.3509262172820993	8.891820326158877	0.13453089295760615	0.0	0.2639015437863775	0.0
8-cell embryo#2 -Cell#1(RPKM)	2-cell	4.505703379367479	4.255229657739738	3.9772487903458535	3.5844629371935084	8.6332750475536	6.607848117041113	6.484468809573463	5.048476851523131	1.3673663512343717
8-cell embryo#2 -Cell#2(RPKM)	2-cell	3.9564608548587143	4.387461837163821	3.1861046685376566	3.7311963307409646	8.222093811962587	6.531329420695801	6.4700376037033145	5.089914633555326	2.733717947850788
8-cell embryo#2 -Cell#3(RPKM)	2-cell	4.85840055545871	3.7149613451124375	5.0259376141046985	4.471570219583869	8.234861579686978	6.796885168900693	6.005194853556241	4.500209590351592	2.1569811191352537
8-cell embryo#2 -Cell#4(RPKM)	2-cell	3.9980539019038144	4.7031495276810595	3.9083763645079483	4.671510208447283	7.9545404465920635	6.466746409440712	6.3279635690847496	4.69846925395291	3.1084804332457443
8-cell embryo#2 -Cell#5(RPKM)	2-cell	4.251604688420684	4.337970248476962	4.318381048084902	3.155509949246381	8.177085956185312	6.483226610400614	6.575402147188471	5.047609896887617	2.4653839832991364
8-cell embryo#2 -Cell#6(RPKM)	2-cell	4.22572364027848	4.480468269985914	4.161894170483335	4.357324022033509	8.902077153260958	6.097296451644611	5.959687461293706	4.834900000177037	0.856116008838085
8-cell embryo#2 -Cell#7(RPKM)	2-cell	3.916174376550622	4.424427382307352	4.336113577659475	3.9612892467310643	8.876822646485396	6.282973039468749	6.209438760387166	4.570102437327591	1.3441694348192195
8-cell embryo#2 -Cell#8(RPKM)	2-cell	3.9069702617914945	3.583991049216507	4.570723658253724	4.982167230116731	8.728405528021678	5.911525375741044	6.0541951850090365	4.848014398615813	2.466488064263982
Average 2-cell embryo(RPKM)	2-cell	2.087781665954837	0.2207406666978994	0.0	0.28065745751481647	9.29734607394971	0.045928931888399804	0.017839918128331	0.1798184265758361	0.0
4-cell embryo#1 -Cell#1(RPKM)	4-cell	2.1481510396869816	0.2956502421009578	0.0	0.0	8.24976305707012	3.7114234185488306	0.0	0.4233050262364954	0.0
4-cell embryo#1 -Cell#2(RPKM)	4-cell	2.6758024535520892	1.5916811908448414	0.0	0.0	8.065478888140865	4.06285389513073	0.0	0.11600367575630613	0.0
4-cell embryo#1 -Cell#3(RPKM)	4-cell	3.1152471420551335	0.1798184265758361	0.0	0.0	8.001282996431978	3.5165181291142344	0.0	0.0	0.0
4-cell embryo#1 -Cell#4(RPKM)	4-cell	1.5124863863576499	1.8354573244937744	0.17311261770864478	2.378897775843209	8.180063698849649	3.2585579700069056	0.0	0.49469624183610705	0.0
4-cell embryo#3 -Cell#1(RPKM)	4-cell	2.952459361320524	0.6216511788548753	0.6075892921982987	0.6004834956965259	8.738325601741467	3.0065238346321896	0.0	1.303456082810886	0.0
4-cell embryo#3 -Cell#2(RPKM)	4-cell	2.99787996561145	0.10074990310014305	0.0	1.0612565021243408	8.603739993841147	2.413231613081109	0.8051356825079926	0.14496577025018573	0.0
4-cell embryo#3 -Cell#3(RPKM)	4-cell	2.9399552580849924	0.5411608235620636	0.1362776182925478	1.462329047395888	8.456999564208282	3.4928341561001712	0.0	1.0790896221792459	0.0
4-cell embryo#3 -Cell#4(RPKM)	4-cell	2.9861868607104594	0.11332868530700317	0.0	0.966223100622364	8.535841623473518	3.923180528124023	0.0	0.5888971591861462	0.0
Average 4-cell embryo(RPKM)	4-cell	2.937679342105374	0.7328485474114974	0.46937843385181716	1.164087870627021	8.51310564878468	3.677565694213663	0.9021918074946534	1.0708984501005938	0.0
8-cell embryo#1 -Cell#1(RPKM)	8-cell	3.5936617700317504	0.5822156198526637	2.894308443416027	4.451179493362198	7.7845572937931715	5.677606178618351	5.357939132731642	3.9137614933818656	0.0
8-cell embryo#1 -Cell#2(RPKM)	8-cell	3.9630962756121466	2.6543680908523504	2.6258997180745327	4.9643400151109525	7.978395642319932	5.6837328168504975	5.178931171518109	4.285956165923148	1.3439086446234527
8-cell embryo#1 -Cell#3(RPKM)	8-cell	3.4691052202693307	1.6264916669999279	2.3837041442788376	4.597359763896114	7.730974563220002	5.2068981072852125	5.306692199530216	3.6641768414735645	0.0
8-cell embryo#1 -Cell#4(RPKM)	8-cell	3.1546572525415497	2.545531271604435	2.9747129063299154	4.558330119142274	7.750089842564396	4.931519934080711	5.062056913583122	4.294656102286582	0.0
8-cell embryo#3 -Cell#1(RPKM)	8-cell	2.968874819384108	3.3265456719663753	3.1517098550083436	4.051924068560346	7.875234819785427	5.971659719809383	5.8165574352574	4.043016179499664	1.5240978652670851
8-cell embryo#3 -Cell#2(RPKM)	8-cell	3.0115071926693533	3.91792555108076	3.1200273928255973	4.395744611502078	7.957213737362307	5.787722194489056	5.868785482940617	3.8841583672798414	3.0978374964911444
8-cell embryo#3 -Cell#3(RPKM)	8-cell	4.114620933493031	4.535541398063421	2.8173828175124367	4.922903657782143	8.24983204329407	6.438874219419219	5.837158855266982	3.7595242936832682	2.9850251564103027
8-cell embryo#3 -Cell#4(RPKM)	8-cell	3.1611619626777276	3.53292715234005	2.6053528028638673	5.372199598938741	8.377949744599022	6.419357917481333	6.05798001903993	4.542485944610702	0.6688544879909007
