sample_name	stage
Oocyte #1(RPKM)	oocyte
Oocyte #2(RPKM)	oocyte
Oocyte #3(RPKM)	oocyte
Zygote #1(RPKM)	zygote
Zygote #2(RPKM)	zygote
Zygote #3(RPKM)	zygote
2-cell embryo#1 -Cell#1(RPKM)	2-cell
2-cell embryo#1 -Cell#2(RPKM)	2-cell
2-cell embryo#2 -Cell#1(RPKM)	2-cell
2-cell embryo#2 -Cell#2(RPKM)	2-cell
2-cell embryo#3 -Cell#1(RPKM)	2-cell
2-cell embryo#3 -Cell#2(RPKM)	2-cell
4-cell embryo#1 -Cell#1(RPKM)	4-cell
4-cell embryo#1 -Cell#2(RPKM)	4-cell
4-cell embryo#1 -Cell#3(RPKM)	4-cell
4-cell embryo#1 -Cell#4(RPKM)	4-cell
4-cell embryo#2 -Cell#1(RPKM)	2-cell
4-cell embryo#2 -Cell#2(RPKM)	2-cell
4-cell embryo#2 -Cell#3(RPKM)	2-cell
4-cell embryo#2 -Cell#4(RPKM)	2-cell
4-cell embryo#3 -Cell#1(RPKM)	4-cell
4-cell embryo#3 -Cell#2(RPKM)	4-cell
4-cell embryo#3 -Cell#3(RPKM)	4-cell
4-cell embryo#3 -Cell#4(RPKM)	4-cell
8-cell embryo#1 -Cell#1(RPKM)	8-cell
8-cell embryo#1 -Cell#2(RPKM)	8-cell
8-cell embryo#1 -Cell#3(RPKM)	8-cell
8-cell embryo#1 -Cell#4(RPKM)	8-cell
8-cell embryo#2 -Cell#1(RPKM)	2-cell
8-cell embryo#2 -Cell#2(RPKM)	2-cell
8-cell embryo#2 -Cell#3(RPKM)	2-cell
8-cell embryo#2 -Cell#4(RPKM)	2-cell
8-cell embryo#2 -Cell#5(RPKM)	2-cell
8-cell embryo#2 -Cell#6(RPKM)	2-cell
8-cell embryo#2 -Cell#7(RPKM)	2-cell
8-cell embryo#2 -Cell#8(RPKM)	2-cell
8-cell embryo#3 -Cell#1(RPKM)	8-cell
8-cell embryo#3 -Cell#2(RPKM)	8-cell
8-cell embryo#3 -Cell#3(RPKM)	8-cell
8-cell embryo#3 -Cell#4(RPKM)	8-cell
8-cell embryo#3 -Cell#5(RPKM)	8-cell
8-cell embryo#3 -Cell#6(RPKM)	8-cell
8-cell embryo#3 -Cell#7(RPKM)	8-cell
8-cell embryo#3 -Cell#8(RPKM)	8-cell
Morulae #1 -Cell#1(RPKM)	morula
Morulae #1 -Cell#2(RPKM)	morula
Morulae #1 -Cell#3(RPKM)	morula
Morulae #1 -Cell#4(RPKM)	morula
Morulae #1 -Cell#5(RPKM)	morula
Morulae #1 -Cell#6(RPKM)	morula
Morulae #1 -Cell#7(RPKM)	morula
Morulae #1 -Cell#8(RPKM)	morula
Morulae #2 -Cell#1(RPKM)	morula
Morulae #2 -Cell#2(RPKM)	morula
Morulae #2 -Cell#3(RPKM)	morula
Morulae #2 -Cell#4(RPKM)	morula
Morulae #2 -Cell#5(RPKM)	morula
