stage	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed	filename
MII oocyte	cluster_3123	0.029691182	10.0	10.0	1.0	2	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_3519	0.033654647	86.0	101.0	0.8514851485148515	15	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_3133	-0.018315712	33.0	53.0	0.6226415094339622	3	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_3762	-0.027459185	39.0	107.0	0.3644859813084112	3	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6262	-0.037492605	10.0	10.0	1.0	1	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_643	0.045617076	0.0	11.0	0.0	10	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_5760	-0.024623956	8.0	22.0	0.36363636363636365	2	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6400	0.057841086	36.0	198.0	0.18181818181818182	9	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_5307	-0.024274621	4.0	68.0	0.058823529411764705	4	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6871	-0.011480476	1.0	1.0	1.0	1	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_1257	-0.042734524	0.0	6.0	0.0	3	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6518	0.059909335	31.0	214.0	0.14485981308411214	7	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_5064	-0.024982701	1.0	1.0	1.0	1	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_2324	-0.070097421	141.0	189.0	0.746031746031746	6	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_3303	-0.028370305	20.0	84.0	0.23809523809523808	5	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_7095	-0.064702969	0.0	330.0	0.0	3	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_2355	-0.01669596	9.0	11.0	0.8181818181818182	2	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_23	-0.023801903	93.0	157.0	0.5923566878980892	11	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6410	-0.021018304	0.0	20.0	0.0	2	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6655	0.116026458	113.0	115.0	0.9826086956521739	10	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_5002	0.073881417	781.0	844.0	0.9253554502369669	21	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_2832	-0.020554218	7.0	140.0	0.05	13	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6114	0.03469714	17.0	17.0	1.0	1	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_6275	-0.032421038	1.0	1.0	1.0	1	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_950	0.033547863	176.0	204.0	0.8627450980392157	15	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_4889	-0.019214397	2.0	2.0	1.0	1	GSE49828_RRBS_MII_Oocyte1_methylation_calling.bed.txt.gz
MII oocyte	cluster_3123	0.029691182	24.0	24.0	1.0	3	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_3519	0.033654647	190.0	190.0	1.0	10	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_3133	-0.018315712	27.0	44.0	0.6136363636363636	3	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_3762	-0.027459185	42.0	42.0	1.0	2	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_6262	-0.037492605	25.0	25.0	1.0	1	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_643	0.045617076	2.0	11.0	0.18181818181818182	10	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_5760	-0.024623956	2.0	16.0	0.125	2	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_6400	0.057841086	11.0	111.0	0.0990990990990991	8	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_5307	-0.024274621	24.0	92.0	0.2608695652173913	7	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_1257	-0.042734524	0.0	3.0	0.0	3	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_6518	0.059909335	0.0	108.0	0.0	6	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_2324	-0.070097421	16.0	78.0	0.20512820512820512	9	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_3303	-0.028370305	0.0	52.0	0.0	2	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_7095	-0.064702969	0.0	248.0	0.0	3	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_2355	-0.01669596	17.0	31.0	0.5483870967741935	2	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_23	-0.023801903	6.0	139.0	0.04316546762589928	10	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_6410	-0.021018304	0.0	31.0	0.0	2	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_6655	0.116026458	230.0	232.0	0.9913793103448276	10	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
MII oocyte	cluster_5002	0.073881417	920.0	952.0	0.9663865546218487	28	GSE49828_RRBS_MII_Oocyte2_methylation_calling.bed.txt.gz
