stage	sample	cluster_name	age_weight_5yr	met_reads	total_reads	beta	n_cpg_observed
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_3123	0.029691182	41.0	41.0	1.0	18
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_915	0.034264481	4.0	4.0	1.0	4
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_5923	0.033485903	1.0	2.0	0.5	2
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_3519	0.033654647	60.0	89.0	0.6741573033707865	16
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_4028	-0.005814663	0.0	2.0	0.0	2
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_4364	0.050410937	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_3133	-0.018315712	2.0	36.0	0.05555555555555555	7
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_3762	-0.027459185	2.0	6.0	0.3333333333333333	2
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_643	0.045617076	109.0	111.0	0.9819819819819819	19
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_126	-0.021650446	22.0	27.0	0.8148148148148148	6
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_652	0.040863042	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_5760	-0.024623956	5.0	50.0	0.1	11
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_7000	-0.023266685	1.0	1.0	1.0	1
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_3660	0.042266849	2.0	5.0	0.4	3
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_6400	0.057841086	156.0	177.0	0.8813559322033898	20
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_7683	-0.027870513	0.0	3.0	0.0	3
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_125	-0.020406298	0.0	1.0	0.0	1
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_5307	-0.024274621	3.0	120.0	0.025	8
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_1257	-0.042734524	12.0	34.0	0.35294117647058826	4
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_832	0.093944091	43.0	74.0	0.581081081081081	17
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_1718	0.013745268	38.0	38.0	1.0	14
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_6518	0.059909335	54.0	59.0	0.9152542372881356	10
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_5064	-0.024982701	15.0	30.0	0.5	9
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_4532	0.015502877	16.0	16.0	1.0	4
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_6651	0.028197967	2.0	2.0	1.0	1
sperm	GSE49828_RRBS_Sperm1_methylation_calling.bed.txt.gz	cluster_2324	-0.070097421	68.0	95.0	0.7157894736842105	18
