source	term_id	term_name	p_value_gprofiler	significant_gprofiler	term_size	query_size	intersection_size	precision	recall	representative_genes
KEGG	KEGG:04519	Cadherin signaling	0.01780674235993571	True	399	21	6	0.2857142857142857	0.015037593984962405	PCDH17,DSC1,WNT5B,ATN1,KRT25,WNT7B
GO:BP	GO:0048513	animal organ development	0.046288179337620604	True	3018	34	15	0.4411764705882353	0.004970178926441352	FSHR,DSC1,ANK2,WNT5B,NR2F2,ABLIM1,ATN1,ALX4,KRT25,PNPLA1,CRYBA2,WNT7B,SMYD1,HOXD10,NKX2-5
KEGG	KEGG:05205	Proteoglycans in cancer	0.0849220611213608	True	204	21	4	0.19047619047619047	0.0196078431372549	ANK2,WNT5B,WNT7B,HOXD10
GO:BP	GO:0003002	regionalization	0.08906939013715022	True	422	34	6	0.17647058823529413	0.014218009478672985	NR2F2,GREM2,ALX4,WNT7B,HOXD10,NKX2-5
GO:BP	GO:0098773	skin epidermis development	0.11243976876645989	True	136	34	4	0.11764705882352941	0.029411764705882353	DSC1,ALX4,KRT25,PNPLA1
GO:BP	GO:0061061	muscle structure development	0.14301859301895176	True	673	34	7	0.20588235294117646	0.010401188707280832	ANK2,WNT5B,NR2F2,ALX4,SMYD1,HOXD10,NKX2-5
GO:BP	GO:0007389	pattern specification process	0.15769369860038474	True	468	34	6	0.17647058823529413	0.01282051282051282	NR2F2,GREM2,ALX4,WNT7B,HOXD10,NKX2-5
GO:BP	GO:0045165	cell fate commitment	0.18238591527810072	True	297	34	5	0.14705882352941177	0.016835016835016835	WNT5B,NR2F2,WNT7B,HOXD10,NKX2-5
GO:BP	GO:0048856	anatomical structure development	0.3268645914534339	True	5948	34	20	0.5882352941176471	0.0033624747814391394	PCDH17,FSHR,DSC1,ANK2,CCDC146,WNT5B,NR2F2,GREM2,ABLIM1,ATN1,ARID3C,ALX4,KRT25,PNPLA1,CRYBA2,WNT7B,SMOC2,SMYD1,HOXD10,NKX2-5
GO:CC	GO:0045211	postsynaptic membrane	0.33220432431791586	True	304	36	4	0.1111111111111111	0.013157894736842105	PCDH17,ANK2,GSG1L,LRFN2
REAC	REAC:R-HSA-3238698	WNT ligand biogenesis and trafficking	0.3527646722905891	True	26	21	2	0.09523809523809523	0.07692307692307693	WNT5B,WNT7B
GO:BP	GO:0032502	developmental process	0.3725389285659013	True	6535	34	21	0.6176470588235294	0.0032134659525631217	PCDH17,FSHR,DSC1,ANK2,CCDC146,WNT5B,NR2F2,GREM2,ABLIM1,ATN1,ARID3C,ALX4,KRT25,PNPLA1,CRYBA2,WNT7B,SMOC2,DAPL1,SMYD1,HOXD10,NKX2-5
GO:CC	GO:1990664	Nkx-2.5 complex	0.37268701123649545	True	1	36	1	0.027777777777777776	1.0	NKX2-5
REAC	REAC:R-HSA-9733709	Cardiogenesis	0.38055007861684154	True	27	21	2	0.09523809523809523	0.07407407407407407	SMYD1,NKX2-5
GO:BP	GO:0070307	lens fiber cell development	0.3822276997997034	True	14	34	2	0.058823529411764705	0.14285714285714285	WNT5B,WNT7B
WP	WP:WP4150	Wnt signaling in kidney disease	0.41308796006490434	True	37	19	2	0.10526315789473684	0.05405405405405406	WNT5B,WNT7B
GO:CC	GO:0031672	A band	0.4417635463577825	True	40	36	2	0.05555555555555555	0.05	MYH1,ANK2
GO:BP	GO:0007517	muscle organ development	0.4579130364385937	True	362	34	5	0.14705882352941177	0.013812154696132596	NR2F2,ALX4,SMYD1,HOXD10,NKX2-5
GO:BP	GO:0032501	multicellular organismal process	0.6517168281555968	True	7337	34	22	0.6470588235294118	0.0029985007496251873	PCDH17,FSHR,MYH1,DSC1,ANK2,RASA3,WNT5B,NR2F2,GREM2,ABLIM1,OR14J1,ATN1,ALX4,KRT25,CRYBA2,OR6K2,WNT7B,SMOC2,DAPL1,SMYD1,HOXD10,NKX2-5
KEGG	KEGG:05217	Basal cell carcinoma	0.6580726440226589	True	63	21	2	0.09523809523809523	0.031746031746031744	WNT5B,WNT7B
WP	WP:WP1591	Heart development	0.6620260832039608	True	47	19	2	0.10526315789473684	0.0425531914893617	SMYD1,NKX2-5
GO:BP	GO:0002088	lens development in camera-type eye	0.6698913070201984	True	89	34	3	0.08823529411764706	0.033707865168539325	WNT5B,CRYBA2,WNT7B
GO:CC	GO:0014704	intercalated disc	0.686757519110003	True	50	36	2	0.05555555555555555	0.04	MYH1,ANK2
GO:BP	GO:0048598	embryonic morphogenesis	0.7395993095357722	True	623	34	6	0.17647058823529413	0.009630818619582664	WNT5B,GREM2,ALX4,WNT7B,HOXD10,NKX2-5
GO:CC	GO:0030054	cell junction	0.8224357482162546	True	2370	36	10	0.2777777777777778	0.004219409282700422	PCDH17,MYH1,DSC1,ANK2,GSG1L,SYNPR,ATN1,LRFN2,PLEKHG5,CHAT
GO:MF	GO:0004963	follicle-stimulating hormone receptor activity	0.8997336788310859	True	1	40	1	0.025	1.0	FSHR
GO:MF	GO:0004102	choline O-acetyltransferase activity	0.8997336788310859	True	1	40	1	0.025	1.0	CHAT
GO:MF	GO:0106341	omega-hydroxyceramide transacylase activity	0.8997336788310859	True	1	40	1	0.025	1.0	PNPLA1
GO:BP	GO:0001942	hair follicle development	0.9150474150377034	True	99	34	3	0.08823529411764706	0.030303030303030304	DSC1,ALX4,KRT25
KEGG	KEGG:04382	Cornified envelope formation	0.9442645631596407	True	215	21	3	0.14285714285714285	0.013953488372093023	DSC1,KRT25,PNPLA1
GO:BP	GO:0022405	hair cycle process	0.9983710000553131	True	102	34	3	0.08823529411764706	0.029411764705882353	DSC1,ALX4,KRT25
GO:BP	GO:0022404	molting cycle process	0.9983710000553131	True	102	34	3	0.08823529411764706	0.029411764705882353	DSC1,ALX4,KRT25
GO:BP	GO:0051384	response to glucocorticoid	1.0	False	113	34	1	0.029411764705882353	0.008849557522123894	WNT7B
GO:BP	GO:0051402	neuron apoptotic process	1.0	False	293	34	1	0.029411764705882353	0.0034129692832764505	ATN1
GO:BP	GO:0051606	detection of stimulus	1.0	False	646	34	3	0.08823529411764706	0.0046439628482972135	OR14J1,OR6K2,DAPL1
GO:BP	GO:0051607	defense response to virus	1.0	False	322	34	1	0.029411764705882353	0.003105590062111801	IRF9
GO:BP	GO:0051640	organelle localization	1.0	False	614	34	1	0.029411764705882353	0.0016286644951140066	PCDH17
GO:BP	GO:0051641	cellular localization	1.0	False	2584	34	3	0.08823529411764706	0.0011609907120743034	PCDH17,ANK2,GSG1L
GO:BP	GO:0051648	vesicle localization	1.0	False	220	34	1	0.029411764705882353	0.004545454545454545	PCDH17
GO:BP	GO:0051649	establishment of localization in cell	1.0	False	1938	34	2	0.058823529411764705	0.0010319917440660474	PCDH17,GSG1L
GO:BP	GO:0051668	localization within membrane	1.0	False	921	34	1	0.029411764705882353	0.0010857763300760044	ANK2
GO:BP	GO:0051707	response to other organism	1.0	False	1610	34	1	0.029411764705882353	0.0006211180124223603	IRF9
GO:BP	GO:0051726	regulation of cell cycle	1.0	False	1088	34	3	0.08823529411764706	0.0027573529411764708	NR2F2,SMOC2,HOXD10
GO:BP	GO:0051338	regulation of transferase activity	1.0	False	408	34	1	0.029411764705882353	0.0024509803921568627	NR2F2
GO:BP	GO:0051890	regulation of cardioblast differentiation	1.0	False	5	34	1	0.029411764705882353	0.2	NKX2-5
GO:BP	GO:0051174	regulation of phosphorus metabolic process	1.0	False	702	34	1	0.029411764705882353	0.0014245014245014246	NR2F2
GO:BP	GO:0051179	localization	1.0	False	5493	34	6	0.17647058823529413	0.0010922992900054614	PCDH17,SLC3A1,ANK2,GSG1L,CHAT,NKX2-5
GO:BP	GO:0051209	release of sequestered calcium ion into cytosol	1.0	False	125	34	1	0.029411764705882353	0.008	ANK2
GO:BP	GO:0051216	cartilage development	1.0	False	213	34	2	0.058823529411764705	0.009389671361502348	WNT5B,WNT7B
GO:BP	GO:0051234	establishment of localization	1.0	False	4804	34	6	0.17647058823529413	0.0012489592006661116	PCDH17,SLC3A1,ANK2,GSG1L,CHAT,NKX2-5
GO:BP	GO:0051239	regulation of multicellular organismal process	1.0	False	2923	34	4	0.11764705882352941	0.0013684570646595963	ANK2,SMOC2,DAPL1,NKX2-5
GO:BP	GO:0051240	positive regulation of multicellular organismal process	1.0	False	1639	34	2	0.058823529411764705	0.0012202562538133007	SMOC2,NKX2-5
GO:BP	GO:0051716	cellular response to stimulus	1.0	False	7425	34	15	0.4411764705882353	0.00202020202020202	FSHR,ANK2,RASA3,WNT5B,IRF9,NR2F2,GREM2,OR14J1,PLEKHG5,ST18,OR6K2,WNT7B,SMOC2,DAPL1,NKX2-5
GO:BP	GO:0051336	regulation of hydrolase activity	1.0	False	277	34	1	0.029411764705882353	0.0036101083032490976	RASA3
GO:BP	GO:0051896	regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	1.0	False	268	34	1	0.029411764705882353	0.0037313432835820895	FSHR
GO:BP	GO:0055011	atrial cardiac muscle cell differentiation	1.0	False	3	34	1	0.029411764705882353	0.3333333333333333	NKX2-5
GO:BP	GO:0055088	lipid homeostasis	1.0	False	170	34	1	0.029411764705882353	0.0058823529411764705	PNPLA1
GO:BP	GO:0055117	regulation of cardiac muscle contraction	1.0	False	74	34	2	0.058823529411764705	0.02702702702702703	ANK2,NKX2-5
GO:BP	GO:0055123	digestive system development	1.0	False	147	34	1	0.029411764705882353	0.006802721088435374	ALX4
GO:BP	GO:0060021	roof of mouth development	1.0	False	93	34	1	0.029411764705882353	0.010752688172043012	ALX4
GO:BP	GO:0060026	convergent extension	1.0	False	15	34	1	0.029411764705882353	0.06666666666666667	WNT5B
GO:BP	GO:0060027	convergent extension involved in gastrulation	1.0	False	7	34	1	0.029411764705882353	0.14285714285714285	WNT5B
GO:BP	GO:0051891	positive regulation of cardioblast differentiation	1.0	False	4	34	1	0.029411764705882353	0.25	NKX2-5
GO:BP	GO:0051241	negative regulation of multicellular organismal process	1.0	False	1091	34	1	0.029411764705882353	0.0009165902841429881	DAPL1
GO:BP	GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	1.0	False	192	34	1	0.029411764705882353	0.005208333333333333	FSHR
GO:BP	GO:0051899	membrane depolarization	1.0	False	92	34	1	0.029411764705882353	0.010869565217391304	ANK2
GO:BP	GO:0051924	regulation of calcium ion transport	1.0	False	223	34	1	0.029411764705882353	0.004484304932735426	ANK2
GO:BP	GO:0051928	positive regulation of calcium ion transport	1.0	False	94	34	1	0.029411764705882353	0.010638297872340425	ANK2
GO:BP	GO:0051938	L-glutamate import	1.0	False	44	34	1	0.029411764705882353	0.022727272727272728	SLC3A1
GO:BP	GO:0055001	muscle cell development	1.0	False	190	34	2	0.058823529411764705	0.010526315789473684	ANK2,NKX2-5
GO:BP	GO:0055002	striated muscle cell development	1.0	False	162	34	1	0.029411764705882353	0.006172839506172839	NKX2-5
GO:BP	GO:0055003	cardiac myofibril assembly	1.0	False	19	34	1	0.029411764705882353	0.05263157894736842	NKX2-5
GO:BP	GO:0055005	ventricular cardiac myofibril assembly	1.0	False	3	34	1	0.029411764705882353	0.3333333333333333	NKX2-5
GO:BP	GO:0055006	cardiac cell development	1.0	False	83	34	1	0.029411764705882353	0.012048192771084338	NKX2-5
GO:BP	GO:0055007	cardiac muscle cell differentiation	1.0	False	113	34	1	0.029411764705882353	0.008849557522123894	NKX2-5
GO:BP	GO:0055008	cardiac muscle tissue morphogenesis	1.0	False	59	34	1	0.029411764705882353	0.01694915254237288	NKX2-5
GO:BP	GO:0055010	ventricular cardiac muscle tissue morphogenesis	1.0	False	47	34	1	0.029411764705882353	0.02127659574468085	NKX2-5
GO:BP	GO:0051279	regulation of release of sequestered calcium ion into cytosol	1.0	False	77	34	1	0.029411764705882353	0.012987012987012988	ANK2
