cluster_name	k27ac_8cell_ov	k27ac_8cell_score	k27ac_blast_ov	k27ac_blast_score	k27me3_8cell_ov	k27me3_8cell_score	k4me3_8cell_ov	k4me3_8cell_score	k27me3_blast_ov	k27me3_blast_score	k4me3_blast_ov	k4me3_blast_score	acc_morula_mean	acc_8-cell_mean	acc_2-cell_mean	acc_4-cell_mean	basin_residual_rank	observed_minus_strict_pred_delta_beta	latent_residual_delta_beta	module_id	curvature	is_inverted_u	is_u_shape	meth_2_cell	meth_4_cell	meth_8_cell	meth_morula	meth_blastocyst
cluster_2623	0		0		0		0		1		0						1	-0.0613144088378704	-0.1966477625952775	M05	0.0	False	False	0.05	0.0	0.0	0.0	0.0
cluster_6262	1		0		0		0		0		1		-0.41662308366666667	0.4251660773333333	-0.193102015	-0.28589342199999995	2	-0.22329559998725115	-0.1912454605053165	M10	0.3094276094276093	False	True	0.16166666666666668	0.3495238095238096	0.07609427609427609	0.0	0.2333333333333333
cluster_6892	0		0		0		0		0		0		1.056105408	-0.7312770559999999	-0.551575237	0.090062338	3	-0.10137309368940643	-0.1797887109823562	M05	0.0444444444444444	False	False	0.05	0.04	0.04444444444444445	0.0	0.0
cluster_5678	0		0		0		0		1		0		0.4111815006	0.5991790972000001	-0.8884289442000001	0.16279749240000002	4	0.28924559652860776	-0.16456915596653188	M10	-0.5240834111422348	False	False	0.4226190476190477	0.6101960784313726	0.0417989417989418	0.6862745098039216	0.8066666666666666
cluster_3275	0		0		0		0		1		0		0.10283270710526307	0.4177282630000001	0.08852986836842107	-0.06942569778947368	5	-0.09822141211861564	-0.1422064863349969	M05	0.1666666666666666	False	True	0.15670454545454546	0.0	0.06666666666666668	0.0	0.1
cluster_4373	0		0		0		0		0		0		-0.4038656483333333	-0.27543466866666666	-0.24015084666666675	-0.7373497749999999	6	-0.43386433690932297	-0.13619483090728782	M01	0.972010582010582	False	True	0.825	0.11333333333333336	0.4720105820105821	0.0	0.5
cluster_4141	0		0		0		0		0		0		0.07451343352727277	0.2442645046	-0.021671916927272748	0.2969458643818181	7	-0.3230115427412089	-0.13453149715980126	M05	0.4925925925925925	False	False	0.3792513368983957	0.0	0.4925925925925925	0.0	0.0
cluster_7042	0		1		0		0		0		0		0.9119015956363636	0.13075499772727273	-0.5258263642727273	-0.10641330972727273	8	0.05353087377873125	-0.12979276926158487	M05	-0.2235042735042736	True	False	0.11606060606060604	0.021714285714285717	0.011111111111111113	0.125	0.015384615384615384
cluster_4605	0		0		0		0		0		0		0.10468495178947372	0.44258665336842107	-0.2514046176315789	0.12957938052631582	9	0.06658549947794262	-0.12455720559417552	M01	-0.19000000000000009	True	False	0.4457142857142856	0.128	0.35000000000000003	0.45	0.36
cluster_6498	0		0		0		0		0		0		0.19087516559999998	0.7099012865333333	-0.3239379619333333	-0.07710238166666666	10	0.6839411513095702	0.12336847335978415	M12	-1.4714285714285715	True	False	0.05	0.0	0.5	1.0	0.028571428571428567
cluster_2743	0		1		0		0		1		0		0.5076093964285714	0.2201693547142857	-0.0918472660714286	-0.20325648678571429	11	-0.12028835364704367	-0.11797099778706845	M07	0.1555555555555555	False	True	0.21904761904761907	0.04	0.05555555555555555	0.0	0.1
cluster_6960	1		0		0		0		0		0		1.6387179753333332	0.13909698566666664	-0.4606751793333334	-0.644494575	12	-0.3775473110042004	-0.11508728696770935	M01	0.6652336860670192	False	True	0.35	0.4460634920634921	0.43820987654320975	0.03125	0.2895238095238095
cluster_1742	0		0		0		0		0		0		0.8376863477500001	0.0983085115	-0.6120045551249998	0.266834293625	13	-0.13317505724734113	0.1109335240179164	M08	0.1825708061002176	False	False	0.0625	0.57	0.5159041394335511	0.25	0.16666666666666666
cluster_6655	0		0		0		1		1		0		0.2759873700588236	0.6766300351176471	-0.3039750262352941	-0.10047627000000002	14	0.015422882905597847	-0.10061235696372343	M01	-0.10151560679961258	False	False	0.4160415928157864	0.31231328320802004	0.5552155194879653	0.5	0.3432688737124221
cluster_4404	1		1		0		0		0		0		0.015064603600000013	0.1649511072	-0.29532831460000003	-0.2763414501999999	15	-0.15963651142287255	-0.09722469353806078	M01	0.1545118474367889	False	False	0.3182500601250601	0.36508768734016256	0.4645995667350346	0.2333333333333333	0.15657894736842107
cluster_543	0		0		0		0		0		0		0.19774904530434775	0.3516830412608695	0.06980410947826086	0.17655435463043478	16	-0.2616224767233678	0.0903190284088766	M08	0.8111111111111109	False	True	0.12083333333333332	0.1	0.9777777777777776	0.25	0.3333333333333333
cluster_4026	0		1		0		0		1		0		0.18648647845161287	0.17698381564516127	-0.04392048277419357	0.3057414920967742	17	0.3758244911517803	0.08347397901705353	M03	-1.346666666666667	True	False	0.9	0.89	0.3733333333333333	1.0	0.28
cluster_4904	0		0		0		0		0		0						18	-0.2204698686929519	0.07951997997463606	M12	0.5	False	False	0.05	0.0	0.5	0.0	0.0
cluster_6651	0		0		0		0		1		0		0.2759873700588236	0.6766300351176471	-0.3039750262352941	-0.10047627000000002	19	-0.07383800124525662	-0.07784538965855077	M01	-0.025363842861262864	False	False	0.6725003504296672	0.3857946816926621	0.6546166341780376	0.5178571428571428	0.3557338086749852
cluster_5923	0		0		0		0		0		0		0.07055736325	0.31481923675	-0.63754466975	-0.015784474250000013	20	-0.21327507160262552	0.0774541554875099	M09	0.4818863235529903	False	True	0.2001124437781109	0.048344988344988335	0.3910493827160493	0.013888888888888888	0.11861471861471863
cluster_242	1		1		0		0		0		0		0.41439826475	0.5116068307500001	-0.05966876959999999	0.3511065801000001	21	-0.012828975048512214	0.07736259075217462	M01	0.1969483537904592	False	False	0.2202475337961271	0.15296969696969698	0.5869483537904592	0.375	0.36
cluster_6087	0		0		0		0		1		0						22	0.4452380336659061	-0.07473464492067426	M10	-0.8244444444444444	True	False	0.2	0.4828571428571429	0.5088888888888888	1.0	0.6666666666666666
cluster_6495	0		1		0		0		0		0		0.19087516559999998	0.7099012865333333	-0.3239379619333333	-0.07710238166666666	23	-0.2050325310592072	0.07461082849874705	M09	0.3005472876796404	False	True	0.2604291541791542	0.19974242424242425	0.2437020495844025	0.0	0.0568452380952381
cluster_7072	0		0		0		0		1		0		0.9119015956363636	0.13075499772727273	-0.5258263642727273	-0.10641330972727273	24	-0.487504142266471	-0.07313538531657726	M01	0.9576363752682908	False	True	0.4875516550573759	0.3976678876678877	0.6232234198027038	0.0	0.3344129554655871
cluster_2190	0		0		0		0		0		0		0.477294187	0.5750771024	-0.030392475999999988	-0.4829792454	25	-0.17727269337569376	0.07108962890199759	M12	0.3555555555555555	False	False	0.05	0.04	0.3555555555555556	0.0	0.0
cluster_587	0		0		0		0		1		0		0.19596429402173907	0.3982643173478261	0.08302821297826088	0.1502903481304347	26	0.3273820336421468	-0.06936499188912126	M05	-0.9037037037037036	True	False	0.225	0.0	0.0962962962962963	0.5	0.0
cluster_125	0		0		0		1		0		0		-0.08456080660000005	0.6398328168	0.23064065799999994	0.2727060136	27	-0.14792646439301052	-0.06392871898753896	M07	0.1932373799040464	False	True	0.1436201298701299	0.06098515519568151	0.13133261799928464	0.0	0.061904761904761886
cluster_5002	0		0		0		0		1		0		-0.8750030294	-0.158640414	-0.057127993599999975	0.3939334882	28	-0.3262877823532926	-0.06206678272947911	M01	0.7828876706025484	False	True	0.4017110712389997	0.36289011153254336	0.4900816503341478	0.09455128205128203	0.4819085843709646
cluster_643	0		0		0		0		0		0		0.18568472110638296	0.4005903616595745	0.05497236185106382	0.1623305932127659	29	0.632262633850145	0.06180020068831344	M13	-1.1937513431476403	True	False	0.11129125965786582	0.1957065736004469	0.1819783508871383	0.875	0.3742703059652212
cluster_832	0		0		0		1		0		0		-0.0903630925	0.1158235845	0.280487627	-0.010837624999999991	30	0.05023845503924307	0.06166929719687478	M01	-0.1691528062580694	False	False	0.6104166666666667	0.4761111111111112	0.7029365079365079	0.6666666666666666	0.461244019138756
