cluster_name	x_morula	x_blast	x_blast_pred_meth_only	c_diag_blast	module_id	is_remeth_dmr	is_demeth_dmr	acc_morula	n_cpg	width
cluster_1007	0.0	0.1015873015873016	0.0688	0.0327873015873016	M00	1	0	-0.2518541755555556	3	224
cluster_1126	0.0	0.12433862433862433	0.0688	0.05553862433862433	M00	1	0	-0.2562984456666667	3	139
cluster_123	0.0	0.020689655172413796	0.0688	-0.04811034482758621	M11	0	0	0.3996210383333333	2	272
cluster_125	0.0	0.061904761904761886	0.0688	-0.006895238095238114	M07	1	0	-0.08456080660000005	2	496
cluster_1257	0.0	0.019047619047619046	0.0688	-0.04975238095238095	M02	0	0	-0.1574549965	3	26
cluster_126	0.02083333333333333	0.054715761097247774	0.08048958333333334	-0.025773822236085563	M06	0	0	0.22504760559999998	4	620
cluster_1333	0.008064516129032258	0.025541346973572042	0.073325	-0.04778365302642796	M04	0	0	0.7193941816666666	3	1493
cluster_1387	0.14285714285714285	0.0	0.14895714285714284	-0.14895714285714284	M12	0	0	0.010608259799999995	2	52
cluster_1406	0.4705882352941176	0.0	0.3328470588235294	-0.3328470588235294	M07	0	1	0.21649764406666666	2	27
cluster_1523	0.42857142857142855	0.06946996801647964	0.3092714285714286	-0.23980146055494894	M06	0	1	0.11561099712903225	2	127
cluster_1556	0.0	0.1	0.0688	0.031200000000000006	M00	1	0	0.08728189229411766	2	13
cluster_1564	0.0	0.0	0.0688	-0.0688	M02	0	0	0.08728189229411766	6	239
cluster_1586	0.0	0.14	0.0688	0.07120000000000001	M00	1	0	0.04816724248571429	2	4
cluster_1607	0.5	0.01818181818181818	0.34935000000000005	-0.33116818181818186	M06	0	1	0.12359088166666668	3	196
cluster_1688	0.0	0.0	0.0688	-0.0688	M02	0	0		2	26
cluster_1715	0.0	0.04570760233918129	0.0688	-0.023092397660818713	M06	0	0	0.6139499775999999	8	921
cluster_1718	0.7	0.1214035087719298	0.46157000000000004	-0.34016649122807024	M00	0	0	0.5087951024	3	262
cluster_1742	0.25	0.16666666666666666	0.209075	-0.04240833333333335	M08	0	0	0.8376863477500001	4	193
cluster_1758	0.5	0.13333333333333333	0.34935000000000005	-0.21601666666666672	M01	0	0	0.7568651953999999	2	189
cluster_1764	0.5	0.5	0.34935000000000005	0.15064999999999995	M15	0	0	0.7542013409999999	4	167
cluster_1806	0.5	0.021052631578947368	0.34935000000000005	-0.32829736842105267	M06	0	1	0.5955772658	2	129
cluster_1851	0.0	0.0	0.0688	-0.0688	M02	0	0	0.6260395571666667	2	316
cluster_1921	0.0	0.2	0.0688	0.1312	M08	1	0	0.17809323477777778	2	48
cluster_1922	0.5	0.03333333333333333	0.34935000000000005	-0.3160166666666667	M04	0	1	0.17809323477777778	4	710
cluster_1976	1.0	0.3333333333333333	0.6299	-0.2965666666666667	M01	0	0	0.1024203828695652	2	24
cluster_2004	0.0	0.0	0.0688	-0.0688	M11	0	0	0.10176552803703703	2	143
cluster_2126	0.0	0.0	0.0688	-0.0688	M02	0	0		2	7
cluster_2190	0.0	0.0	0.0688	-0.0688	M12	0	0	0.477294187	2	59
cluster_23	0.015625	0.009393939393939394	0.0775671875	-0.0681732481060606	M06	0	0	0.369485978	2	464
cluster_2324	0.0	0.1120401337792642	0.0688	0.043240133779264195	M14	1	0	0.4262227371428571	2	278
cluster_2355	0.05625	0.015384615384615384	0.100361875	-0.08497725961538462	M11	0	0	0.384706205	3	718
cluster_2365	0.046875	0.03671679197994987	0.0951015625	-0.05838477052005013	M07	0	0	0.8863012990000001	6	186
cluster_242	0.375	0.36	0.2792125	0.08078750000000001	M01	0	0	0.41439826475	2	40
cluster_2623	0.0	0.0	0.0688	-0.0688	M05	0	0		2	147
cluster_2637	0.0	0.06631016042780749	0.0688	-0.0024898395721925093	M06	1	0	0.682382495	5	305
cluster_2727	0.0	0.0	0.0688	-0.0688	M02	0	0	0.4145043538	3	376
cluster_2743	0.0	0.1	0.0688	0.031200000000000006	M07	1	0	0.5076093964285714	2	168
cluster_2776	0.125	0.03783783783783784	0.1389375	-0.10109966216216215	M14	0	0	-0.007005847	2	107
cluster_2832	0.0	0.011428571428571429	0.0688	-0.05737142857142857	M02	0	0	-1.6725532280000002	2	275
cluster_2910	0.025	0.16878306878306878	0.0828275	0.08595556878306879	M00	0	0	0.128269105	2	166
cluster_293	0.0	0.1	0.0688	0.031200000000000006	M00	1	0	0.29688348013793103	4	531
cluster_3123	0.4739130434782609	0.3652951607734217	0.3347126086956522	0.030582552077769498	M01	0	0	0.4600214569166666	2	217
cluster_3133	0.08333333333333333	0.05541125541125541	0.11555833333333333	-0.06014707792207792	M14	0	0	0.4600214569166666	3	235
cluster_315	0.0	0.08	0.0688	0.011200000000000002	M00	1	0	0.2731706742258064	2	363
cluster_3227	0.0	0.06666666666666668	0.0688	-0.0021333333333333204	M00	1	0	0.06883034942857144	2	355
cluster_3275	0.0	0.1	0.0688	0.031200000000000006	M05	1	0	0.10283270710526307	3	443
