cluster_name	x_morula	x_blast	is_mzero	is_remeth	acc_morula	module_id	k27me3_blast_ov	k27me3_8cell_ov	k4me3_blast_ov	k27ac_blast_ov	k4me3_8cell_ov
cluster_1007	0.0	0.1015873015873016	1	1	-0.2518541755555556	M00	1	0	0	0	0
cluster_1126	0.0	0.12433862433862433	1	1	-0.2562984456666667	M00	1	0	0	0	0
cluster_123	0.0	0.020689655172413796	1	0	0.3996210383333333	M11	1	0	0	0	1
cluster_125	0.0	0.061904761904761886	1	1	-0.08456080660000005	M07	0	0	0	0	1
cluster_1257	0.0	0.019047619047619046	1	0	-0.1574549965	M02	1	0	0	0	1
cluster_126	0.02083333333333333	0.054715761097247774	0	0	0.22504760559999998	M06	1	0	0	0	0
cluster_1333	0.008064516129032258	0.025541346973572042	1	0	0.7193941816666666	M04	1	0	0	0	0
cluster_1387	0.14285714285714285	0.0	0	0	0.010608259799999995	M12	1	0	0	1	0
cluster_1406	0.4705882352941176	0.0	0	0	0.21649764406666666	M07	0	0	1	1	0
cluster_1523	0.42857142857142855	0.06946996801647964	0	0	0.11561099712903225	M06	0	0	0	0	0
cluster_1556	0.0	0.1	1	1	0.08728189229411766	M00	0	0	0	1	0
cluster_1564	0.0	0.0	1	0	0.08728189229411766	M02	0	0	1	1	1
cluster_1586	0.0	0.14	1	1	0.04816724248571429	M00	1	0	0	1	1
cluster_1607	0.5	0.01818181818181818	0	0	0.12359088166666668	M06	1	0	0	0	0
cluster_1688	0.0	0.0	1	0		M02	1	0	0	0	0
cluster_1715	0.0	0.04570760233918129	1	0	0.6139499775999999	M06	0	0	1	1	1
cluster_1718	0.7	0.1214035087719298	0	0	0.5087951024	M00	1	0	0	0	0
cluster_1742	0.25	0.16666666666666666	0	0	0.8376863477500001	M08	0	0	0	0	0
cluster_1758	0.5	0.13333333333333333	0	0	0.7568651953999999	M01	0	0	0	0	0
cluster_1764	0.5	0.5	0	0	0.7542013409999999	M15	0	0	0	1	0
cluster_1806	0.5	0.021052631578947368	0	0	0.5955772658	M06	0	0	0	0	0
cluster_1851	0.0	0.0	1	0	0.6260395571666667	M02	0	0	0	1	1
cluster_1921	0.0	0.2	1	1	0.17809323477777778	M08	0	0	0	0	0
cluster_1922	0.5	0.03333333333333333	0	0	0.17809323477777778	M04	1	0	0	1	0
cluster_1976	1.0	0.3333333333333333	0	0	0.1024203828695652	M01	0	0	0	0	0
cluster_2004	0.0	0.0	1	0	0.10176552803703703	M11	1	0	0	0	0
cluster_2126	0.0	0.0	1	0		M02	0	0	0	0	0
cluster_2190	0.0	0.0	1	0	0.477294187	M12	0	0	0	0	0
cluster_23	0.015625	0.009393939393939394	1	0	0.369485978	M06	1	0	0	0	1
cluster_2324	0.0	0.1120401337792642	1	1	0.4262227371428571	M14	1	0	0	0	0
cluster_2355	0.05625	0.015384615384615384	0	0	0.384706205	M11	0	0	1	1	1
cluster_2365	0.046875	0.03671679197994987	0	0	0.8863012990000001	M07	0	0	1	1	0
cluster_242	0.375	0.36	0	0	0.41439826475	M01	0	0	0	1	0
cluster_2623	0.0	0.0	1	0		M05	1	0	0	0	0
cluster_2637	0.0	0.06631016042780749	1	1	0.682382495	M06	1	0	0	0	0
