cluster_name	module_id	branch	beta_8cell	beta_morula	beta_blastocyst	entry_change	exit_change	curvature	rebound_ratio	is_u_shape	is_inverted_u	basin_residual_rank
cluster_1007	M00	other	0.0661375661375661	0.0	0.1015873015873015	-0.0661375661375661	0.1015873015873015	0.1677248677248676	1.535999999976775	True	False	94
cluster_1126	M00	other	0.1071439628482972	0.0	0.1243386243386243	-0.1071439628482972	0.1243386243386243	0.2314825871869215	1.160481851072768	True	False	91
cluster_123	M11	other	0.00422812334249	0.0	0.0206896551724137	-0.00422812334249	0.0206896551724137	0.024917778514903698	4.8933423865860854	True	False	137
cluster_125	M07	other	0.1313326179992846	0.0	0.0619047619047618	-0.1313326179992846	0.0619047619047618	0.1932373799040464	0.47135862246062626	True	False	27
cluster_1257	M02	access	0.0121212121212121	0.0	0.019047619047619	-0.0121212121212121	0.019047619047619	0.031168831168831103	1.5714285712989273	True	False	109
cluster_126	M06	other	0.0410987912727881	0.0208333333333333	0.0547157610972477	-0.0202654579394548	0.0338824277639144	0.054147885703369196	1.6719300330379807	True	False	90
cluster_1333	M04	other	0.0696193889575277	0.0080645161290322	0.025541346973572	-0.0615548728284955	0.017476830844539798	0.0790317036730353	0.2839227837079594	True	False	62
cluster_1387	M12	closure	0.2833333333333333	0.1428571428571428	0.0	-0.14047619047619053	-0.1428571428571428	-0.0023809523809522615	1.0169491525351326	False	False	32
cluster_1406	M07	other	0.0055555555555555	0.4705882352941176	0.0	0.4650326797385621	-0.4705882352941176	-0.9356209150326796	1.0119465917054837	False	True	120
cluster_1523	M06	other	0.0489679061018454	0.4285714285714285	0.0694699680164796	0.37960352246958307	-0.3591014605549489	-0.7387049830245319	0.9459908543993478	False	True	53
cluster_1556	M00	other	0.0333333333333333	0.0	0.1	-0.0333333333333333	0.1	0.1333333333333333	2.9999999999100035	True	False	48
cluster_1564	M02	access	0.0074074074074074	0.0	0.0	-0.0074074074074074	0.0	0.0074074074074074	0.0	False	False	123
cluster_1586	M00	other	0.0074074074074074	0.0	0.1399999999999999	-0.0074074074074074	0.1399999999999999	0.1474074074074073	18.899999997448504	True	False	81
cluster_1607	M06	other	0.0296949891067538	0.5	0.0181818181818181	0.4703050108932462	-0.4818181818181819	-0.9521231927114281	1.0244802216800633	False	True	98
cluster_1688	M02	access	0.0444444444444444	0.0	0.0	-0.0444444444444444	0.0	0.0444444444444444	0.0	False	False	64
cluster_1715	M06	other	0.0264699970019118	0.0	0.0457076023391812	-0.0264699970019118	0.0457076023391812	0.072177599341093	1.7267702121066804	True	False	60
cluster_1718	M00	other	0.1469208776971304	0.7	0.1214035087719298	0.5530791223028696	-0.5785964912280701	-1.1316756135309396	1.046136923082374	False	True	40
cluster_1742	M08	other	0.515904139433551	0.25	0.1666666666666666	-0.26590413943355096	-0.0833333333333334	0.18257080610021756	0.31339614911803537	False	False	13
cluster_1758	M01	closure	0.9762962962962964	0.5	0.1333333333333333	-0.47629629629629644	-0.3666666666666667	0.10962962962962974	0.7698289269035158	False	False	43
cluster_1764	M15	other	0.0470588235294117	0.5	0.5	0.4529411764705883	0.0	-0.4529411764705883	0.0	False	False	34
cluster_1806	M06	other	0.1016381766381766	0.5	0.0210526315789473	0.3983618233618234	-0.4789473684210527	-0.877309191782876	1.2022923391050775	False	True	66
cluster_1851	M02	access	0.0083333333333333	0.0	0.0	-0.0083333333333333	0.0	0.0083333333333333	0.0	False	False	130
cluster_1921	M08	other	0.0	0.0	0.2	0.0	0.2	0.2	200000000000.0	False	False	149
cluster_1922	M04	other	0.1019795657726692	0.5	0.0333333333333333	0.3980204342273308	-0.4666666666666667	-0.8646871008939975	1.172469115992562	False	True	129
cluster_1976	M01	closure	0.9277777777777778	1.0	0.3333333333333333	0.07222222222222219	-0.6666666666666667	-0.7388888888888889	9.230769230641425	False	True	119
cluster_2004	M11	other	0.0034211134211134	0.0	0.0	-0.0034211134211134	0.0	0.0034211134211134	0.0	False	False	82
cluster_2126	M02	access	0.0037037037037037	0.0	0.0	-0.0037037037037037	0.0	0.0037037037037037	0.0	False	False	72
cluster_2190	M12	closure	0.3555555555555555	0.0	0.0	-0.3555555555555555	0.0	0.3555555555555555	0.0	False	False	25
cluster_23	M06	other	0.0305244659298547	0.015625	0.0093939393939393	-0.0148994659298547	-0.0062310606060607	0.008668405323794	0.41820697701365583	False	False	103
cluster_2324	M14	other	0.0869237298649063	0.0	0.1120401337792642	-0.0869237298649063	0.1120401337792642	0.1989638636441705	1.2889476090373013	True	False	71
cluster_2355	M11	other	0.025448530797368	0.05625	0.0153846153846153	0.030801469202632003	-0.0408653846153847	-0.0716668538180167	1.3267349146632914	False	True	131
cluster_2365	M07	other	0.3740033816558312	0.046875	0.0367167919799498	-0.3271283816558312	-0.0101582080200502	0.316970173635781	0.03105266491583878	False	False	42
cluster_242	M01	closure	0.5869483537904592	0.375	0.36	-0.21194835379045918	-0.015000000000000013	0.19694835379045916	0.07077195803445048	False	False	21
cluster_2623	M05	closure	0.0	0.0	0.0	0.0	0.0	0.0	0.0	False	False	1
cluster_2637	M06	other	0.0738163071496404	0.0	0.0663101604278074	-0.0738163071496404	0.0663101604278074	0.1401264675774478	0.8983131639528531	True	False	153
cluster_2727	M02	access	0.0011111111111111	0.0	0.0	-0.0011111111111111	0.0	0.0011111111111111	0.0	False	False	111
cluster_2743	M07	other	0.0555555555555555	0.0	0.1	-0.0555555555555555	0.1	0.1555555555555555	1.799999999967602	True	False	11
cluster_2776	M14	other	0.0250542501400625	0.125	0.0378378378378378	0.0999457498599375	-0.0871621621621622	-0.1871079120220997	0.8720947342276972	False	True	68
cluster_2832	M02	access	0.0090988429283454	0.0	0.0114285714285714	-0.0090988429283454	0.0114285714285714	0.020527414356916802	1.2560466772881866	True	False	143
cluster_2910	M00	other	0.1057981233011969	0.025	0.1687830687830687	-0.0807981233011969	0.1437830687830687	0.22458119208426558	1.7795347578222678	True	False	152
cluster_293	M00	other	0.0174603174603174	0.0	0.1	-0.0174603174603174	0.1	0.1174603174603174	5.727272726944732	True	False	102
cluster_3123	M01	closure	0.6639058456800905	0.4739130434782609	0.3652951607734216	-0.18999280220182957	-0.1086178827048393	0.08137491949699027	0.5716947244605756	False	False	107
