Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Term Source REF	Term Accession Number	Characteristics[sex]	Characteristics[individual]	Characteristics[organism part]	Characteristics[growth condition]	Characteristics[inferred lineage]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[single cell isolation]	Comment[library construction]	Comment[end bias]	Comment[primer]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Protocol REF	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[inferred lineage]
C1_1	ERS5821973	SAMEA8135151	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	pe	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_1	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_1	sequencing assay	ERX5141570	RNASeq_C1_1.fastq.gz	RNASeq_C1_1.fastq.gz	ERR5353535	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/005/ERR5353535/ERR5353535.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	pe
C1_10	ERS5821974	SAMEA8135152	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_10	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_10	sequencing assay	ERX5141571	RNASeq_C1_10.fastq.gz	RNASeq_C1_10.fastq.gz	ERR5353536	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/006/ERR5353536/ERR5353536.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_11	ERS5821975	SAMEA8135153	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	polar	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_11	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_11	sequencing assay	ERX5141572	RNASeq_C1_11.fastq.gz	RNASeq_C1_11.fastq.gz	ERR5353537	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/007/ERR5353537/ERR5353537.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	polar
C1_12	ERS5821976	SAMEA8135154	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_12	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_12	sequencing assay	ERX5141573	RNASeq_C1_12.fastq.gz	RNASeq_C1_12.fastq.gz	ERR5353538	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/008/ERR5353538/ERR5353538.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_13	ERS5821977	SAMEA8135155	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_13	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_13	sequencing assay	ERX5141574	RNASeq_C1_13.fastq.gz	RNASeq_C1_13.fastq.gz	ERR5353539	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/009/ERR5353539/ERR5353539.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_14	ERS5821978	SAMEA8135156	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_14	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_14	sequencing assay	ERX5141575	RNASeq_C1_14.fastq.gz	RNASeq_C1_14.fastq.gz	ERR5353540	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/000/ERR5353540/ERR5353540.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_15	ERS5821979	SAMEA8135157	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_15	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_15	sequencing assay	ERX5141576	RNASeq_C1_15.fastq.gz	RNASeq_C1_15.fastq.gz	ERR5353541	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/001/ERR5353541/ERR5353541.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_16	ERS5821980	SAMEA8135158	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	polar	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_16	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_16	sequencing assay	ERX5141577	RNASeq_C1_16.fastq.gz	RNASeq_C1_16.fastq.gz	ERR5353542	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/002/ERR5353542/ERR5353542.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	polar
C1_17	ERS5821981	SAMEA8135159	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_17	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_17	sequencing assay	ERX5141578	RNASeq_C1_17.fastq.gz	RNASeq_C1_17.fastq.gz	ERR5353543	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/003/ERR5353543/ERR5353543.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
C1_18	ERS5821982	SAMEA8135160	Homo sapiens	embryo stage	7	day	EFO	UO_0000033	male	C1	whole organism	Ctrl	mural	cell	P-MTAB-106704	P-MTAB-106708	P-MTAB-106709	P-MTAB-106705	P-MTAB-106706	C1_18	SINGLE	PolyA	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	cell picking	Smart-seq2	none	Oligo-dT	P-MTAB-106707	NGI Sweden	C1_18	sequencing assay	ERX5141579	RNASeq_C1_18.fastq.gz	RNASeq_C1_18.fastq.gz	ERR5353544	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR535/004/ERR5353544/ERR5353544.fastq.gz	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_counts.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.1.zip	P-MTAB-106710	P-MTAB-106711	merge.rpkmforgenes_rpkm.tsv.gz	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-10096/E-MTAB-10096.processed.2.zip	none	  	  	mural
