cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	CTB	SP	CTB_calls	SP_calls	SP_minus_CTB_beta
cluster_2623	1	-0.1966477625952775	M05			0.0	0.0	
cluster_6262	2	-0.1912454605053165	M10			0.0	0.0	
cluster_6892	3	-0.1797887109823562	M05			0.0	0.0	
cluster_5678	4	-0.1645691559665318	M10	0.058394160583941604	0.08	137.0	100.0	0.021605839416058398
cluster_3275	5	-0.1422064863349969	M05			0.0	0.0	
cluster_4373	6	-0.1361948309072878	M01			0.0	0.0	
cluster_4141	7	-0.1345314971598012	M05	0.0		2.0	0.0	
cluster_7042	8	-0.1297927692615848	M05	0.0		2.0	0.0	
cluster_4605	9	-0.1245572055941755	M01	0.0	0.0	1.0	1.0	0.0
cluster_6498	10	0.1233684733597841	M12			0.0	0.0	
cluster_2743	11	-0.1179709977870684	M07			0.0	0.0	
cluster_6960	12	-0.1150872869677093	M01	0.3333333333333333	0.0	3.0	2.0	-0.3333333333333333
cluster_1742	13	0.1109335240179164	M08			0.0	0.0	
cluster_6655	14	-0.1006123569637234	M01	0.8517985611510791	0.8461538461538461	695.0	689.0	-0.005644714997232958
cluster_4404	15	-0.0972246935380607	M01			0.0	0.0	
cluster_543	16	0.0903190284088766	M08			0.0	0.0	
cluster_4026	17	0.0834739790170535	M03			0.0	0.0	
cluster_4904	18	0.079519979974636	M12		0.0	0.0	1.0	
cluster_6651	19	-0.0778453896585507	M01	0.6	0.7727272727272727	40.0	44.0	0.17272727272727273
cluster_5923	20	0.0774541554875099	M09	0.7	0.8	10.0	5.0	0.10000000000000009
cluster_242	21	0.0773625907521746	M01			0.0	0.0	
cluster_6087	22	-0.0747346449206742	M10		0.0	0.0	1.0	
cluster_6495	23	0.074610828498747	M09			0.0	0.0	
cluster_7072	24	-0.0731353853165772	M01	0.6136363636363636	0.6052631578947368	44.0	38.0	-0.00837320574162681
cluster_2190	25	0.0710896289019975	M12			0.0	0.0	
cluster_587	26	-0.0693649918891212	M05			0.0	0.0	
cluster_125	27	-0.0639287189875389	M07			0.0	0.0	
cluster_5002	28	-0.0620667827294791	M01	0.6570203644158628	0.5846007604562737	933.0	1052.0	-0.07241960395958902
cluster_643	29	0.0618002006883134	M13	0.9240506329113924	0.94	79.0	50.0	0.015949367088607502
cluster_832	30	0.0616692971968747	M01	0.5466666666666666	0.5096153846153846	225.0	208.0	-0.03705128205128205
cluster_5679	31	-0.0613185877440524	M01	0.6896551724137931	0.6666666666666666	29.0	15.0	-0.02298850574712652
cluster_1387	32	0.0591703250537913	M12			0.0	0.0	
cluster_6114	33	-0.0590051237513787	M01	0.7142857142857143	0.875	7.0	8.0	0.1607142857142857
cluster_1764	34	-0.0569407704222629	M15	0.16666666666666666	0.0	12.0	5.0	-0.16666666666666666
cluster_5661	35	0.0516704121145394	M01	1.0		2.0	0.0	
cluster_6975	36	-0.0499656462751898	M03			0.0	0.0	
cluster_3348	37	0.047389319232879	M02			0.0	0.0	
cluster_5977	38	0.0462132483412721	M06	0.45454545454545453	1.0	11.0	3.0	0.5454545454545454
cluster_4909	39	0.0455104341629634	M15		0.0	0.0	1.0	
cluster_1718	40	0.0448208684134199	M00	0.7241379310344828	0.8	29.0	15.0	0.07586206896551728
cluster_6532	41	0.0433800224032729	M09			0.0	0.0	
cluster_2365	42	-0.0420659517157953	M07			0.0	0.0	
cluster_1758	43	0.0414697851795486	M01			0.0	0.0	
cluster_6604	44	0.0406870160028717	M03			0.0	0.0	
cluster_3519	45	-0.0396155009392248	M01	0.5	0.4749034749034749	254.0	259.0	-0.025096525096525102
cluster_916	46	0.0347796982761695	M02			0.0	0.0	
cluster_3684	47	0.0330316810641798	M02	0.0		1.0	0.0	
cluster_1556	48	-0.0326013937956062	M00			0.0	0.0	
cluster_6143	49	0.0324829247082393	M08			0.0	0.0	
cluster_5240	50	0.0306570107148617	M06	1.0	1.0	2.0	1.0	0.0
