geo_accession	sample	population	individual	cluster_name	basin_residual_rank	latent_residual_delta_beta	module_id	meth	total	beta
GSM2948422	SP1_RRBS	SP	1	cluster_2623	1	-0.1966477625952775	M05	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6262	2	-0.1912454605053165	M10	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6892	3	-0.1797887109823562	M05	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5678	4	-0.1645691559665318	M10	1.0	30.0	0.03333333333333333
GSM2948422	SP1_RRBS	SP	1	cluster_3275	5	-0.1422064863349969	M05	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4373	6	-0.1361948309072878	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4141	7	-0.1345314971598012	M05	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7042	8	-0.1297927692615848	M05	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4605	9	-0.1245572055941755	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6498	10	0.1233684733597841	M12	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2743	11	-0.1179709977870684	M07	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6960	12	-0.1150872869677093	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1742	13	0.1109335240179164	M08	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6655	14	-0.1006123569637234	M01	181.0	207.0	0.8743961352657005
GSM2948422	SP1_RRBS	SP	1	cluster_4404	15	-0.0972246935380607	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_543	16	0.0903190284088766	M08	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4026	17	0.0834739790170535	M03	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4904	18	0.079519979974636	M12	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6651	19	-0.0778453896585507	M01	13.0	16.0	0.8125
GSM2948422	SP1_RRBS	SP	1	cluster_5923	20	0.0774541554875099	M09	4.0	5.0	0.8
GSM2948422	SP1_RRBS	SP	1	cluster_242	21	0.0773625907521746	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6087	22	-0.0747346449206742	M10	0.0	1.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_6495	23	0.074610828498747	M09	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_7072	24	-0.0731353853165772	M01	12.0	13.0	0.9230769230769231
GSM2948422	SP1_RRBS	SP	1	cluster_2190	25	0.0710896289019975	M12	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_587	26	-0.0693649918891212	M05	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_125	27	-0.0639287189875389	M07	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5002	28	-0.0620667827294791	M01	192.0	320.0	0.6
GSM2948422	SP1_RRBS	SP	1	cluster_643	29	0.0618002006883134	M13	19.0	20.0	0.95
GSM2948422	SP1_RRBS	SP	1	cluster_832	30	0.0616692971968747	M01	13.0	50.0	0.26
GSM2948422	SP1_RRBS	SP	1	cluster_5679	31	-0.0613185877440524	M01	1.0	1.0	1.0
GSM2948422	SP1_RRBS	SP	1	cluster_1387	32	0.0591703250537913	M12	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6114	33	-0.0590051237513787	M01	6.0	6.0	1.0
GSM2948422	SP1_RRBS	SP	1	cluster_1764	34	-0.0569407704222629	M15	0.0	1.0	0.0
GSM2948422	SP1_RRBS	SP	1	cluster_5661	35	0.0516704121145394	M01	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_6975	36	-0.0499656462751898	M03	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_3348	37	0.047389319232879	M02	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_5977	38	0.0462132483412721	M06	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_4909	39	0.0455104341629634	M15	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_1718	40	0.0448208684134199	M00	5.0	7.0	0.7142857142857143
GSM2948422	SP1_RRBS	SP	1	cluster_6532	41	0.0433800224032729	M09	0.0	0.0	
GSM2948422	SP1_RRBS	SP	1	cluster_2365	42	-0.0420659517157953	M07	0.0	0.0	
