iter	morula_rank_lowest_is_1	lowest_stage	morula_weighted_methylation
0	1	Morula	0.31840044577363646
1	4	2-cell	0.43424275270739765
2	2	2-cell	0.38857694737278314
3	1	Morula	0.16387780093913273
4	1	Morula	0.25432638029968374
5	4	Zygote	0.3508320096690408
6	2	4-cell	0.3575609146816435
7	4	Zygote	0.4105868307319211
8	6	8-cell	0.5567308513263963
9	1	Morula	0.1320276945653864
10	4	4-cell	0.19075897543132858
11	2	2-cell	0.41669271837075733
12	1	Morula	0.16494084009287518
13	1	Morula	0.1419993186529668
14	4	Zygote	0.4369533811491946
15	3	Zygote	0.28209452895602255
16	5	Zygote	0.4786470980711618
17	2	2-cell	0.38798040907743475
18	5	2-cell	0.5516825546766003
19	1	Morula	0.002330023500339909
20	4	2-cell	0.3434855588288811
21	2	2-cell	0.10130727645341012
22	3	2-cell	0.39096773618353187
23	1	Morula	0.12809925520439755
24	4	Zygote	0.6154066856727596
25	3	Zygote	0.3835281853423709
26	2	Zygote	-0.9378933869551755
27	3	Zygote	0.1331043600170207
28	2	4-cell	0.2658090737912
29	1	Morula	0.17898094353293686
30	1	Morula	0.3103057961384813
31	1	Morula	0.35457003310747925
32	1	Morula	-0.1115876025934247
33	1	Morula	0.27137702412441267
34	3	Zygote	0.5134218029519686
35	1	Morula	0.25762643442441596
36	1	Morula	0.17378552300786618
37	2	2-cell	0.08280089956394548
38	5	2-cell	0.569685570336925
39	1	Morula	0.2940412488223677
40	2	4-cell	0.43932559836073326
41	2	2-cell	0.36574253663526496
42	2	2-cell	0.1558900100451423
43	4	Zygote	0.4615181629290683
44	2	4-cell	0.2759140281226645
45	1	Morula	0.1941902157395505
46	1	Morula	0.23817040491246816
47	3	Zygote	0.3747378499703509
48	2	2-cell	0.3425782232347575
49	2	2-cell	0.3891162227641406
50	1	Morula	0.2905349081485813
51	4	Zygote	-1.5533743734998713
52	5	8-cell	0.6270460790590938
53	2	2-cell	0.3983031881332671
54	5	4-cell	0.5260292410320164
55	4	Zygote	0.6148899899512762
56	6	2-cell	0.8978466912177934
57	2	4-cell	0.11641903770541268
58	1	Morula	0.27421521289759654
59	4	Zygote	0.34491527537199296
60	1	Morula	0.19425328931764455
61	3	Zygote	0.38373525263493946
62	3	Zygote	0.3466381335512007
63	2	2-cell	0.3042297902045432
64	2	4-cell	0.366421993973138
65	4	Zygote	0.4353404473431394
66	4	Zygote	0.3579144134887099
67	3	2-cell	0.4046823796112935
68	3	4-cell	0.44068895418507015
69	4	2-cell	0.23205229402853345
70	3	2-cell	-0.05847880784551607
71	1	Morula	0.35649242141063164
72	2	Zygote	0.24744927383371362
73	1	Morula	0.3212029668368711
74	4	2-cell	0.7543210114075709
75	3	2-cell	0.4311033150179532
76	5	4-cell	0.4324788911934426
77	4	2-cell	0.4875155252826032
78	1	Morula	0.19938647783143343
79	3	8-cell	0.46248798378890865
80	1	Morula	0.1569536762748269
81	2	2-cell	0.06343214689973424
82	2	4-cell	-4.861945303766822
83	1	Morula	0.22269830201881896
84	3	2-cell	0.3765955407945658
85	2	4-cell	0.45810562270468747
86	6	Zygote	0.5259368421052631
87	1	Morula	0.23657571325201895
88	6	2-cell	0.529680701754386
89	2	2-cell	0.30204599671726823
90	2	4-cell	-0.1522968361829461
91	1	Morula	0.3715408172900413
92	4	2-cell	0.40082418946612275
93	2	2-cell	0.2692030087835937
94	1	Morula	-0.04345917853669867
95	1	Morula	0.28872219464671744
96	1	Morula	0.18635396175153573
97	5	2-cell	0.4870429219145497
98	1	Morula	0.3199505134882058
99	3	4-cell	0.46608498511021446
100	4	8-cell	0.4803581329175934
101	1	Morula	0.10984904255583439
102	2	4-cell	0.3968766618954938
103	2	Epiblast	0.39913917796797344
104	1	Morula	0.41873775275816394
105	3	8-cell	0.397819138091144
106	1	Morula	0.2235053011004878
107	4	Oocyte	0.5021464912280702
108	1	Morula	0.35472392020200005
109	4	2-cell	0.4982581269593462
110	2	2-cell	-0.08987233751977101
111	3	Zygote	0.3918999232436923
112	1	Morula	0.2917588770464104
113	1	Morula	-0.41246165310749455
114	1	Morula	0.13776199161512648
115	1	Morula	0.28270296494039515
116	1	Morula	0.27661613619127245
117	1	Morula	0.07874383540755846
118	1	Morula	0.2855822496092222
119	2	2-cell	0.09513755150329814
120	1	Morula	0.2569023214069887
121	3	2-cell	0.24980783633479536
122	3	2-cell	0.3154210140242538
123	4	2-cell	0.5040448427000319
124	1	Morula	0.07331805565453253
125	1	Morula	0.36850496627168855
126	4	4-cell	0.541455159318946
127	1	Morula	-0.08975544201063482
128	1	Morula	0.23197894303162053
129	1	Morula	0.3496521756906806
130	2	2-cell	0.4000677046397625
131	2	4-cell	0.4174790727460569
132	1	Morula	0.23230381465833644
133	1	Morula	0.2384299718737229
134	2	4-cell	0.2196393578567601
135	1	Morula	-0.040419038374657004
136	1	Morula	-0.025087056158665855
137	4	Epiblast	0.2777413411961812
138	1	Morula	0.15929782512875212
139	6	4-cell	0.6624736096579172
140	1	Morula	0.05521831610706364
141	1	Morula	0.19883955766157704
142	1	Morula	0.38606993439255555
143	2	Zygote	0.2734369556586592
144	6	4-cell	0.504563852378938
145	1	Morula	-0.7303241634122549
146	1	Morula	0.38159348105396956
147	1	Morula	-0.38983093305699157
148	1	Morula	0.40121637718599307
149	4	Zygote	0.47796731117559166
150	3	2-cell	0.24728235638589902
151	5	2-cell	0.597102724023236
152	2	2-cell	0.19934964332025712
153	2	2-cell	0.287152806526861
154	3	Zygote	0.39859534486752213
155	2	4-cell	0.3589347955922672
156	3	Epiblast	0.32270536104061054
157	4	4-cell	0.4019210997075721
158	3	Zygote	0.19364595272110335
159	1	Morula	-0.07665278786755605
160	1	Morula	0.18177163439328875
161	6	2-cell	0.490177733968327
162	4	2-cell	0.54038982918444
163	2	Zygote	0.03926287365302342
164	1	Morula	0.27613938910829483
165	6	2-cell	0.6829952738203816
166	4	2-cell	0.5640799261329079
167	1	Morula	0.19732244891648326
168	2	2-cell	0.22842320615785286
169	1	Morula	0.28065463622126297
170	2	2-cell	0.38239186762543464
171	3	Epiblast	0.44723556193182984
172	3	2-cell	0.1325803701217047
173	1	Morula	0.34639465739480946
174	3	2-cell	0.4394642730775553
175	3	Zygote	-1.0868556929616484
176	2	Zygote	0.16977431048745775
177	1	Morula	0.23280508830332458
178	2	4-cell	0.30605435395699876
179	4	Zygote	0.4893026315789474
180	5	Zygote	0.5644343034538142
181	1	Morula	0.058213177532166344
182	1	Morula	-0.7319370264829836
183	2	2-cell	0.4062272061299811
184	1	Morula	0.23494651479454465
185	1	Morula	-0.0502208673990405
186	4	Zygote	0.3712357232887796
187	2	Epiblast	0.1739624009943328
188	1	Morula	0.20445345911192178
189	5	4-cell	0.5313854098105298
190	2	Zygote	0.3687306096758723
191	1	Morula	-0.15504751006767642
192	4	4-cell	0.5375510803901049
193	1	Morula	0.38752097274641123
194	2	2-cell	0.1697776574008283
195	1	Morula	-0.0882461266404577
196	2	2-cell	0.20236795960125842
197	1	Morula	0.35207949324844484
198	5	2-cell	0.6186750088786577
199	1	Morula	0.26594491701425343
200	1	Morula	0.11734421216945995
201	1	Morula	0.14315245864615328
202	1	Morula	0.33774197638045267
203	1	Morula	0.30981714319406434
204	1	Morula	0.19590904784911695
205	2	Zygote	-0.08517535021568479
206	3	2-cell	0.28814428420793536
207	1	Morula	0.13120425196510266
208	3	2-cell	0.29779020644814064
209	4	2-cell	0.5955665609535769
210	2	Zygote	0.3192737831375377
211	6	2-cell	0.6384835018556139
212	5	Epiblast	0.3597981666180227
213	5	Epiblast	0.49831929824561394
214	2	4-cell	0.3867192000079648
215	3	4-cell	-0.3407325052505866
216	3	2-cell	0.4207459326679984
217	1	Morula	0.29378619265875655
218	2	4-cell	0.38430719494670884
219	1	Morula	0.3842411709586087
220	1	Morula	0.2631868035377017
221	1	Morula	0.2859753328240634
222	3	4-cell	0.37452371091283204
223	2	4-cell	0.3420853714505583
224	3	4-cell	0.4258541337147727
225	1	Morula	0.24468402280668794
226	1	Morula	0.2985254862226364
227	6	4-cell	0.6088956060282965
228	4	4-cell	0.27451759302822754
229	2	Zygote	0.33271437244511337
230	2	Epiblast	0.33002842959426215
231	4	2-cell	0.4994452100799425
232	1	Morula	0.09449611669660485
233	1	Morula	-7.983847436372888
234	4	Epiblast	0.34604506805222823
235	2	4-cell	0.45690053276014775
236	1	Morula	0.25040581003548235
237	1	Morula	-0.025500993386696758
238	4	2-cell	0.5679615967258221
239	2	8-cell	0.42974961731133077
240	1	Morula	0.26662552447680044
241	2	Epiblast	0.31995821641582584
242	1	Morula	0.2685730267433898
243	3	4-cell	0.45791073884030953
244	1	Morula	0.2851069732330151
245	1	Morula	-0.14557139063642163
246	7	Epiblast	0.5323456140350876
247	5	Zygote	0.46015320811480503
248	3	2-cell	0.3554646142918184
249	1	Morula	0.30304627373109416
250	3	Zygote	0.2801819553745373
251	7	Epiblast	0.5365166666666668
252	1	Morula	0.2570720362011052
253	1	Morula	0.22363517887742287
254	3	2-cell	0.2695756785647274
255	3	4-cell	0.36263302273205317
256	2	2-cell	0.3073401809884711
257	4	Zygote	-0.056616194498850136
258	1	Morula	-0.7099310258422169
259	1	Morula	0.33820846178176706
260	3	2-cell	0.04836986601544552
261	4	2-cell	0.5099826819105034
262	2	4-cell	0.3280896587737916
263	4	2-cell	0.41274736180886873
264	1	Morula	0.0688014409873915
265	1	Morula	0.36228449871410145
266	2	Epiblast	0.445910581186882
267	1	Morula	0.318900940812627
268	1	Morula	0.299954264141553
269	1	Morula	-0.44590823167790955
270	3	2-cell	0.2832885835759364
271	5	2-cell	0.566407582075892
272	2	2-cell	0.3013657782310482
273	5	2-cell	0.4944849179511866
274	1	Morula	0.3100651145057721
275	2	4-cell	0.3776603198070197
276	2	2-cell	0.23952331897610782
277	1	Morula	0.0541878892947054
278	1	Morula	0.33075677539513915
279	1	Morula	0.1552811710252051
280	3	4-cell	0.39589852627240096
281	1	Morula	0.05997990700362758
282	5	Zygote	0.8542297396244771
283	1	Morula	0.2738003302379327
284	5	2-cell	0.4653350511612119
285	1	Morula	0.3696757562144451
286	2	4-cell	0.0941250879563459
287	3	Zygote	0.46827501842102714
288	3	2-cell	0.4793385795941514
289	2	2-cell	0.15552917210873493
290	1	Morula	0.15631726005276753
291	1	Morula	0.3450332446048354
292	3	Zygote	0.3800344724753867
