gene	mural_dex_minus_control_logcpm	mural_abs_effect	mural_p	mural_ctrl_n	mural_dex_n	mural_mean_logcpm	polar_dex_minus_control_logcpm	polar_abs_effect	polar_p	polar_ctrl_n	polar_dex_n	polar_mean_logcpm	max_abs_effect	mean_abs_effect	min_p	mean_logcpm	gene_key	n_human_dmr	age_weight_5yr	contribution_8cell_to_morula	weight_norm_matched	is_csb
ABCA7	-0.3143424130552521	0.3143424130552521	0.28662648506715327	93	224	2.092774358066782	0.08317719383830724	0.08317719383830724	0.8227785032642623	62	90	2.348575815642151	0.3143424130552521	0.23728733998293716	0.28662648506715327	2.2206750868544667	ABCA7	1.0	-0.0268418479999999	0.0068190346454477	-0.0284987696296301	True
ABLIM1	-0.22169156073015095	0.22169156073015095	0.22625603824169654	93	224	0.5656807464844616	0.31921449652905626	0.31921449652905626	0.10993713769317973	62	90	0.5262593902009672	0.31921449652905626	0.28670685126275447	0.10993713769317973	0.5459700683427144	ABLIM1	1.0	0.020471085	0.0117839920406617	0.0217347455169098	True
ALX4	-0.32720452934388516	0.32720452934388516	0.05006080211353831	93	224	0.2392186710129074	-0.01008435343909328	0.01008435343909328	0.945417555079833	62	90	0.2219649804454362	0.32720452934388516	0.22149780404228783	0.05006080211353831	0.2305918257291718	ALX4	1.0	-0.0428318059999999	0.0086533461483235	-0.0454757724585508	True
ANK2	-0.22781650376746465	0.22781650376746465	0.24137942477859983	93	224	0.5777752150424106	-0.00898044414727528	0.00898044414727528	0.9686132061393478	62	90	0.6197863033315357	0.22781650376746465	0.15487115056073486	0.24137942477859983	0.5987807591869732	ANK2	1.0	0.05939623	0.0221262966318518	0.0630627025247488	True
ARHGEF38	-0.09618118966513214	0.09618118966513214	0.3855503401793522	93	224	0.2197357229589791	0.18771630641046846	0.18771630641046846	0.11355252399061329	62	90	0.23758989672650688	0.18771630641046846	0.1572046008286897	0.11355252399061329	0.228662809842743	ARHGEF38	1.0	0.044142923	0.0045707518797381	0.0468678234581874	True
ARID3C	-0.05620006637192962	0.05620006637192962	0.3396760038288551	93	224	0.06073455058922256	0.015321084866942097	0.015321084866942097	0.6611568551292102	62	90	0.026370445829652832	0.05620006637192962	0.04257373920360045	0.3396760038288551	0.0435524982094377	ARID3C	1.0	-0.027870513	0.0087368463126463	-0.0295909331371897	True
ARMC3	-0.11547185733662856	0.11547185733662856	0.2343515849621012	93	224	0.12536556736245627	0.07496724858809933	0.07496724858809933	0.18724337551057843	62	90	0.08448493193566504	0.11547185733662856	0.10197032108711883	0.18724337551057843	0.10492524964906066	ARMC3	1.0	0.08106502	0.0	0.0860690862269005	True
ARRB1	-0.4557087769001704	0.4557087769001704	0.1990533508444346	93	224	3.842291816801294	-0.18193462451011033	0.18193462451011033	0.6698718537032128	62	90	4.580992637615047	0.4557087769001704	0.3644507261034837	0.1990533508444346	4.211642227208171	ARRB1	1.0	0.066262174	0.0226248796776566	0.0703524746874532	True
ASB5	-0.0959545250259328	0.0959545250259328	0.22686248918842272	93	224	0.06547385598326211	-0.026213947817849165	0.026213947817849165	0.8405612762003438	62	90	0.1857388739056141	0.0959545250259328	0.07270766595657159	0.22686248918842272	0.1256063649444381	ASB5	1.0	0.055498035	0.0	0.0589238756721277	True
ASPHD2	-0.031224991164430838	0.031224991164430838	0.8317074280477721	93	224	0.4518459541968194	0.4754465938319497	0.4754465938319497	0.018672521525369107	62	90	0.7086682957539023	0.4754465938319497	0.3273727262761101	0.018672521525369107	0.5802571249753609	ASPHD2	1.0	0.073881417	0.0141300850946614	0.0784420462776497	True
