gene	tt2iLGo_A485_effect	tt2iLGo_A485_abs_effect	tt2iLGo_A485_p	TSC_A485_effect	TSC_A485_abs_effect	TSC_A485_p	tt2iLGo_dmAKG_effect	tt2iLGo_dmAKG_abs_effect	tt2iLGo_dmAKG_p	TSC_dmAKG_effect	TSC_dmAKG_abs_effect	TSC_dmAKG_p	A485_mean_abs_effect	dmAKG_mean_abs_effect	max_abs_effect	mean_abs_effect_all	mean_logcpm	n_human_dmr	age_weight_5yr	contribution_8cell_to_morula	weight_norm_matched	is_csb
A1BG	0.1479872144122747	0.1479872144122747	0.49999999999999956	0.15869807075848913	0.15869807075848913	0.49999999999999956	-0.28435071803176404	0.28435071803176404	0.49999999999999956	-0.25299465955856454	0.25299465955856454	0.49999999999999956	0.1533426425853819	0.26867268879516426	0.28435071803176404	0.22148524459620036	0.10550383284513655					False
A1BG-AS1	1.3849706658851133	1.3849706658851133	0.0279260557062993	0.3449033637329242	0.3449033637329242	0.2853127619107875	-0.28165274267390394	0.28165274267390394	0.4031088383302963	0.2792279051522719	0.2792279051522719	0.10745353222855611	0.8649370148090187	0.28044032391308793	1.3849706658851133	0.6887289545787763	3.925957477938235					False
A1CF	-0.29396665927230575	0.29396665927230575	0.49999999999999956	0.0	0.0		0.0	0.0		0.0	0.0		0.14698332963615288	0.0	0.29396665927230575	0.10498809259725204	0.03674583240903822					False
A2M	-0.49124592046524174	0.49124592046524174	0.20923821080881447	0.13584327584809602	0.13584327584809602	0.396540759135976	-0.15255508219025093	0.15255508219025093	0.8256126089112094	0.3386611556297362	0.3386611556297362	0.2895334977476029	0.3135445981566689	0.24560811890999357	0.49124592046524174	0.30981486738074704	0.4799417358036809					False
A2M-AS1	0.23828796272943165	0.23828796272943165	0.7294073804825212	-0.2721760195697994	0.2721760195697994	0.2792908808718895	0.24369887756059772	0.24369887756059772	0.5458468395024787	-0.26207469728184973	0.26207469728184973	0.17315575432237276	0.25523199114961553	0.2528867874212237	0.2721760195697994	0.25664747932604526	1.1575716233696858					False
A2ML1	-0.10034460597540118	0.10034460597540118	0.4742892110422258	0.9040778680091357	0.9040778680091357	0.05640738446743236	-0.49570906071024545	0.49570906071024545	0.19916499268950374	0.5167573641249437	0.5167573641249437	0.04333935751520583	0.5022112369922684	0.5062332124175946	0.9040778680091357	0.561344459462675	5.733838197370959					False
A2ML1-AS1	-0.5324744575484917	0.5324744575484917	0.3295046208252528	-0.7436518692014089	0.7436518692014089	0.20046992031281316	-0.14720516443602705	0.14720516443602705	0.4500094545686023	-0.12416942486755023	0.12416942486755023	0.7244560163819305	0.6380631633749503	0.13568729465178864	0.7436518692014089	0.43784332046880364	2.3938747594953402					False
A2ML1-AS2	-0.34281980934745415	0.34281980934745415	0.26703022750574545	-0.02702648435397259	0.02702648435397259	0.9598592396549223	-0.5624374967957225	0.5624374967957225	0.11708734431689573	0.3790571570596192	0.3790571570596192	0.30940401909154785	0.18492314685071337	0.47074732692767085	0.5624374967957225	0.3613498454472679	0.43588391721780334					False
A3GALT2	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
A4GALT	-1.0170150937571627	1.0170150937571627	0.0030897343427487662	-0.5256608827297633	0.5256608827297633	0.019385941656256005	-0.12789369752795565	0.12789369752795565	0.5809043873381301	-0.780233871336943	0.780233871336943	0.08545105085054437	0.771337988243463	0.4540637844324493	1.0170150937571627	0.6704600588264142	9.881440815087883					False
A4GNT	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
AAAS	0.3188743881505154	0.3188743881505154	0.0027613371260433723	-0.15796755813053132	0.15796755813053132	0.24235098309082878	0.12909446123814305	0.12909446123814305	0.08857465759014083	-0.0935002753315004	0.0935002753315004	0.3769501159743553	0.23842097314052335	0.11129736828482173	0.3188743881505154	0.19543277320379296	9.052675575863983					False
AACS	0.10812292375742594	0.10812292375742594	0.48350129207683157	-0.6066619937289595	0.6066619937289595	0.18007324282997011	-0.3700074739490926	0.3700074739490926	0.3772686061661148	-0.5701857767103888	0.5701857767103888	0.02655467468896843	0.3573924587431927	0.4700966253297407	0.6066619937289595	0.4413041779925371	9.335209192494538					False
AACSP1	-0.14554054815451814	0.14554054815451814	0.7145224594064539	-0.13145779080674705	0.13145779080674705	0.49999999999999956	-0.13399066018968947	0.13399066018968947	0.49999999999999956	-0.3778606452930243	0.3778606452930243	0.16909817114457573	0.1384991694806326	0.2559256527413569	0.3778606452930243	0.22301930170842757	0.13571273333494427					False
AADAC	0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0		0.0	0.0	0.0	0.0	0.0					False
AADACL2	-0.03534806632903434	0.03534806632903434	0.8950455737347027	0.0	0.0		0.0	0.0		0.0	0.0		0.01767403316451717	0.0	0.03534806632903434	0.01262430940322655	0.04141531189419796					False
