#Archive/File	Name	Time	Size	Type
Archive	GSE84236_RAW.tar	01/24/2018 09:41:34	4690984960	TAR
File	GSM2229958_Blastocyst-WT1.bw	07/06/2016 14:49:08	181915759	BW
File	GSM2229959_Blastocyst-WT3.bw	07/06/2016 14:49:50	127017648	BW
File	GSM2229960_Epi_Pair1_S1.bw	07/06/2016 14:50:51	250950444	BW
File	GSM2229961_Epi_Pair2_S8.bw	07/06/2016 14:54:38	638669044	BW
File	GSM2229962_Exe_Pair1_S2.bw	07/06/2016 15:00:14	242468454	BW
File	GSM2229963_Exe_Pair2_S9.bw	07/06/2016 15:24:11	448849476	BW
File	GSM2229970_8_cell_rep_1_S1.tsv.gz	09/18/2017 12:21:32	498360	TSV
File	GSM2229971_8_cell_rep_2_S2.tsv.gz	09/18/2017 12:21:32	508194	TSV
File	GSM2229972_ICM_rep_1_S3.tsv.gz	09/18/2017 12:21:32	499756	TSV
File	GSM2229973_ICM_rep_2_S5.tsv.gz	09/18/2017 12:21:32	500330	TSV
File	GSM2229974_TE_rep_1_S4.tsv.gz	09/18/2017 12:21:32	484165	TSV
File	GSM2229975_TE_rep_2_S6.tsv.gz	09/18/2017 12:21:33	492935	TSV
File	GSM2229976_Epi_rep_1_S7.tsv.gz	09/18/2017 12:21:33	515907	TSV
File	GSM2229977_Epi_rep_2_S9.tsv.gz	09/18/2017 12:21:33	521620	TSV
File	GSM2229978_ExE_rep_1_S8.tsv.gz	09/18/2017 12:21:33	516758	TSV
File	GSM2229979_ExE_rep_2_S10.tsv.gz	09/18/2017 12:21:33	493963	TSV
File	GSM2229980_Mouse_8cell_rep1.bed.gz	07/12/2017 07:47:35	59709969	BED
File	GSM2229981_Mouse_8cell_rep2.bed.gz	07/12/2017 07:48:02	107505019	BED
File	GSM2229982_Mouse_ICM_rep1.bed.gz	07/12/2017 07:48:36	131987399	BED
File	GSM2229983_Mouse_ICM_rep2.bed.gz	07/12/2017 07:49:06	122890551	BED
File	GSM2229984_Mouse_TE_rep1.bed.gz	07/12/2017 07:49:41	139136463	BED
File	GSM2229985_Mouse_TE_rep2.bed.gz	07/12/2017 07:50:19	148875727	BED
File	GSM2229986_Mouse_Epiblast_rep1.bed.gz	07/12/2017 07:50:58	155572583	BED
File	GSM2229987_Mouse_Epiblast_rep2.bed.gz	07/12/2017 07:51:39	162765496	BED
File	GSM2229988_Mouse_ExE_rep1.bed.gz	07/12/2017 07:52:21	160245394	BED
File	GSM2229989_Mouse_ExE_rep2.bed.gz	07/12/2017 07:53:02	158648781	BED
File	GSM2628310_2i_1.tsv.gz	05/16/2017 10:46:23	456613	TSV
File	GSM2628311_2i_2.tsv.gz	05/16/2017 10:46:23	456369	TSV
File	GSM2628312_2i_3.tsv.gz	05/16/2017 10:46:23	456399	TSV
File	GSM2628313_2i_4.tsv.gz	05/16/2017 10:46:24	449920	TSV
File	GSM2628314_Epi_Dnmt1_1.tsv.gz	05/16/2017 10:46:24	472811	TSV
File	GSM2628315_Epi_Dnmt1_2.tsv.gz	05/16/2017 10:46:24	457261	TSV
File	GSM2628316_Epi_Dnmt1_3.tsv.gz	05/16/2017 10:46:24	456915	TSV
File	GSM2628317_Epi_Dnmt1_4.tsv.gz	05/16/2017 10:46:24	462198	TSV
File	GSM2628318_Epi_Dnmt1_5.tsv.gz	05/16/2017 10:46:24	453500	TSV
File	GSM2628319_Epi_Dnmt3a_1.tsv.gz	05/16/2017 10:46:25	459574	TSV
File	GSM2628320_Epi_Dnmt3a_2.tsv.gz	05/16/2017 10:46:25	454006	TSV
File	GSM2628321_Epi_Dnmt3a_4.tsv.gz	05/16/2017 10:46:25	458605	TSV
File	GSM2628322_Epi_Dnmt3a_5.tsv.gz	05/16/2017 10:46:25	460584	TSV
File	GSM2628323_Epi_Dnmt3a_6.tsv.gz	05/16/2017 10:46:25	450638	TSV
File	GSM2628324_Epi_Dnmt3b_1.tsv.gz	05/16/2017 10:46:25	473010	TSV
File	GSM2628325_Epi_Dnmt3b_2.tsv.gz	05/16/2017 10:46:25	453131	TSV
File	GSM2628326_Epi_Dnmt3b_3.tsv.gz	05/16/2017 10:46:26	460551	TSV
File	GSM2628327_Epi_Dnmt3b_4.tsv.gz	05/16/2017 10:46:26	463334	TSV
File	GSM2628328_Epi_Dnmt3b_5.tsv.gz	05/16/2017 10:46:26	446888	TSV
File	GSM2628329_Epi_Dnmt3b_6.tsv.gz	05/16/2017 10:46:26	476398	TSV
File	GSM2628330_Epi_Dnmt3l_1.tsv.gz	05/16/2017 10:46:26	468125	TSV
File	GSM2628331_Epi_Dnmt3l_2.tsv.gz	05/16/2017 10:46:26	459981	TSV
File	GSM2628332_Epi_Dnmt3l_3.tsv.gz	05/16/2017 10:46:26	461894	TSV
File	GSM2628333_Epi_Dnmt3l_4.tsv.gz	05/16/2017 10:46:27	458071	TSV
File	GSM2628334_Epi_Dnmt3l_5.tsv.gz	05/16/2017 10:46:27	459345	TSV
File	GSM2628336_Epi_EED_1.tsv.gz	05/16/2017 10:46:27	487501	TSV
File	GSM2628338_Epi_EED_2.tsv.gz	05/16/2017 10:46:27	467398	TSV
File	GSM2628341_Epi_EED_3.tsv.gz	05/16/2017 10:46:27	488299	TSV
