stage	tau	cluster_name	mean_beta
MII oocyte	0.0	cluster_23	0.07664199382068416
MII oocyte	0.0	cluster_67	0.005555555555555556
MII oocyte	0.0	cluster_123	0.17973354415046564
MII oocyte	0.0	cluster_125	0.9977777777777779
MII oocyte	0.0	cluster_126	0.03635909569733099
MII oocyte	0.0	cluster_242	0.9326131687242799
MII oocyte	0.0	cluster_293	0.07642195767195767
MII oocyte	0.0	cluster_315	0.013888888888888888
MII oocyte	0.0	cluster_386	0.015172735760971053
MII oocyte	0.0	cluster_483	0.31087962962962956
MII oocyte	0.0	cluster_543	0.1851851851851852
MII oocyte	0.0	cluster_587	0.05555555555555555
MII oocyte	0.0	cluster_618	0.044444444444444446
MII oocyte	0.0	cluster_634	0.03148148148148148
MII oocyte	0.0	cluster_643	0.1623736907651636
MII oocyte	0.0	cluster_652	0.006944444444444444
MII oocyte	0.0	cluster_832	0.962037037037037
MII oocyte	0.0	cluster_840	0.05555555555555555
MII oocyte	0.0	cluster_883	0.041666666666666664
MII oocyte	0.0	cluster_900	0.034722222222222224
MII oocyte	0.0	cluster_915	0.46976133871732095
MII oocyte	0.0	cluster_916	0.009259259259259259
MII oocyte	0.0	cluster_950	0.8611200486200485
MII oocyte	0.0	cluster_1007	0.060185185185185196
MII oocyte	0.0	cluster_1126	0.13047724051533555
MII oocyte	0.0	cluster_1257	0.008333333333333333
MII oocyte	0.0	cluster_1333	0.11448471774331176
MII oocyte	0.0	cluster_1387	0.08333333333333333
MII oocyte	0.0	cluster_1406	0.8888888888888888
MII oocyte	0.0	cluster_1523	0.06996881361459989
MII oocyte	0.0	cluster_1556	0.0
MII oocyte	0.0	cluster_1564	0.05952380952380952
MII oocyte	0.0	cluster_1586	0.027777777777777776
MII oocyte	0.0	cluster_1607	0.06381172839506173
MII oocyte	0.0	cluster_1688	0.037037037037037035
MII oocyte	0.0	cluster_1715	0.07283589132972096
MII oocyte	0.0	cluster_1718	0.06334976751643419
MII oocyte	0.0	cluster_1742	0.027777777777777776
MII oocyte	0.0	cluster_1758	0.7380952380952381
MII oocyte	0.0	cluster_1764	0.036111111111111115
MII oocyte	0.0	cluster_1806	0.053743961352657
MII oocyte	0.0	cluster_1851	0.07407407407407407
MII oocyte	0.0	cluster_1921	0.0
MII oocyte	0.0	cluster_1922	0.020833333333333332
MII oocyte	0.0	cluster_1976	0.9444444444444444
MII oocyte	0.0	cluster_2004	0.15960097001763668
MII oocyte	0.0	cluster_2126	0.042438271604938266
MII oocyte	0.0	cluster_2190	0.03968253968253968
MII oocyte	0.0	cluster_2324	0.3067628658132534
MII oocyte	0.0	cluster_2355	0.3142194385010477
MII oocyte	0.0	cluster_2365	0.8710905349794238
MII oocyte	0.0	cluster_2623	0.0
MII oocyte	0.0	cluster_2637	0.03866146848602989
MII oocyte	0.0	cluster_2727	0.038521537842190014
MII oocyte	0.0	cluster_2743	0.5956641737891738
MII oocyte	0.0	cluster_2776	0.4803458360975407
MII oocyte	0.0	cluster_2832	0.06403245656309381
MII oocyte	0.0	cluster_2910	0.019804139979578576
MII oocyte	0.0	cluster_3123	0.948089813576946
MII oocyte	0.0	cluster_3133	0.38352779434174783
MII oocyte	0.0	cluster_3227	0.09027777777777778
MII oocyte	0.0	cluster_3275	0.004629629629629629
MII oocyte	0.0	cluster_3303	0.1048618686549721
MII oocyte	0.0	cluster_3336	0.025567356572258535
MII oocyte	0.0	cluster_3348	0.041666666666666664
MII oocyte	0.0	cluster_3362	0.06292438271604939
MII oocyte	0.0	cluster_3369	0.013888888888888888
MII oocyte	0.0	cluster_3416	0.037037037037037035
MII oocyte	0.0	cluster_3519	0.7811019109835063
MII oocyte	0.0	cluster_3660	0.024891774891774892
MII oocyte	0.0	cluster_3684	0.03333333333333333
MII oocyte	0.0	cluster_3762	0.5014041514041514
MII oocyte	0.0	cluster_3766	0.3162817935044528
MII oocyte	0.0	cluster_3928	0.9870831329164661
MII oocyte	0.0	cluster_3967	0.029042032933316458
MII oocyte	0.0	cluster_3978	0.07253086419753087
MII oocyte	0.0	cluster_4026	1.0
MII oocyte	0.0	cluster_4028	0.0
MII oocyte	0.0	cluster_4064	0.1034238498348742
MII oocyte	0.0	cluster_4084	0.169333229935766
MII oocyte	0.0	cluster_4141	0.3888888888888889
MII oocyte	0.0	cluster_4364	0.12315041757443718
MII oocyte	0.0	cluster_4373	0.7361111111111112
MII oocyte	0.0	cluster_4404	0.9162351238964143
MII oocyte	0.0	cluster_4420	0.0655982905982906
MII oocyte	0.0	cluster_4449	0.041666666666666664
MII oocyte	0.0	cluster_4532	0.002136752136752137
MII oocyte	0.0	cluster_4538	1.0
MII oocyte	0.0	cluster_4551	0.0625
MII oocyte	0.0	cluster_4593	0.014467592592592591
MII oocyte	0.0	cluster_4605	1.0
MII oocyte	0.0	cluster_4889	0.9592877209363277
MII oocyte	0.0	cluster_4897	0.025925925925925925
MII oocyte	0.0	cluster_4899	0.037758537758537755
MII oocyte	0.0	cluster_4904	0.027777777777777776
MII oocyte	0.0	cluster_4907	0.07001763668430334
MII oocyte	0.0	cluster_4909	0.034722222222222224
MII oocyte	0.0	cluster_4920	0.11270938330019677
MII oocyte	0.0	cluster_5002	0.9783796296296295
MII oocyte	0.0	cluster_5020	0.05619227466815186
MII oocyte	0.0	cluster_5024	0.01746031746031746
