sample_id	cluster_23	cluster_67	cluster_123	cluster_125	cluster_126	cluster_242	cluster_293	cluster_315	cluster_386	cluster_483	cluster_543	cluster_587	cluster_618	cluster_634	cluster_643	cluster_652	cluster_832	cluster_840	cluster_883	cluster_900	cluster_915	cluster_916	cluster_950	cluster_1007	cluster_1126	cluster_1257	cluster_1333	cluster_1387	cluster_1406	cluster_1523	cluster_1556	cluster_1564	cluster_1586	cluster_1607	cluster_1688	cluster_1715	cluster_1718	cluster_1742	cluster_1758	cluster_1764	cluster_1806	cluster_1851	cluster_1921	cluster_1922	cluster_1976	cluster_2004	cluster_2126	cluster_2190	cluster_2324	cluster_2355	cluster_2365	cluster_2623	cluster_2637	cluster_2727	cluster_2743	cluster_2776	cluster_2832	cluster_2910	cluster_3123	cluster_3133	cluster_3227	cluster_3275	cluster_3303	cluster_3336	cluster_3348	cluster_3362	cluster_3369	cluster_3416	cluster_3519	cluster_3660	cluster_3684	cluster_3762	cluster_3766	cluster_3928	cluster_3967	cluster_3978	cluster_4026	cluster_4028	cluster_4064	cluster_4084	cluster_4141	cluster_4364	cluster_4373	cluster_4404	cluster_4420	cluster_4449	cluster_4532	cluster_4538	cluster_4551	cluster_4593	cluster_4605	cluster_4889	cluster_4897	cluster_4899	cluster_4904	cluster_4907	cluster_4909	cluster_4920	cluster_5002	cluster_5020	cluster_5024	cluster_5064	cluster_5215	cluster_5240	cluster_5252	cluster_5307	cluster_5336	cluster_5400	cluster_5447	cluster_5516	cluster_5580	cluster_5599	cluster_5608	cluster_5656	cluster_5659	cluster_5661	cluster_5678	cluster_5679	cluster_5760	cluster_5923	cluster_5928	cluster_5966	cluster_5977	cluster_6020	cluster_6087	cluster_6114	cluster_6143	cluster_6163	cluster_6171	cluster_6262	cluster_6275	cluster_6400	cluster_6406	cluster_6410	cluster_6442	cluster_6495	cluster_6498	cluster_6518	cluster_6532	cluster_6604	cluster_6651	cluster_6655	cluster_6871	cluster_6892	cluster_6960	cluster_6975	cluster_7000	cluster_7042	cluster_7052	cluster_7072	cluster_7095	cluster_7341	cluster_7425	cluster_7504	cluster_7612	cluster_7683
GSM2146951	0.0	0.0	0.2	1.0	0.0	1.0	0.0	0.0	0.0	0.2	0.16666666666666666	0.0	0.0	0.0	0.1111111111111111	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.2	0.0	0.0	0.29333333333333333	0.0	1.0	0.0	0.0	0.0	0.625	0.25	0.0	0.0	1.0	0.27906976744186046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	0.5	0.23076923076923078	1.0	0.0	0.0	1.0	0.0	0.0	0.14814814814814814	0.375	0.0	0.75	1.0	0.5	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.75	1.0	0.8452380952380952	0.6666666666666666	0.125	0.0	0.0	0.0	0.0	0.0	1.0	0.8095238095238095	0.0	0.0	0.0	1.0	0.0	0.0	0.125	0.13043478260869565	0.0	0.0	0.5	0.0	0.25	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.5	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
GSM2146952	0.0	0.0	0.16666666666666666	1.0	0.0	1.0	0.0	0.0	0.0	0.2	0.16666666666666666	0.0	0.0	0.0	0.1111111111111111	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.0	0.75	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428572	0.0	0.0	0.6666666666666666	0.0	0.0	1.0	1.0	0.0	0.0	0.3333333333333333	0.7142857142857143	1.0	0.0	0.0	0.0	0.625	0.6428571428571429	0.0	0.0	1.0	0.27906976744186046	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	0.5454545454545454	0.0	0.0	0.5	0.23076923076923078	1.0	0.125	0.0	1.0	0.0	0.2857142857142857	0.5	0.375	0.25	0.75	0.6666666666666666	0.0	0.0	0.0	1.0	0.25	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.46153846153846156	0.0	1.0	0.0	0.0	0.4	0.0	0.75	1.0	0.8452380952380952	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.5555555555555556	1.0	0.0	0.023255813953488372	0.125	0.0	0.0	0.0	0.5	0.0	0.25	1.0	1.0	1.0	0.0	0.0	0.75	1.0	0.25	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.3611111111111111
GSM2146953	0.7931034482758621	0.0	0.05263157894736842	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.1111111111111111	0.0	1.0	0.0	0.0	0.0	0.5	0.0	0.875	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.017241379310344827	0.0	0.0	0.8571428571428572	0.0	0.0	0.0	0.0	0.0	1.0	0.1111111111111111	0.0	0.0	0.26666666666666666	0.75	1.0	0.0	0.0	0.0	0.9230769230769231	0.5119047619047619	0.0	0.0	1.0	0.27906976744186046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.875	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.375	0.0	0.75	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.782608695652174	1.0	0.0	0.0	0.5526315789473685	0.0	0.0	0.0	0.0	0.16666666666666666	0.1566265060240964	0.0	1.0	0.0	0.0	0.0	0.21627906976744188	0.0	1.0	0.8452380952380952	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.75	0.0	0.5	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.5	0.0	0.2777777777777778	1.0	1.0	1.0	0.1	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0
GSM2146954	0.0	0.0	0.2	1.0	0.3333333333333333	1.0	0.0	0.0	0.0	0.2	0.16666666666666666	0.0	0.0	0.0	0.1111111111111111	0.25	1.0	0.0	0.0	0.0	0.15789473684210525	0.0	0.875	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8571428571428572	0.0	0.0	0.0	0.0	0.0	1.0	0.1111111111111111	0.0	0.0	0.2	0.5	0.9230769230769231	0.0	0.0	0.0	0.625	0.7619047619047619	0.23529411764705882	0.0	1.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3333333333333333	1.0	0.0	0.0	0.5	0.23076923076923078	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.375	0.0	0.75	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.9583333333333334	0.10526315789473684	0.0	1.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.8	0.75	1.0	0.8452380952380952	0.6666666666666666	0.06818181818181818	0.0	0.0	0.0	0.0	0.2	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.125	0.0	0.0	0.16666666666666666	0.5	0.0	0.3333333333333333	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.1	0.0
GSM2481532	0.0	0.0	0.0	0.08333333333333333	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.6944444444444444	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.05	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.15384615384615385	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.12195121951219512	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09090909090909091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36363636363636365	0.05677083333333333	1.0	0.2861111111111111	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.4666666666666667	0.0	0.0	0.0	0.0	0.8	0.0	0.0196078431372549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.1111111111111111	0.0	0.0	1.0	0.4107142857142857	0.0	0.3	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.038461538461538464	0.0	0.0	0.0	0.02631578947368421	0.0	0.13333333333333333	0.0	0.18181818181818182	0.0	0.0	0.2857142857142857	0.7142857142857143	1.0	0.423963133640553	0.0	0.0	0.3333333333333333	1.0	0.0	0.0	0.18181818181818182	1.0	1.0	1.0	0.0	0.07142857142857142	0.0	0.0
GSM2481533	0.011904761904761904	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.6944444444444444	0.0	0.0	0.0	1.0	0.0	0.5	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.41428571428571426	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.07142857142857142	0.0	0.008547008547008548	0.0	1.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.4482758620689655	0.0	0.0	0.0	0.0	0.6666666666666666	0.05036630036630037	0.0	1.0	0.0	0.025	0.02247191011235955	0.36363636363636365	0.05677083333333333	1.0	0.2861111111111111	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.4666666666666667	0.15384615384615385	0.0	0.0	0.0	0.25	0.0	0.375	0.4	0.04477611940298507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.5714285714285714	0.0	0.0	0.0	1.0	0.4107142857142857	0.375	0.0	0.75	0.0	0.0	0.16666666666666666	0.0	0.0	0.45454545454545453	0.0	0.038461538461538464	0.5	0.125	0.36363636363636365	0.6	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.2857142857142857	0.7842261904761905	0.7217741935483871	0.423963133640553	0.0	0.0	0.3333333333333333	1.0	0.0	0.0	0.18181818181818182	0.5	0.0	1.0	0.0	0.0	0.0	0.0
GSM2481534	0.0	0.0	0.018518518518518517	0.25	1.0	0.5	0.0	0.0	0.5	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.025	0.3333333333333333	0.3448275862068966	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.5	0.0	0.5	0.41428571428571426	0.1111111111111111	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.0	0.07142857142857142	0.0	0.09090909090909091	0.0	1.0	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1875	0.2857142857142857	0.0	0.2	0.3333333333333333	0.36231884057971014	0.0	1.0	0.0	0.07692307692307693	0.0	0.36363636363636365	0.06666666666666667	1.0	0.8	0.0	0.0	0.0	0.3333333333333333	0.0	0.4	0.4666666666666667	0.15384615384615385	0.0	0.0	0.0	0.0	0.0	0.0	0.7391304347826086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	1.0	0.4107142857142857	0.3333333333333333	0.0	0.5	0.6666666666666666	0.0	0.0	0.0	0.0	0.45454545454545453	0.0	0.2857142857142857	0.0	0.3333333333333333	0.0	0.037037037037037035	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.2857142857142857	0.7842261904761905	0.7217741935483871	0.0	0.0	0.0	0.3333333333333333	1.0	0.0	0.6666666666666666	0.0	0.5714285714285714	0.0	1.0	0.0	0.0	0.5151515151515151	0.37735849056603776
GSM2481535	0.07692307692307693	0.0	0.0	0.08333333333333333	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.2	0.0	0.0	0.0	0.0	0.6944444444444444	0.0	0.0	0.0	0.0	0.0	0.5	0.0	0.9230769230769231	0.0	0.03571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.03125	0.0	0.0	0.2	0.0	0.5	0.0	0.0	0.5	0.0	0.0	0.41428571428571426	0.03076923076923077	0.0	0.0	0.0	0.0	0.2	0.0	0.0	0.0	0.07142857142857142	0.0	0.0	0.0	0.6290322580645161	0.0	0.0	0.0625	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	1.0	0.05036630036630037	0.0	1.0	0.0	0.0	0.07142857142857142	0.36363636363636365	0.05677083333333333	0.5	0.0	0.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.4666666666666667	0.15384615384615385	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.019417475728155338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.125	0.0	0.0	0.0	0.0	0.0	1.0	0.4107142857142857	0.375	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.1	0.0	0.0	0.0	0.125	0.0	0.036585365853658534	0.0	0.0	0.0	0.18181818181818182	0.0	0.0	0.2857142857142857	0.7842261904761905	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	1.0	0.0	1.0	0.16666666666666666	0.2222222222222222	0.13333333333333333	0.0
GSM2481536	0.08695652173913043	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07692307692307693	0.0	0.75	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.012658227848101266	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09782608695652174	0.0	0.5833333333333333	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.017857142857142856	0.0	0.23529411764705882	0.0	0.0	0.0	0.0	0.0	0.1282051282051282	0.0	0.4444444444444444	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.02631578947368421	0.0	0.9405940594059405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3331855791962175	0.0	0.0	0.2	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7058823529411765	0.037037037037037035	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.5753424657534246	0.0	0.0	0.0	0.3333333333333333	0.0	0.013452914798206279	0.0	0.0	0.0	0.25	0.0	0.0	0.1111111111111111	0.9097222222222222	0.21052631578947367	0.4444444444444444	0.1	0.0	1.0	1.0	0.0	0.0	0.125	0.5	0.0	1.0	0.3333333333333333	0.5	0.0	0.0
GSM2481537	0.08333333333333333	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015151515151515152	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.8571428571428571	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5833333333333333	0.0	0.0	0.0	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34615384615384615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.034482758620689655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2857142857142857	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.75	0.0	0.375	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.25	0.0	0.0	0.0	0.0	0.7058823529411765	0.26666666666666666	0.018518518518518517	0.6666666666666666	1.0	0.0	0.0	0.0	0.5	0.0	0.0	0.25	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	1.0	1.0	0.75	0.0	0.0	0.0	1.0	0.0	0.0	0.5	0.7777777777777778	0.0	1.0	0.3333333333333333	0.0	0.0	0.0
