module_id	latent_control_PC1	latent_control_PC2	latent_control_PC3	n_DMRs	ridge_weight	raw_value	control_value_z	feature_set	branch	control_modality	biological_status	description
M01	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	21	1.6309226688047955	-0.013605442176870805	-0.8444407432001211	closure_ATAC_loss_ATAC_8cell_3pn	closure	ATAC	chromatin_proxy_boundary_no_morula_ATAC	-8-cell ATAC target-background enrichment on M05/M01/M12; closure proxy until morula ATAC or histone tracks are available.
M02	0.0309839911569153	0.2007135480187998	-0.1859313267638452	30	1.5159442960259268	0.0	0.0	closure_ATAC_loss_ATAC_8cell_3pn	closure	ATAC	chromatin_proxy_boundary_no_morula_ATAC	-8-cell ATAC target-background enrichment on M05/M01/M12; closure proxy until morula ATAC or histone tracks are available.
M05	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	6	1.121745077362747	0.0317460317460317	1.104268664184772	closure_ATAC_loss_ATAC_8cell_3pn	closure	ATAC	chromatin_proxy_boundary_no_morula_ATAC	-8-cell ATAC target-background enrichment on M05/M01/M12; closure proxy until morula ATAC or histone tracks are available.
M12	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	4	1.093930175059908	-0.0	-0.2598279209846509	closure_ATAC_loss_ATAC_8cell_3pn	closure	ATAC	chromatin_proxy_boundary_no_morula_ATAC	-8-cell ATAC target-background enrichment on M05/M01/M12; closure proxy until morula ATAC or histone tracks are available.
M10	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	3	0.739203368289564	0.0	0.0	closure_ATAC_loss_ATAC_8cell_3pn	closure	ATAC	chromatin_proxy_boundary_no_morula_ATAC	-8-cell ATAC target-background enrichment on M05/M01/M12; closure proxy until morula ATAC or histone tracks are available.
M01	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	21	1.6309226688047955	0.0	0.0	access_promoter_ATAC_ATAC_8cell_3pn	access	ATAC	real_ATAC_promoter_access_proxy_no_morula_stage	8-cell ATAC target-background enrichment on promoter-like M02/M10; access branch candidate.
M02	0.0309839911569153	0.2007135480187998	-0.1859313267638452	30	1.5159442960259268	0.3222222222222222	-0.707106781186544	access_promoter_ATAC_ATAC_8cell_3pn	access	ATAC	real_ATAC_promoter_access_proxy_no_morula_stage	8-cell ATAC target-background enrichment on promoter-like M02/M10; access branch candidate.
M05	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	6	1.121745077362747	0.0	0.0	access_promoter_ATAC_ATAC_8cell_3pn	access	ATAC	real_ATAC_promoter_access_proxy_no_morula_stage	8-cell ATAC target-background enrichment on promoter-like M02/M10; access branch candidate.
M12	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	4	1.093930175059908	0.0	0.0	access_promoter_ATAC_ATAC_8cell_3pn	access	ATAC	real_ATAC_promoter_access_proxy_no_morula_stage	8-cell ATAC target-background enrichment on promoter-like M02/M10; access branch candidate.
M10	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	3	0.739203368289564	0.3333333333333333	0.7071067811865511	access_promoter_ATAC_ATAC_8cell_3pn	access	ATAC	real_ATAC_promoter_access_proxy_no_morula_stage	8-cell ATAC target-background enrichment on promoter-like M02/M10; access branch candidate.
