model	validation_status	PC1_control	PC2_control	PC3_control	control_norm	direction_cosine_to_measured_correction	PC1_recovery	PC2_recovery	PC3_recovery	PC3_negative_pull_recovered	PC1_negative_pull_recovered	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid	feature_set	alpha	biological_status
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.0	0.0	0.0	0.0		-0.0	-0.0	-0.0	-0.0	-0.0	1.1978195174977648	0.9341820819670775	1.1176122228407372	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.0	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.0	-0.0	-0.0	0.0		0.0	0.0	0.0	0.0	0.0	1.1978195174977648	0.9341820819670775	1.0578025306578764	0.8487798699346262	0.2452184386000582	0.6250208986295589	0.2457427533106557	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3111111111111111	0.875	0.875	2.163377528533326	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.0	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.0012289916348060517	0.018753233990824292	0.015868742505716685	0.02459697530725618	-0.62777310509645	-0.0015529169399025435	-0.5540352451737858	-0.008275705881941093	-0.008275705881941093	-0.0015529169399025435	1.2067851957548332	0.9400173405652018	1.149708717334871	0.8487798699346262	0.24530712761484325	0.6246134982579299	0.2458314273356461	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.28888888888888886	0.875	0.875	2.178524894169487	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.05	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.0012289916348060517	-0.018753233990824292	-0.015868742505716685	0.02459697530725618	0.62777310509645	0.0015529169399025435	0.5540352451737858	0.008275705881941093	0.008275705881941093	0.0015529169399025435	1.1889558549838182	0.9282840525643561	1.0425041969285227	0.8487798699346262	0.24513125417087048	0.6254226885438696	0.2456555836740371	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.148397578183018	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.05	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.0024579832696121034	0.037506467981648584	0.03173748501143337	0.04919395061451236	-0.62777310509645	-0.003105833879805087	-1.1080704903475715	-0.016551411763882185	-0.016551411763882185	-0.003105833879805087	1.2158506329659335	0.9457883879856028	1.0408289985372439	0.8487798699346262	0.2453974066180651	0.6242000413168859	0.24592160599306245	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.24444444444444444	0.875	0.875	2.193836360611492	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.1	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.0024579832696121034	-0.037506467981648584	-0.03173748501143337	0.04919395061451236	0.62777310509645	0.003105833879805087	1.1080704903475715	0.016551411763882185	0.016551411763882185	0.003105833879805087	1.1801965067302156	0.922324810956001	0.9304342781862385	0.8487798699346262	0.245045572257107	0.6258188917137013	0.2455699200242627	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.3333333333333333	0.875	0.875	2.1335884135376983	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.1	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.0036869749044181545	0.05625970197247286	0.04760622751715005	0.07379092592176853	-0.62777310509645	-0.00465875081970763	-1.6621057355213569	-0.024827117645823276	-0.024827117645823276	-0.00465875081970763	1.2250136144020884	0.9515003471966325	1.0448674485852991	0.8487798699346262	0.24548918993626648	0.6237809680621116	0.2460132892388142	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2222222222222222	0.875	0.875	2.209308669396351	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.15	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.0036869749044181545	-0.05625970197247286	-0.04760622751715005	0.07379092592176853	0.62777310509645	0.00465875081970763	1.6621057355213569	0.024827117645823276	0.024827117645823276	0.00465875081970763	1.1715438125363826	0.9163060372890945	1.081487827963525	0.8487798699346262	0.24496139443540463	0.6262095105810556	0.24548576393790056	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.35555555555555557	0.875	0.875	2.118953460796022	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.15	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.004915966539224207	0.07501293596329717	0.06347497002286674	0.09838790122902472	-0.62777310509645	-0.006211667759610174	-2.216140980695143	-0.03310282352776437	-0.03310282352776437	-0.006211667759610174	1.234271967620367	0.9571441143449202	1.2305103361733711	0.8487798699346262	0.24558247588279172	0.6233562777184275	0.2461064753913664	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2	0.875	0.875	2.2249386180794715	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.2	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.004915966539224207	-0.07501293596329717	-0.06347497002286674	0.09838790122902472	0.62777310509645	0.006211667759610174	2.216140980695143	0.03310282352776437	0.03310282352776437	0.006211667759610174	1.1630001529159568	0.9102295364501212	1.1432286040291766	0.8487798699346262	0.24487873958626707	0.6265944520319431	0.24540311687049543	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.37777777777777777	0.875	0.875	2.1044962016894595	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.2	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.006144958174030258	0.09376616995412144	0.07934371252858342	0.12298487653628089	-0.6277731050964501	-0.007764584699512717	-2.770176225868928	-0.04137852940970546	-0.04137852940970546	-0.007764584699512717	1.2436235625914354	0.9627216543627805	1.1204886469128224	0.8487798699346262	0.24567730656033335	0.6229257508652267	0.24620116305195452	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2	0.875	0.875	2.24072306016452	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.25	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.006144958174030258	-0.09376616995412144	-0.07934371252858342	0.12298487653628089	0.6277731050964501	0.007764584699512717	2.770176225868928	0.04137852940970546	0.04137852940970546	0.007764584699512717	1.154567948398435	0.9040972411076029	1.0080924051595779	0.8487798699346262	0.24479764463619427	0.6269735161835913	0.2453219779757914	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.0902201731428964	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.25	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.007373949808836309	0.11251940394494572	0.0952124550343001	0.14758185184353706	-0.62777310509645	-0.00931750163941526	-3.3242114710427138	-0.04965423529164655	-0.04965423529164655	-0.00931750163941526	1.2530663117361158	0.9682292535290541	1.0764083502079136	0.8487798699346262	0.24577370160883846	0.622489286839656	0.24629735307531314	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.17777777777777778	0.875	0.875	2.256658904966561	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.3	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.007373949808836309	-0.11251940394494572	-0.0952124550343001	0.14758185184353706	0.62777310509645	0.00931750163941526	3.3242114710427138	0.04965423529164655	0.04965423529164655	0.00931750163941526	1.1462496586920243	0.8979112145882419	0.9006339598475552	0.8487798699346262	0.24471805178813522	0.6273470298565832	0.24524234772553682	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.0761289668367966	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.3	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.00860294144364236	0.13127263793577001	0.11108119754001679	0.17217882715079325	-0.62777310509645	-0.010870418579317802	-3.8782467162164993	-0.05792994117358764	-0.05792994117358764	-0.010870418579317802	1.2625981698780766	0.9736671111321219	1.0800095157359526	0.8487798699346262	0.24587160087944415	0.6220471805560858	0.24639504428542341	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.15555555555555556	0.875	0.875	2.272743117413051	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.35	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.00860294144364236	-0.13127263793577001	-0.11108119754001679	0.17217882715079325	0.62777310509645	0.010870418579317802	3.8782467162164993	0.05792994117358764	0.05792994117358764	0.010870418579317802	1.1380477816991557	0.8917743978289345	1.003506120020357	0.8487798699346262	0.24464012040667232	0.6277141856013294	0.24516422518018322	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.0622262286649757	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.35	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.009831933078448414	0.15002587192659433	0.12694994004573348	0.19677580245804943	-0.62777310509645	-0.012423335519220348	-4.432281961390286	-0.06620564705552874	-0.06620564705552874	-0.012423335519220348	1.2722171341194717	0.9790344161739241	1.047233558534068	0.8487798699346262	0.2459710025760576	0.6215994329597447	0.24649423489742317	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.13333333333333333	0.875	0.875	2.288972717787089	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.4	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.009831933078448414	-0.15002587192659433	-0.12694994004573348	0.19677580245804943	0.62777310509645	0.012423335519220348	4.432281961390286	0.06620564705552874	0.06620564705552874	0.012423335519220348	1.1299648523760966	0.8854985350396654	1.029849042192374	0.8487798699346262	0.244563763385996	0.6280753683710002	0.24508760583997188	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	2.0485156580819446	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.4	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.011060924713254464	0.1687791059174186	0.14281868255145017	0.22137277776530562	-0.6277731050964501	-0.013976252459122889	-4.98631720656407	-0.07448135293746984	-0.07448135293746984	-0.013976252459122889	1.281921243646049	0.9844113290223137	1.1404344282334367	0.8487798699346262	0.2460719048779465	0.6211460454358984	0.2465949231019492	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.1111111111111111	0.875	0.875	2.305344781417099	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.45	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula_sign_flip	sign_flip_alpha_scan	-0.011060924713254464	-0.1687791059174186	-0.14281868255145017	0.22137277776530562	0.6277731050964501	0.013976252459122889	4.98631720656407	0.07448135293746984	0.07448135293746984	0.013976252459122889	1.1220034414280893	0.8791757214888571	0.8803776726889734	0.8487798699346262	0.24448890745924665	0.6284310000123358	0.24501248844697823	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4444444444444444	0.875	0.875	2.0350010073335856	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.45	partial_stage_matched_embryo_closure_only
embryo_closure_H3K27me3_gain_8cell_to_morula	alpha_scan	0.012289916348060516	0.1875323399082429	0.15868742505716685	0.24596975307256178	-0.6277731050964501	-0.015529169399025433	-5.540352451737856	-0.08275705881941092	-0.08275705881941092	-0.015529169399025433	1.2917085794679386	0.989646875328011	1.0614029553094881	0.8487798699346262	0.2461743059398996	0.620687019811019	0.24669710706529654	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.1111111111111111	0.875	0.875	2.3218564383169475	1.0224014859114376	embryo_closure_H3K27me3_gain_8cell_to_morula	0.5	partial_stage_matched_embryo_closure_only
