sensitivity_type	latent_dim	basin_quantile	module_set	baseline_or_max_occupancy	alpha_at_max	occupancy_at_alpha1	alpha_to_observed	cosine_at_max	PC3_recovery_at_max	observed_occupancy
baseline	2	0.8	none	0.4666666666666667	0.0	0.4666666666666667				0.75
baseline	2	0.85	none	0.4888888888888889	0.0	0.4888888888888889				0.75
baseline	2	0.9	none	0.8444444444444444	0.0	0.8444444444444444				0.875
baseline	2	0.95	none	1.0	0.0	1.0	0.0			0.875
baseline	3	0.8	none	0.0	0.0	0.0			0.0	0.75
baseline	3	0.85	none	0.0	0.0	0.0			0.0	0.75
baseline	3	0.9	none	0.044444444444444446	0.0	0.044444444444444446			0.0	0.875
baseline	3	0.95	none	0.3111111111111111	0.0	0.3111111111111111			0.0	0.875
baseline	5	0.8	none	0.0	0.0	0.0			0.0	0.75
baseline	5	0.85	none	0.0	0.0	0.0			0.0	0.75
baseline	5	0.9	none	0.0	0.0	0.0			0.0	0.875
baseline	5	0.95	none	0.0	0.0	0.0			0.0	0.875
baseline	10	0.8	none	0.0	0.0	0.0			0.0	0.75
baseline	10	0.85	none	0.0	0.0	0.0			0.0	0.75
baseline	10	0.9	none	0.0	0.0	0.0			0.0	0.875
baseline	10	0.95	none	0.0	0.0	0.0			0.0	0.875
measured_correction_alpha	2	0.8	measured_full	0.9777777777777777	0.8	0.9777777777777777	0.35	1.0000000000000002		0.75
measured_correction_alpha	2	0.85	measured_full	1.0	0.8	0.9777777777777777	0.3	1.0000000000000002		0.75
measured_correction_alpha	2	0.9	measured_full	1.0	0.35	1.0	0.05	1.0000000000000002		0.875
measured_correction_alpha	2	0.95	measured_full	1.0	0.0	1.0	0.0	1.0000000000000002		0.875
measured_correction_alpha	3	0.8	measured_full	0.9777777777777777	1.0	0.9777777777777777	0.65	0.9999999999999998	1.0	0.75
measured_correction_alpha	3	0.85	measured_full	0.9777777777777777	1.0	0.9777777777777777	0.6	0.9999999999999998	1.0	0.75
measured_correction_alpha	3	0.9	measured_full	1.0	0.85	1.0	0.5	0.9999999999999998	0.85	0.875
measured_correction_alpha	3	0.95	measured_full	1.0	0.65	1.0	0.35	0.9999999999999998	0.65	0.875
measured_correction_alpha	5	0.8	measured_full	0.8666666666666667	1.0	0.8666666666666667	1.0	1.0	1.0	0.75
measured_correction_alpha	5	0.85	measured_full	0.8666666666666667	1.0	0.8666666666666667	0.95	1.0	1.0	0.75
