feature_set	module_id	control_value	control_value_z	control_modality	mark	stage	leakage_status	description	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight
H3K27ac_8cell_histone_only	M05	-0.16666666666666666	-1.1968466694344744	histone	H3K27ac	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K27ac_8cell_histone_only	M01	0.004535147392290245	-0.19980459128923753	histone	H3K27ac	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
H3K27ac_8cell_histone_only	M12	-0.05952380952380952	-0.572870004634972	histone	H3K27ac	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K27ac_8cell_histone_only	M02	0.146031746031746	0.6242407819062961	histone	H3K27ac	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K27ac_8cell_histone_only	M10	0.2698412698412698	1.345280483452388	histone	H3K27ac	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
H3K27ac_blastocyst_histone_only	M05	0.007936507936507936	-0.29020118387945565	histone	H3K27ac	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K27ac_blastocyst_histone_only	M01	-0.038548752834467126	-0.6295693681081403	histone	H3K27ac	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
H3K27ac_blastocyst_histone_only	M12	0.17857142857142858	0.9555283704233989	histone	H3K27ac	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K27ac_blastocyst_histone_only	M02	0.20158730158730157	1.123557007980528	histone	H3K27ac	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K27ac_blastocyst_histone_only	M10	-0.1111111111111111	-1.1593148264163309	histone	H3K27ac	blastocyst	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
H3K27me3_8cell_histone_only	M05	-0.007936507936507936	-1.6156364938656151	histone	H3K27me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K27me3_8cell_histone_only	M01	-0.0022675736961451248	0.1253511072826771	histone	H3K27me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
H3K27me3_8cell_histone_only	M12	0.0	0.8217461477419941	histone	H3K27me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
H3K27me3_8cell_histone_only	M02	-0.0031746031746031746	-0.15320690890104968	histone	H3K27me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268
H3K27me3_8cell_histone_only	M10	0.0	0.8217461477419941	histone	H3K27me3	8cell	methylation_non_leaking_external_histone_overlap	Module target histone overlap fraction minus matched background.	3	-0.1427484754713723	-0.0500932577625472	-0.1450418877707968	0.2095796052357729	0.739203368289564
H3K27me3_8cell_to_morula_histone_delta	M05	-0.015873015873015872	-1.2207804188621976	histone_delta	H3K27me3	8cell_to_morula	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747
H3K27me3_8cell_to_morula_histone_delta	M01	-0.0022675736961451248	-0.22557899044192783	histone_delta	H3K27me3	8cell_to_morula	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955
H3K27me3_8cell_to_morula_histone_delta	M12	0.0	-0.059712085705216196	histone_delta	H3K27me3	8cell_to_morula	methylation_non_leaking_external_histone_stage_delta	Histone target-background enrichment delta between stages.	4	-0.0156929743396202	0.0433355236843867	-0.2064177489278492	0.2115006480582615	1.093930175059908
