module_id	candidate_control	control_modality	control_value	control_stage_window	leakage_status	interpretation	control_value_z	linked_genes	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight	candidate_control_direction_PC1	candidate_control_direction_PC2	candidate_control_direction_PC3
M00	internal_genomic_cpg_density_M00	internal_genomic_proxy	5.347763263654622	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	0.36015263546159865		16	-0.0081985191332342	0.057452217932008	-0.0699484369421926	0.090888706074742	0.5428994746098068	-0.0029527182727166383	0.020691567701326796	-0.025192113911150112
M00	internal_age_weight_abs_M00	internal_methylation_prior_proxy	0.036840439	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	0.10977992431835171		16	-0.0081985191332342	0.057452217932008	-0.0699484369421926	0.090888706074742	0.5428994746098068	-0.0009000328099690088	0.006307100136497287	-0.007678934113700901
M00	measured_residual_module_weight_M00	measured_residual_diagnostic	0.5428994746098068	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	-0.14627590573216132		16	-0.0081985191332342	0.057452217932008	-0.0699484369421926	0.090888706074742	0.5428994746098068	0.0011992458118762867	-0.00840387521432599	0.010231770968268196
M01	internal_genomic_cpg_density_M01	internal_genomic_proxy	1.88656407415425	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	-0.5741781123512976		21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955	0.17899705163073545	0.03656091088720626	0.16049561602894327
M01	internal_age_weight_abs_M01	internal_methylation_prior_proxy	0.046376125000000004	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	1.1986863605287157		21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955	-0.37368426233799473	-0.07632660365532468	-0.33505962996520944
M01	measured_residual_module_weight_M01	measured_residual_diagnostic	1.6309226688047955	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	2.0308344928234634		21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955	-0.6331021311083915	-0.12931380928946964	-0.567663632533435
M02	internal_genomic_cpg_density_M02	internal_genomic_proxy	5.663068050838871	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	0.44526734324626416		30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268	0.013796159425605418	0.08937118827986244	-0.08278914789439036
M02	internal_age_weight_abs_M02	internal_methylation_prior_proxy	0.02613651773333333	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	-1.1125305376622892		30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268	-0.03447063634072659	-0.22329995149346102	0.20685427893284347
M02	measured_residual_module_weight_M02	measured_residual_diagnostic	1.5159442960259268	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	1.800765306503324		30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268	0.05579489633237886	0.3614379938174436	-0.33481868262846537
M03	internal_genomic_cpg_density_M03	internal_genomic_proxy	2.291364556376892	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	-0.4649045581399613		5	-0.0004019823407494	-0.035387958443813	-0.0705802778346977	0.0789559675505685	0.1684932521077122	0.00018688342250616717	0.016452023183796193	0.032813092880135834
M03	internal_age_weight_abs_M03	internal_methylation_prior_proxy	0.0369261126	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	0.1195632303598161		5	-0.0004019823407494	-0.035387958443813	-0.0705802778346977	0.0789559675505685	0.1684932521077122	-4.80623072075986e-05	-0.004231098627381213	-0.008438806017609784
M03	measured_residual_module_weight_M03	measured_residual_diagnostic	0.1684932521077122	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	-0.8954544936907923		5	-0.0004019823407494	-0.035387958443813	-0.0705802778346977	0.0789559675505685	0.1684932521077122	0.0003599568934083935	0.03168830641105537	0.06320142695302468
M04	internal_genomic_cpg_density_M04	internal_genomic_proxy	0.821430257948435	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	-0.8617048395143301		10	-0.0176945819967978	0.0011726581924131	-0.0268486449009252	0.032176436911094	0.158611941316062	0.015247506939823803	-0.0010104852394984948	0.023135607245528985
M04	internal_age_weight_abs_M04	internal_methylation_prior_proxy	0.043914367600000004	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	0.9175714541393388		10	-0.0176945819967978	0.0011726581924131	-0.0268486449009252	0.032176436911094	0.158611941316062	-0.016236043333189523	0.0010759976828208968	-0.02463555014341268
M04	measured_residual_module_weight_M04	measured_residual_diagnostic	0.158611941316062	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	-0.9152267785011162		10	-0.0176945819967978	0.0011726581924131	-0.0268486449009252	0.032176436911094	0.158611941316062	0.0161945552778531	-0.0010732481797251837	0.024572598779794192
M05	internal_genomic_cpg_density_M05	internal_genomic_proxy	4.106683201705029	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	0.025130234585437176		6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747	-0.001783040776384438	-0.008161702237836533	-0.012967949718463993
M05	internal_age_weight_abs_M05	internal_methylation_prior_proxy	0.03375332833333333	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	-0.24274580631361378		6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747	0.01722330404366031	0.07883806193211423	0.12526406786776043
M05	measured_residual_module_weight_M05	measured_residual_diagnostic	1.121745077362747	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	1.011981370064275		6	-0.0709520148060098	-0.3247762057329219	-0.516029791698755	0.6138407921733174	1.121745077362747	-0.07180211715220652	-0.32866746964187915	-0.5222125355972885
M06	internal_genomic_cpg_density_M06	internal_genomic_proxy	1.1437273437778368	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	-0.7747026010605615		23	-0.023293816180393	0.0655179931735613	-0.0910964315804362	0.114602657684828	0.6980463113959128	0.01804577998357705	-0.050756959727826054	0.07057264249269941
M06	internal_age_weight_abs_M06	internal_methylation_prior_proxy	0.03668641182608695	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	0.09219113405982023		23	-0.023293816180393	0.0655179931735613	-0.0910964315804362	0.114602657684828	0.6980463113959128	-0.0021474833302514208	0.006040178091994176	-0.008398283336203235
M06	measured_residual_module_weight_M06	measured_residual_diagnostic	0.6980463113959128	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	0.16416949053529203		23	-0.023293816180393	0.0655179931735613	-0.0910964315804362	0.114602657684828	0.6980463113959128	-0.003824133934957861	0.0107560555601983	-0.0149552547621433
M07	internal_genomic_cpg_density_M07	internal_genomic_proxy	2.994335462092399	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	-0.27514161874591575		9	-0.1042632721021358	-0.0244059898099321	-0.0486586294431352	0.117618639965487	0.3396809001439573	0.028687165461927525	0.006715103543401043	0.013388014070941895
M07	internal_age_weight_abs_M07	internal_methylation_prior_proxy	0.031140518	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	-0.5411098661792189		9	-0.1042632721021358	-0.0244059898099321	-0.0486586294431352	0.117618639965487	0.3396809001439573	0.05641788521459419	0.013206321880023738	0.026329664466439084
M07	measured_residual_module_weight_M07	measured_residual_diagnostic	0.3396809001439573	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	-0.5529117881377731		9	-0.1042632721021358	-0.0244059898099321	-0.0486586294431352	0.117618639965487	0.3396809001439573	0.0576483922150871	0.013494359467081826	0.026903929813737175
M08	internal_genomic_cpg_density_M08	internal_genomic_proxy	1.8286456786623229	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	-0.589812848987159		7	-0.0714679361606645	0.0172513731017562	-0.0800353954263481	0.1086781500303199	0.5664617239942059	0.042152707038153936	-0.010175081518087267	0.04720590459622821
M08	internal_age_weight_abs_M08	internal_methylation_prior_proxy	0.017850149000000003	static	internal_methylation_prior_not_external_omics	Mean absolute age-DMR weight; not a non-leaking external biological control.	-2.0587739696019502		7	-0.0714679361606645	0.0172513731017562	-0.0800353954263481	0.1086781500303199	0.5664617239942059	0.14713632662875004	-0.035516677881786925	0.16477478875056445
M08	measured_residual_module_weight_M08	measured_residual_diagnostic	0.5664617239942059	8-cell_to_morula	uses_morula_methylation_residual	Diagnostic upper-bound feature derived from measured correction term, not a valid u_bio predictor.	-0.09912836474054629		7	-0.0714679361606645	0.0172513731017562	-0.0800353954263481	0.1086781500303199	0.5664617239942059	0.007084499642988428	-0.001710100405106138	0.007933777869976885
M09	internal_genomic_cpg_density_M09	internal_genomic_proxy	1.8721139832855391	static	non_morula_methylation_but_not_external_omics	Mean CpG density of residual DMRs in this module; useful as a genomic covariate, not a biological activity signal.	-0.5780788309947905		3	-0.0274640862498153	0.0361868642738797	-0.0964862081446236	0.106645926043338	0.6164484768865169	0.015876406873633328	-0.020918860196811526	0.055776634411364046
