cluster_name	gene_id	distance_to_TSS	gene_type	link_type	module_id	basin_residual_rank	abs_latent_residual_delta_beta
cluster_2623	RP11-122D10.1	-11385.0	processed_transcript	nearest_TSS	M05	1	0.1966477625952775
cluster_6262	C6orf47	-518.0	protein_coding	nearest_TSS	M10	2	0.1912454605053165
cluster_6892	NME8	-58857.0	protein_coding	nearest_TSS	M05	3	0.1797887109823562
cluster_5678	PDLIM3	31040.5	protein_coding	nearest_TSS	M10	4	0.1645691559665318
cluster_3275	MYH1	4.0	protein_coding	nearest_TSS	M05	5	0.1422064863349969
cluster_4373	FSHR	-604.0	protein_coding	nearest_TSS	M01	6	0.1361948309072878
cluster_4141	CTD-2616J11.9	-9819.0	antisense	nearest_TSS	M05	7	0.1345314971598012
cluster_7042	CTB-54D4.1	-17748.5	pseudogene	nearest_TSS	M05	8	0.1297927692615848
cluster_4605	MIR5702	235086.5	miRNA	nearest_TSS	M01	9	0.1245572055941755
cluster_6498	TAAR3	-1284.0	pseudogene	nearest_TSS	M12	10	0.1233684733597841
cluster_2743	RP11-522B15.3	3040.5	lincRNA	nearest_TSS	M07	11	0.1179709977870684
cluster_6960	FGL2	-222.0	protein_coding	nearest_TSS	M01	12	0.1150872869677093
cluster_1742	TAS2R20	-1052.0	protein_coding	nearest_TSS	M08	13	0.1109335240179164
cluster_6655	AL391319.1	104188.5	pseudogene	nearest_TSS	M01	14	0.1006123569637234
cluster_4404	DCTN1-AS1	5078.0	antisense	nearest_TSS	M01	15	0.0972246935380607
cluster_543	MIR181B1	-43.5	miRNA	nearest_TSS	M08	16	0.0903190284088766
cluster_4026	LRFN1	-667.5	protein_coding	nearest_TSS	M03	17	0.0834739790170535
cluster_4904	KRTAP25-1	-32.5	protein_coding	nearest_TSS	M12	18	0.079519979974636
cluster_6651	SMOC2	-25782.0	protein_coding	nearest_TSS	M01	19	0.0778453896585507
cluster_5923	CTD-2334D19.1	-75056.0	lincRNA	nearest_TSS	M09	20	0.0774541554875099
cluster_242	KIAA1522	-23603.5	protein_coding	nearest_TSS	M01	21	0.0773625907521746
cluster_6087	RP1-136B1.1	638.5	lincRNA	nearest_TSS	M10	22	0.0747346449206742
cluster_6495	TMEM244	390.0	protein_coding	nearest_TSS	M09	23	0.074610828498747
cluster_7072	SNORD46	1708.5	snoRNA	nearest_TSS	M01	24	0.0731353853165772
cluster_2190	PCDH17	-93100.0	protein_coding	nearest_TSS	M12	25	0.0710896289019975
cluster_587	VASH2	935.0	protein_coding	nearest_TSS	M05	26	0.0693649918891212
cluster_125	TNFRSF25	-3702.5	protein_coding	nearest_TSS	M07	27	0.0639287189875389
cluster_5002	ASPHD2	-4660.5	protein_coding	nearest_TSS	M01	28	0.0620667827294791
cluster_643	Y_RNA	31043.0	misc_RNA	nearest_TSS	M13	29	0.0618002006883134
cluster_832	RP11-124N14.3	-70387.0	antisense	nearest_TSS	M01	30	0.0616692971968747
cluster_5679	PDLIM3	29041.0	protein_coding	nearest_TSS	M01	31	0.0613185877440524
cluster_1387	MS4A3	-3.5	protein_coding	nearest_TSS	M12	32	0.0591703250537913
cluster_6114	RP11-69L16.4	27341.5	antisense	nearest_TSS	M01	33	0.0590051237513787
cluster_1764	IFLTD1	-25.0	protein_coding	nearest_TSS	M15	34	0.0569407704222629
cluster_5661	ASB5	8393.0	protein_coding	nearest_TSS	M01	35	0.0516704121145394
cluster_6975	snoU13	-22083.0	snoRNA	nearest_TSS	M03	36	0.0499656462751898
cluster_3348	KRT25	45.0	protein_coding	nearest_TSS	M02	37	0.047389319232879
cluster_5977	JAKMIP2	121618.0	protein_coding	nearest_TSS	M06	38	0.0462132483412721
cluster_4909	KRTAP20-3	219.5	protein_coding	nearest_TSS	M15	39	0.0455104341629633
cluster_1718	RP3-461F17.2	-39350.5	pseudogene	nearest_TSS	M00	40	0.0448208684134199
cluster_6532	SYNE1-AS1	-715.5	antisense	nearest_TSS	M09	41	0.043380022403273
cluster_2365	IRF9	-157.5	protein_coding	nearest_TSS	M07	42	0.0420659517157953
cluster_1758	SLCO1C1	-90.0	protein_coding	nearest_TSS	M01	43	0.0414697851795486
cluster_6604	RP3-497J21.1	-56973.0	pseudogene	nearest_TSS	M03	44	0.0406870160028717
cluster_3519	RP11-559N14.5	-590.5	antisense	nearest_TSS	M01	45	0.0396155009392248
cluster_916	NUDT13	-58.5	protein_coding	nearest_TSS	M02	46	0.0347796982761695
cluster_3684	LINC00305	-940.0	lincRNA	nearest_TSS	M02	47	0.0330316810641798
cluster_1556	KDELC2	-39797.0	protein_coding	nearest_TSS	M00	48	0.0326013937956062
cluster_6143	SCGN	1499.0	protein_coding	nearest_TSS	M08	49	0.0324829247082393
