track_id	mark	stage	module_id	analysis_status	input_type	target_n	target_overlap_n	target_overlap_fraction	background_n	background_overlap_n	background_overlap_fraction	target_minus_background_signal	overlap_odds_ratio	fisher_p_greater	track_path	fisher_q_BH
H3K27ac_8cell	H3K27ac	8cell	M05	completed	BED_peak_overlap	6	0.0	0.0	126.0	21.0	0.16666666666666666	-0.16666666666666666	0.3774597495527728	0.9999999999998582	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_8cell.hg19.bed.gz	1.0
H3K27ac_8cell	H3K27ac	8cell	M01	completed	BED_peak_overlap	21	3.0	0.14285714285714285	441.0	61.0	0.1383219954648526	0.004535147392290245	1.1705119753900242	0.5763169688401971	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_8cell.hg19.bed.gz	1.0
H3K27ac_8cell	H3K27ac	8cell	M12	completed	BED_peak_overlap	4	0.0	0.0	84.0	5.0	0.05952380952380952	-0.05952380952380952	1.606060606060606	1.0	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_8cell.hg19.bed.gz	1.0
H3K27ac_8cell	H3K27ac	8cell	M02	completed	BED_peak_overlap	30	8.0	0.26666666666666666	630.0	76.0	0.12063492063492064	0.146031746031746	2.7382716049382716	0.027123712358330658	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_8cell.hg19.bed.gz	0.10548110361573033
H3K27ac_8cell	H3K27ac	8cell	M10	completed	BED_peak_overlap	3	1.0	0.3333333333333333	63.0	4.0	0.06349206349206349	0.2698412698412698	7.933333333333334	0.21350524475524213	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_8cell.hg19.bed.gz	0.6793348696757704
H3K27ac_morula	H3K27ac	morula	M05	not_run_missing_histone_input	BED_peak_overlap	6									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_morula.hg19.bed	
H3K27ac_morula	H3K27ac	morula	M01	not_run_missing_histone_input	BED_peak_overlap	21									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_morula.hg19.bed	
H3K27ac_morula	H3K27ac	morula	M12	not_run_missing_histone_input	BED_peak_overlap	4									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_morula.hg19.bed	
H3K27ac_morula	H3K27ac	morula	M02	not_run_missing_histone_input	BED_peak_overlap	30									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_morula.hg19.bed	
H3K27ac_morula	H3K27ac	morula	M10	not_run_missing_histone_input	BED_peak_overlap	3									E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_morula.hg19.bed	
H3K27ac_blastocyst	H3K27ac	blastocyst	M05	completed	BED_peak_overlap	6	1.0	0.16666666666666666	126.0	20.0	0.15873015873015872	0.007936507936507936	1.416851441241685	0.6541692709220011	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_blastocyst.hg19.bed.gz	1.0
H3K27ac_blastocyst	H3K27ac	blastocyst	M01	completed	BED_peak_overlap	21	2.0	0.09523809523809523	441.0	59.0	0.13378684807256236	-0.038548752834467126	0.8241758241758241	0.7923961342919613	E:\CSB_TRO_operator_time_DMR_dynamics_2026-05-25\external\histone\H3K27ac_blastocyst.hg19.bed.gz	1.0
