bootstrap_type	iteration	model	rmse	correlation	baseline_rmse	delta_rmse_vs_baseline
DMR_bootstrap	1	8-cell_baseline	0.2940823576054633	0.4931217734497249	0.2940823576054633	0.0
stage_sample_bootstrap	1	8-cell_baseline	0.30431528240632616	0.4559561036822193	0.30431528240632616	0.0
DMR_bootstrap	1	DMR_module_ridge_k16	0.28263689515873314	0.5074346986603246	0.2940823576054633	-0.01144546244673017
stage_sample_bootstrap	1	DMR_module_ridge_k16	0.2930628740709545	0.45820713438606975	0.30431528240632616	-0.011252408335371666
DMR_bootstrap	1	latent_PCA_ridge_q3	0.2729611942611509	0.5272361780779702	0.2940823576054633	-0.02112116334431241
stage_sample_bootstrap	1	latent_PCA_ridge_q3	0.27459603289746126	0.5080969738895373	0.30431528240632616	-0.029719249508864898
DMR_bootstrap	2	8-cell_baseline	0.3087896097940586	0.410318529765387	0.3087896097940586	0.0
stage_sample_bootstrap	2	8-cell_baseline	0.30540429385353457	0.4725910122845644	0.30540429385353457	0.0
DMR_bootstrap	2	DMR_module_ridge_k16	0.2987694933398345	0.3664444471130946	0.3087896097940586	-0.010020116454224126
stage_sample_bootstrap	2	DMR_module_ridge_k16	0.29619710211523026	0.4725613643176663	0.30540429385353457	-0.00920719173830431
DMR_bootstrap	2	latent_PCA_ridge_q3	0.2716395890233734	0.4477672429507722	0.3087896097940586	-0.037150020770685244
stage_sample_bootstrap	2	latent_PCA_ridge_q3	0.2756000602967776	0.5308591559522411	0.30540429385353457	-0.029804233556756987
DMR_bootstrap	3	8-cell_baseline	0.3183768555656337	0.5017359472983455	0.3183768555656337	0.0
stage_sample_bootstrap	3	8-cell_baseline	0.30118544156865734	0.46915908604832707	0.30118544156865734	0.0
DMR_bootstrap	3	DMR_module_ridge_k16	0.29905989537624605	0.5375917110595997	0.3183768555656337	-0.019316960189387666
stage_sample_bootstrap	3	DMR_module_ridge_k16	0.291362742607862	0.46542296820492485	0.30118544156865734	-0.00982269896079535
DMR_bootstrap	3	latent_PCA_ridge_q3	0.3019400182990399	0.5085340191054992	0.3183768555656337	-0.01643683726659384
stage_sample_bootstrap	3	latent_PCA_ridge_q3	0.27470038805010144	0.5087823216887211	0.30118544156865734	-0.0264850535185559
DMR_bootstrap	4	8-cell_baseline	0.31598683321421706	0.4084068514017353	0.31598683321421706	0.0
stage_sample_bootstrap	4	8-cell_baseline	0.30220888380890343	0.4684889745408546	0.30220888380890343	0.0
DMR_bootstrap	4	DMR_module_ridge_k16	0.29981743742467587	0.3818401441590827	0.31598683321421706	-0.016169395789541186
stage_sample_bootstrap	4	DMR_module_ridge_k16	0.2892793886784797	0.47572811961870076	0.30220888380890343	-0.01292949513042374
DMR_bootstrap	4	latent_PCA_ridge_q3	0.2713875880642051	0.4558943117100894	0.31598683321421706	-0.04459924515001196
stage_sample_bootstrap	4	latent_PCA_ridge_q3	0.2766363677040751	0.5046802669420491	0.30220888380890343	-0.025572516104828302
DMR_bootstrap	5	8-cell_baseline	0.3742234017651329	0.3821923566442352	0.3742234017651329	0.0
stage_sample_bootstrap	5	8-cell_baseline	0.3019130377055148	0.46844333811915967	0.3019130377055148	0.0
DMR_bootstrap	5	DMR_module_ridge_k16	0.36600203472517623	0.3822987515336998	0.3742234017651329	-0.008221367039956684
stage_sample_bootstrap	5	DMR_module_ridge_k16	0.2903195166658062	0.4686214176164864	0.3019130377055148	-0.01159352103970862
DMR_bootstrap	5	latent_PCA_ridge_q3	0.34908893778643246	0.41445688461624297	0.3742234017651329	-0.02513446397870045
stage_sample_bootstrap	5	latent_PCA_ridge_q3	0.27490410872049303	0.5034198548487396	0.3019130377055148	-0.027008928985021774
DMR_bootstrap	6	8-cell_baseline	0.27847264478912775	0.5210151351404629	0.27847264478912775	0.0
stage_sample_bootstrap	6	8-cell_baseline	0.30320056580592225	0.4663712970478707	0.30320056580592225	0.0
DMR_bootstrap	6	DMR_module_ridge_k16	0.26399997265653585	0.5356945431160984	0.27847264478912775	-0.014472672132591902
stage_sample_bootstrap	6	DMR_module_ridge_k16	0.29219464941652645	0.4701846876407669	0.30320056580592225	-0.011005916389395798
DMR_bootstrap	6	latent_PCA_ridge_q3	0.25190188089125065	0.56236032752475	0.27847264478912775	-0.026570763897877103
stage_sample_bootstrap	6	latent_PCA_ridge_q3	0.27615490144628885	0.5130575714477652	0.30320056580592225	-0.027045664359633403
DMR_bootstrap	7	8-cell_baseline	0.2702428806150906	0.5395274236969109	0.2702428806150906	0.0
stage_sample_bootstrap	7	8-cell_baseline	0.29964107649680777	0.4808061394860924	0.29964107649680777	0.0
DMR_bootstrap	7	DMR_module_ridge_k16	0.25799163492469424	0.55679064815374	0.2702428806150906	-0.012251245690396373
stage_sample_bootstrap	7	DMR_module_ridge_k16	0.29110725237898705	0.47540749645374475	0.29964107649680777	-0.00853382411782072
DMR_bootstrap	7	latent_PCA_ridge_q3	0.24032086841396136	0.6129899446997853	0.2702428806150906	-0.02992201220112925
stage_sample_bootstrap	7	latent_PCA_ridge_q3	0.27249635398208555	0.5250387841467639	0.29964107649680777	-0.02714472251472222
DMR_bootstrap	8	8-cell_baseline	0.33436747886131046	0.3920774609182304	0.33436747886131046	0.0
stage_sample_bootstrap	8	8-cell_baseline	0.2977588308761649	0.48333827068886137	0.2977588308761649	0.0
DMR_bootstrap	8	DMR_module_ridge_k16	0.3174782276062478	0.4198477072571189	0.33436747886131046	-0.016889251255062687
stage_sample_bootstrap	8	DMR_module_ridge_k16	0.2873796629207739	0.4842332039398709	0.2977588308761649	-0.010379167955391011
DMR_bootstrap	8	latent_PCA_ridge_q3	0.2996286509412564	0.4533830498645323	0.33436747886131046	-0.03473882792005406
stage_sample_bootstrap	8	latent_PCA_ridge_q3	0.26925556810430307	0.5322486246000431	0.2977588308761649	-0.028503262771861826
DMR_bootstrap	9	8-cell_baseline	0.27431587557874615	0.5427824149074154	0.27431587557874615	0.0
stage_sample_bootstrap	9	8-cell_baseline	0.299084790722697	0.481051339506661	0.299084790722697	0.0
DMR_bootstrap	9	DMR_module_ridge_k16	0.264828109679271	0.5546109378515457	0.27431587557874615	-0.009487765899475142
stage_sample_bootstrap	9	DMR_module_ridge_k16	0.28925548209476554	0.48182911477713347	0.299084790722697	-0.009829308627931466
DMR_bootstrap	9	latent_PCA_ridge_q3	0.2612044589513749	0.5533147663173011	0.27431587557874615	-0.013111416627371253
stage_sample_bootstrap	9	latent_PCA_ridge_q3	0.2727149143983693	0.5262871878653511	0.299084790722697	-0.02636987632432769
DMR_bootstrap	10	8-cell_baseline	0.254721465090233	0.5822391968152214	0.254721465090233	0.0
stage_sample_bootstrap	10	8-cell_baseline	0.2967406994561161	0.4779343972197483	0.2967406994561161	0.0
DMR_bootstrap	10	DMR_module_ridge_k16	0.24696183681576472	0.5847973565548147	0.254721465090233	-0.0077596282744683
stage_sample_bootstrap	10	DMR_module_ridge_k16	0.28683224933844753	0.4821287285881777	0.2967406994561161	-0.009908450117668555
DMR_bootstrap	10	latent_PCA_ridge_q3	0.2308851770451811	0.6385661619071747	0.254721465090233	-0.023836288045051918
stage_sample_bootstrap	10	latent_PCA_ridge_q3	0.2717757701779493	0.515911931440496	0.2967406994561161	-0.024964929278166792
DMR_bootstrap	11	8-cell_baseline	0.3043736105398164	0.5085984998383767	0.3043736105398164	0.0
stage_sample_bootstrap	11	8-cell_baseline	0.3045652118388894	0.45754911252293967	0.3045652118388894	0.0
DMR_bootstrap	11	DMR_module_ridge_k16	0.29056282665236915	0.5037342858388059	0.3043736105398164	-0.01381078388744722
stage_sample_bootstrap	11	DMR_module_ridge_k16	0.2920728033033817	0.45831157682731843	0.3045652118388894	-0.012492408535507704
DMR_bootstrap	11	latent_PCA_ridge_q3	0.25073386887568017	0.6247282030054494	0.3043736105398164	-0.05363974166413621
stage_sample_bootstrap	11	latent_PCA_ridge_q3	0.2694522560281763	0.5214843960787554	0.3045652118388894	-0.03511295581071311
DMR_bootstrap	12	8-cell_baseline	0.2877605310400651	0.6083654477875843	0.2877605310400651	0.0
stage_sample_bootstrap	12	8-cell_baseline	0.29442059018332795	0.4868953243290402	0.29442059018332795	0.0
DMR_bootstrap	12	DMR_module_ridge_k16	0.29324889985145547	0.573280411154902	0.2877605310400651	0.005488368811390365
stage_sample_bootstrap	12	DMR_module_ridge_k16	0.28432122825527195	0.48886448892214035	0.29442059018332795	-0.010099361928055994
DMR_bootstrap	12	latent_PCA_ridge_q3	0.2536431062734536	0.6692088470170543	0.2877605310400651	-0.034117424766611504
stage_sample_bootstrap	12	latent_PCA_ridge_q3	0.26988588089057836	0.5229932562951255	0.29442059018332795	-0.02453470929274959
DMR_bootstrap	13	8-cell_baseline	0.2921481749560187	0.5594747528299547	0.2921481749560187	0.0
stage_sample_bootstrap	13	8-cell_baseline	0.30694857588643887	0.45473436399676165	0.30694857588643887	0.0
DMR_bootstrap	13	DMR_module_ridge_k16	0.28028232108431506	0.5739521708742215	0.2921481749560187	-0.011865853871703635
stage_sample_bootstrap	13	DMR_module_ridge_k16	0.2941524724201267	0.4606360642736431	0.30694857588643887	-0.012796103466312159
DMR_bootstrap	13	latent_PCA_ridge_q3	0.28096591476340266	0.5493934141108545	0.2921481749560187	-0.011182260192616034
stage_sample_bootstrap	13	latent_PCA_ridge_q3	0.2754232604567878	0.511182551665449	0.30694857588643887	-0.03152531542965109
DMR_bootstrap	14	8-cell_baseline	0.2602113377817301	0.551965578918607	0.2602113377817301	0.0
stage_sample_bootstrap	14	8-cell_baseline	0.30331870352872775	0.4702462392838744	0.30331870352872775	0.0
DMR_bootstrap	14	DMR_module_ridge_k16	0.2588867079114589	0.5275917394354599	0.2602113377817301	-0.00132462987027121
stage_sample_bootstrap	14	DMR_module_ridge_k16	0.29251243703448576	0.47368053837884844	0.30331870352872775	-0.01080626649424199
DMR_bootstrap	14	latent_PCA_ridge_q3	0.24548289600523934	0.5702881555124282	0.2602113377817301	-0.01472844177649077
stage_sample_bootstrap	14	latent_PCA_ridge_q3	0.27298900811901133	0.5243968381134249	0.30331870352872775	-0.030329695409716417
DMR_bootstrap	15	8-cell_baseline	0.3518113277005924	0.3956491908666852	0.3518113277005924	0.0
stage_sample_bootstrap	15	8-cell_baseline	0.30694393927601243	0.4574703048107083	0.30694393927601243	0.0
DMR_bootstrap	15	DMR_module_ridge_k16	0.344690184517145	0.40380266857514885	0.3518113277005924	-0.00712114318344742
stage_sample_bootstrap	15	DMR_module_ridge_k16	0.2940528982246308	0.4628731646488559	0.30694393927601243	-0.012891041051381613
DMR_bootstrap	15	latent_PCA_ridge_q3	0.33030983087584337	0.4468757835872083	0.3518113277005924	-0.021501496824749056
stage_sample_bootstrap	15	latent_PCA_ridge_q3	0.2733674062963812	0.5182004583709977	0.30694393927601243	-0.03357653297963126
DMR_bootstrap	16	8-cell_baseline	0.2822885986194963	0.47443311733149796	0.2822885986194963	0.0
stage_sample_bootstrap	16	8-cell_baseline	0.29929032805878214	0.47213521042913725	0.29929032805878214	0.0
DMR_bootstrap	16	DMR_module_ridge_k16	0.26923180283415565	0.5092286970090328	0.2822885986194963	-0.013056795785340636
stage_sample_bootstrap	16	DMR_module_ridge_k16	0.2885263898228733	0.4760835845667517	0.29929032805878214	-0.010763938235908821
DMR_bootstrap	16	latent_PCA_ridge_q3	0.2752635523235359	0.45380714016230733	0.2822885986194963	-0.007025046295960402
stage_sample_bootstrap	16	latent_PCA_ridge_q3	0.27055287476379675	0.5252674128023643	0.29929032805878214	-0.028737453294985393
DMR_bootstrap	17	8-cell_baseline	0.2470526969242104	0.6072322680504294	0.2470526969242104	0.0
stage_sample_bootstrap	17	8-cell_baseline	0.3001151255134361	0.47013362114751267	0.3001151255134361	0.0
DMR_bootstrap	17	DMR_module_ridge_k16	0.2348324471628906	0.6431014418252047	0.2470526969242104	-0.012220249761319801
stage_sample_bootstrap	17	DMR_module_ridge_k16	0.2854448838724164	0.4805617678917647	0.3001151255134361	-0.01467024164101971
DMR_bootstrap	17	latent_PCA_ridge_q3	0.24563985630323396	0.5899627086110544	0.2470526969242104	-0.0014128406209764355
stage_sample_bootstrap	17	latent_PCA_ridge_q3	0.27510532981053765	0.4991821238492209	0.3001151255134361	-0.025009795702898463
DMR_bootstrap	18	8-cell_baseline	0.30707877303773967	0.44262498818921553	0.30707877303773967	0.0
stage_sample_bootstrap	18	8-cell_baseline	0.29815516115351426	0.47635404559219646	0.29815516115351426	0.0
DMR_bootstrap	18	DMR_module_ridge_k16	0.2889134948372644	0.475684063225454	0.30707877303773967	-0.018165278200475254
stage_sample_bootstrap	18	DMR_module_ridge_k16	0.2893474040710136	0.47571282326061526	0.29815516115351426	-0.008807757082500645
DMR_bootstrap	18	latent_PCA_ridge_q3	0.26942963241942636	0.5325917048877379	0.30707877303773967	-0.037649140618313315
stage_sample_bootstrap	18	latent_PCA_ridge_q3	0.27079255121080775	0.5271324991213124	0.29815516115351426	-0.027362609942706506
DMR_bootstrap	19	8-cell_baseline	0.27683795006602413	0.5938959162203159	0.27683795006602413	0.0
stage_sample_bootstrap	19	8-cell_baseline	0.30857547868218743	0.45658064465921533	0.30857547868218743	0.0
DMR_bootstrap	19	DMR_module_ridge_k16	0.25975946912798775	0.6432591201779632	0.27683795006602413	-0.017078480938036378
stage_sample_bootstrap	19	DMR_module_ridge_k16	0.29586022389003536	0.4559525568369205	0.30857547868218743	-0.012715254792152075
DMR_bootstrap	19	latent_PCA_ridge_q3	0.27612158242375834	0.5760834708801685	0.27683795006602413	-0.0007163676422657916
stage_sample_bootstrap	19	latent_PCA_ridge_q3	0.2737502339545266	0.5160267753939104	0.30857547868218743	-0.03482524472766085
DMR_bootstrap	20	8-cell_baseline	0.34182084133833845	0.4070954070404868	0.34182084133833845	0.0
stage_sample_bootstrap	20	8-cell_baseline	0.3011093097655266	0.4675980682915574	0.3011093097655266	0.0
DMR_bootstrap	20	DMR_module_ridge_k16	0.34133583550398094	0.38766673666667106	0.34182084133833845	-0.0004850058343575103
stage_sample_bootstrap	20	DMR_module_ridge_k16	0.29088782394778406	0.4672279863229344	0.3011093097655266	-0.010221485817742515
DMR_bootstrap	20	latent_PCA_ridge_q3	0.3191025112236405	0.44381106984912094	0.34182084133833845	-0.022718330114697982
stage_sample_bootstrap	20	latent_PCA_ridge_q3	0.273524400307104	0.5150506608810295	0.3011093097655266	-0.02758490945842257
DMR_bootstrap	21	8-cell_baseline	0.3278512192657894	0.5084074676275161	0.3278512192657894	0.0
stage_sample_bootstrap	21	8-cell_baseline	0.3005096681027924	0.47007809887678004	0.3005096681027924	0.0
DMR_bootstrap	21	DMR_module_ridge_k16	0.32226661960677977	0.5054582841656692	0.3278512192657894	-0.005584599659009648
stage_sample_bootstrap	21	DMR_module_ridge_k16	0.28915506387867396	0.475505233252091	0.3005096681027924	-0.011354604224118436
DMR_bootstrap	21	latent_PCA_ridge_q3	0.30375170870900686	0.5506740682843911	0.3278512192657894	-0.024099510556782555
stage_sample_bootstrap	21	latent_PCA_ridge_q3	0.27468489869472396	0.5126515321941392	0.3005096681027924	-0.025824769408068438
DMR_bootstrap	22	8-cell_baseline	0.31995038789248326	0.413313819142932	0.31995038789248326	0.0
stage_sample_bootstrap	22	8-cell_baseline	0.30059230899650646	0.47255423860248613	0.30059230899650646	0.0
DMR_bootstrap	22	DMR_module_ridge_k16	0.30833849397580987	0.40185831811550543	0.31995038789248326	-0.011611893916673388
stage_sample_bootstrap	22	DMR_module_ridge_k16	0.28853069641817125	0.47721904459698855	0.30059230899650646	-0.012061612578335212
DMR_bootstrap	22	latent_PCA_ridge_q3	0.28521408582384683	0.4605299882174928	0.31995038789248326	-0.03473630206863643
stage_sample_bootstrap	22	latent_PCA_ridge_q3	0.2708801690708031	0.5213282614645065	0.30059230899650646	-0.029712139925703374
DMR_bootstrap	23	8-cell_baseline	0.2897224728659573	0.4519953275429385	0.2897224728659573	0.0
stage_sample_bootstrap	23	8-cell_baseline	0.30511522556418563	0.4556917040651306	0.30511522556418563	0.0
DMR_bootstrap	23	DMR_module_ridge_k16	0.2818200948312956	0.42419732896178114	0.2897224728659573	-0.007902378034661706
stage_sample_bootstrap	23	DMR_module_ridge_k16	0.2924507922371777	0.46142820289335607	0.30511522556418563	-0.012664433327007951
DMR_bootstrap	23	latent_PCA_ridge_q3	0.2718678604240155	0.43765007073096884	0.2897224728659573	-0.01785461244194181
stage_sample_bootstrap	23	latent_PCA_ridge_q3	0.2745003934296039	0.511085943149023	0.30511522556418563	-0.030614832134581715
DMR_bootstrap	24	8-cell_baseline	0.31055771206026833	0.45988293925121637	0.31055771206026833	0.0
stage_sample_bootstrap	24	8-cell_baseline	0.3002983403005673	0.47831229991392	0.3002983403005673	0.0
DMR_bootstrap	24	DMR_module_ridge_k16	0.2958657246009941	0.4782971588845748	0.31055771206026833	-0.014691987459274247
stage_sample_bootstrap	24	DMR_module_ridge_k16	0.29059606602901167	0.4769738023777848	0.3002983403005673	-0.009702274271555622
DMR_bootstrap	24	latent_PCA_ridge_q3	0.2819200003870583	0.508353046195868	0.31055771206026833	-0.028637711673210053
stage_sample_bootstrap	24	latent_PCA_ridge_q3	0.2737208244785431	0.5217160071013937	0.3002983403005673	-0.026577515822024167
DMR_bootstrap	25	8-cell_baseline	0.34583071001574633	0.26745032644902195	0.34583071001574633	0.0
