cluster_name	observed_beta	baseline_predicted_beta	baseline_abs_error	baseline_sq_error	DMR_module_ridge_k16_predicted_beta	DMR_module_ridge_k16_abs_error	DMR_module_ridge_k16_sq_error	DMR_module_ridge_k16_abs_error_improvement_vs_baseline	DMR_module_ridge_k16_sq_error_improvement_vs_baseline	latent_PCA_ridge_q3_predicted_beta	latent_PCA_ridge_q3_abs_error	latent_PCA_ridge_q3_sq_error	latent_PCA_ridge_q3_abs_error_improvement_vs_baseline	latent_PCA_ridge_q3_sq_error_improvement_vs_baseline
cluster_23	0.015625	0.030524465929854777	0.014899465929854777	0.00022199408499490328	0.022817762289740928	0.0071927622897409275	5.173582935671915e-05	0.00770670364011385	0.00017025825563818413	0.059582776065462334	0.043957776065462334	0.0019322860766213333	-0.029058310135607557	-0.00171029199162643
cluster_67	0.0	0.0	0.0	0.0	0.01413363074190069	0.01413363074190069	0.00019975951794840024	-0.01413363074190069	-0.00019975951794840024	0.0006168512436481552	0.0006168512436481552	3.8050545679027575e-07	-0.0006168512436481552	-3.8050545679027575e-07
cluster_123	0.0	0.004228123342490011	0.004228123342490011	1.7877026999308898e-05	0.030076638918105327	0.030076638918105327	0.000904604208610088	-0.025848515575615315	-0.0008867271816107791	0.036971589534546385	0.036971589534546385	0.0013668984327109797	-0.03274346619205638	-0.0013490214057116708
cluster_125	0.0	0.13133261799928464	0.13133261799928464	0.017248256550546025	0.13212242395867516	0.13212242395867516	0.0174563349127159	-0.000789805959390516	-0.00020807836216987438	0.12062811185456467	0.12062811185456467	0.014551141369597365	0.010704506144719975	0.0026971151809486605
cluster_126	0.020833333333333325	0.04109879127278816	0.020265457939454837	0.0004106887854958131	0.032929060419957544	0.012095727086624219	0.00014630661375409482	0.008169730852830619	0.0002643821717417183	0.0967508855780706	0.07591755224473727	0.005763474738832413	-0.05565209430528244	-0.005352785953336599
cluster_242	0.375	0.5869483537904592	0.21194835379045918	0.04492210467448565	0.3942981645808851	0.019298164580885124	0.00037241915619092914	0.19265018920957405	0.044549685518294725	0.29907774845511814	0.07592225154488186	0.0057641882796443155	0.13602610224557732	0.039157916394841334
cluster_293	0.0	0.01746031746031746	0.01746031746031746	0.0003048626858150668	0.014776059524066033	0.014776059524066033	0.00021833193505874253	0.0026842579362514277	8.653075075632424e-05	0.026633295015754548	0.026633295015754548	0.0007093324033962161	-0.009172977555437088	-0.0004044697175811493
cluster_315	0.0	0.06666666666666667	0.06666666666666667	0.0044444444444444444	0.06262805177840586	0.06262805177840586	0.003922272869558685	0.004038614888260808	0.0005221715748857597	0.07268553290322412	0.07268553290322412	0.005283186693425676	-0.006018866236557452	-0.0008387422489812314
cluster_386	0.05	0.0367063492063492	0.013293650793650802	0.00017672115142353258	0.0318804892346685	0.018119510765331505	0.0003283166703749643	-0.004825859971680703	-0.00015159551895143171	0.07267469506521526	0.02267469506521526	0.0005141417963004972	-0.009381044271564457	-0.0003374206448769646
cluster_483	0.0	0.029629629629629627	0.029629629629629627	0.000877914951989026	0.05470630121430606	0.05470630121430606	0.0029927793925503847	-0.02507667158467643	-0.002114864440561359	0.08589795354250654	0.08589795354250654	0.007378458422790612	-0.05626832391287691	-0.006500543470801585
cluster_543	0.25	0.9777777777777777	0.7277777777777777	0.5296604938271604	0.9620083586926864	0.7120083586926864	0.5069559028482532	0.01576941908509133	0.022704590978907202	0.5186306490217053	0.2686306490217053	0.07216242559382262	0.45914712875607244	0.4574980682333378
cluster_587	0.5	0.0962962962962963	0.4037037037037037	0.16297668038408777	0.04357607633280621	0.4564239236671938	0.20832279809575635	-0.052720219963490134	-0.045346117711668577	0.2044938056303487	0.2955061943696513	0.08732391091083413	0.10819750933405237	0.07565276947325364
cluster_618	0.0	0.022222222222222223	0.022222222222222223	0.0004938271604938272	0.03631729918603753	0.03631729918603753	0.0013189462201681622	-0.014095076963815307	-0.000825119059674335	0.01948293758736206	0.01948293758736206	0.00037958485703304536	0.0027392846348601625	0.00011424230346078181
cluster_634	0.0	0.03333333333333333	0.03333333333333333	0.0011111111111111111	0.04339276502496236	0.04339276502496236	0.0018829320565115965	-0.010059431691629026	-0.0007718209454004854	0.06096058182513412	0.06096058182513412	0.0037161925364588727	-0.027627248491800788	-0.0026050814253477618
cluster_643	0.875	0.18197835088713823	0.6930216491128618	0.4802790061391105	0.18634998664968205	0.688650013350318	0.4742388408873931	0.004371635762543846	0.006040165251717411	0.17682247621651986	0.6981775237834802	0.48745185471643204	-0.005155874670618399	-0.007172848577321533
cluster_652	0.0	0.015555555555555555	0.015555555555555555	0.0002419753086419753	0.012776305844617515	0.012776305844617515	0.00016323399103520766	0.0027792497109380403	7.874131760676764e-05	0.05613367013238908	0.05613367013238908	0.0031509889225318703	-0.040578114576833524	-0.002909013613889895
cluster_832	0.6666666666666666	0.702936507936508	0.03626984126984134	0.001315501385739486	0.4829370048885494	0.18372966177811723	0.03375658861710135	-0.14745982050827589	-0.03244108723136187	0.5519085014774447	0.11475816518922188	0.013169436477596738	-0.07848832391938054	-0.011853935091857252
cluster_840	0.0	0.044444444444444446	0.044444444444444446	0.0019753086419753087	0.05406151111399261	0.05406151111399261	0.002922646983928346	-0.00961706666954816	-0.0009473383419530373	0.07298094459848631	0.07298094459848631	0.005326218274487328	-0.028536500154041862	-0.003350909632512019
cluster_883	0.0	0.03106503632819422	0.03106503632819422	0.0009650364820720266	0.04519866707009491	0.04519866707009491	0.0020429195049132816	-0.014133630741900688	-0.001077883022841255	0.033918373246803656	0.033918373246803656	0.001150456043709486	-0.0028533369186094365	-0.00018541956163745934
cluster_900	0.0	0.0	0.0	0.0	0.01413363074190069	0.01413363074190069	0.00019975951794840024	-0.01413363074190069	-0.00019975951794840024	0.014661980659011762	0.014661980659011762	0.00021497367684523497	-0.014661980659011762	-0.00021497367684523497
cluster_915	0.3333333333333333	0.21387219944338448	0.11946113388994883	0.014270962510272283	0.21586987497305835	0.11746345836027497	0.01379766404995605	0.0019976755296738646	0.0004732984603162318	0.19823261578979057	0.13510071754354275	0.01825220388078012	-0.015639583653593914	-0.003981241370507838
cluster_916	1.0	0.0	1.0	1.0	0.01413363074190069	0.9858663692580993	0.971932498034147	0.01413363074190066	0.028067501965852948	0.010700553126610286	0.9892994468733897	0.9787133955839947	0.010700553126610335	0.021286604416005273
cluster_950	0.119047619047619	0.7858377425044089	0.6667901234567899	0.4446090687395211	0.9067176328203774	0.7876700137727585	0.6204240505967775	-0.12087989031596857	-0.1758149818572564	0.7012879294816182	0.5822403104339993	0.3390037790942798	0.08454981302279063	0.1056052896452413
cluster_1007	0.0	0.06613756613756613	0.06613756613756613	0.004374177654600934	0.057542449937963626	0.057542449937963626	0.00331113354486305	0.008595116199602508	0.0010630441097378841	0.06254321171992014	0.06254321171992014	0.003911653332242756	0.003594354417645995	0.0004625243223581781
cluster_1126	0.0	0.10714396284829722	0.10714396284829722	0.011479828774837294	0.09419549886159338	0.09419549886159338	0.00887279200578444	0.012948463986703837	0.0026070367690528545	0.09436556517389941	0.09436556517389941	0.008904859890589457	0.012778397674397812	0.002574968884247837
cluster_1257	0.0	0.01212121212121212	0.01212121212121212	0.0001469237832874196	0.026254842863112804	0.026254842863112804	0.0006893167737667454	-0.014133630741900684	-0.0005423929904793258	0.02591833880661152	0.02591833880661152	0.0006717602864943046	-0.0137971266853994	-0.000524836503206885
cluster_1333	0.00806451612903225	0.0696193889575277	0.06155487282849545	0.0037890023689322472	0.050867021824052436	0.042802505695020185	0.0018320544937722354	0.018752367133475265	0.001956947875160012	0.13463919991247794	0.1265746837834457	0.01602115057487927	-0.06501981095495024	-0.012232148205947023
cluster_1387	0.1428571428571428	0.2833333333333333	0.14047619047619053	0.019733560090702963	0.32770684571439795	0.18484970285725516	0.03416941264641553	-0.04437351238106463	-0.014435852555712565	0.12710648143690956	0.015750661420233236	0.0002480833351748237	0.1247255290559573	0.019485476755528138
cluster_1406	0.4705882352941176	0.005555555555555556	0.46503267973856205	0.216255393224828	0.01822836126876525	0.4523598740253523	0.20462945562823262	0.012672805713209723	0.011625937596595387	0.00011104942663553873	0.47047718586748205	0.22134878242178524	-0.005444506128920001	-0.005093389196957232
cluster_1523	0.4285714285714285	0.04896790610184544	0.37960352246958307	0.14409883427131526	0.042651340463715035	0.38592008810771344	0.1489343144050653	-0.006316565638130378	-0.004835480133750042	0.0773745488955658	0.35119687967586266	0.12333924829406236	0.028406642793720405	0.0207595859772529
cluster_1556	0.0	0.03333333333333333	0.03333333333333333	0.0011111111111111111	0.030754717396097378	0.030754717396097378	0.0009458526421138147	0.002578615937235955	0.00016525846899729645	0.05876937872968559	0.05876937872968559	0.003453839876273221	-0.025436045396352254	-0.0023427287651621095
