control_model	module_id	candidate_control	control_modality	control_value	control_stage_window	leakage_status	interpretation	control_value_z	linked_genes	n_DMRs	latent_control_PC1	latent_control_PC2	latent_control_PC3	latent_control_norm	ridge_weight	candidate_control_direction_PC1	candidate_control_direction_PC2	candidate_control_direction_PC3	u	beta	weighted_PC1	weighted_PC2	weighted_PC3
RNA_unit_beta	M00	RNA_delta_8cell_to_morula_M00	RNA	-0.3720143973673385	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2546746844382426	ABLIM1,DSCAML1,FOXD2,GREM2,HMGCS2,HOXD9,INPP5J,KDELC2,NKX6-2,SGIP1,SMTNL2	16	-0.0081985191332342	0.057452217932008	-0.0699484369421926	0.090888706074742	0.5428994746098068	0.0020879552731173	-0.0146316254721112	0.0178140961052012	-0.2546746844382426	1.0	0.0020879552731173138	-0.01463162547211128	0.017814096105201214
RNA_unit_beta	M00	RNA_delta_morula_to_blastocyst_M00	RNA	9.34212141156526	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	1.2806555413105694	ABLIM1,DSCAML1,FOXD2,GREM2,HMGCS2,HOXD9,INPP5J,KDELC2,NKX6-2,SGIP1,SMTNL2	16	-0.0081985191332342	0.057452217932008	-0.0699484369421926	0.090888706074742	0.5428994746098068	-0.0104994789585171	0.0735765012552085	-0.0895798533760319	1.2806555413105694	1.0	-0.010499478958517104	0.07357650125520851	-0.0895798533760319
RNA_unit_beta	M01	RNA_delta_8cell_to_morula_M01	RNA	-0.0619343891402715	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2056661860606841	ASB5,ASPHD2,CIT,FGL2,FSHR,KIAA1522,LYL1,MIR647,PDLIM3,SLCO1C1,SMOC2,SNORD46	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955	0.0641153679199759	0.0130958372312104	0.0574882959104112	-0.2056661860606841	1.0	0.06411536791997592	0.013095837231210439	0.05748829591041126
RNA_unit_beta	M01	RNA_delta_morula_to_blastocyst_M01	RNA	-0.1834579740520917	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.2248731270306571	ASB5,ASPHD2,CIT,FGL2,FSHR,KIAA1522,LYL1,MIR647,PDLIM3,SLCO1C1,SMOC2,SNORD46	21	-0.3117448188641859	-0.0636752082685404	-0.2795223512991518	0.4235234457648272	1.6309226688047955	0.0701030322535952	0.014318843197675	0.0628570652116021	-0.2248731270306571	1.0	0.07010303225359527	0.014318843197675032	0.06285706521160213
RNA_unit_beta	M02	RNA_delta_8cell_to_morula_M02	RNA	-8.20802488687783	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-1.4931650648967143	CDKN1C,CHAT,COL13A1,FGF5,FGFR3,GDF11,HOXA11,HOXB5,KCNH4,KRT19,KRT25,MAN2A2,MFSD7,NEUROD2,NUDT13,PCDHGA1,PYY2,RFPL2,SDHD,SELV,SLC9A3R2,TRIM17,TSC22D4,ZIC1	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268	-0.0462642131665746	-0.299698457953141	0.2776261615936691	-1.4931650648967143	1.0	-0.046264213166574655	-0.299698457953141	0.2776261615936691
RNA_unit_beta	M02	RNA_delta_morula_to_blastocyst_M02	RNA	5.805451414779356	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	0.7216808212360101	CDKN1C,CHAT,COL13A1,FGF5,FGFR3,GDF11,HOXA11,HOXB5,KCNH4,KRT19,KRT25,MAN2A2,MFSD7,NEUROD2,NUDT13,PCDHGA1,PYY2,RFPL2,SDHD,SELV,SLC9A3R2,TRIM17,TSC22D4,ZIC1	30	0.0309839911569153	0.2007135480187998	-0.1859313267638452	0.2753477698084201	1.5159442960259268	0.0223605521832919	0.1448511181674007	-0.1341830725924327	0.7216808212360101	1.0	0.022360552183291908	0.14485111816740076	-0.13418307259243273
RNA_unit_beta	M03	RNA_delta_8cell_to_morula_M03	RNA	-0.1983846153846153	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-0.2272322996897074	LRFN1	5	-0.0004019823407494	-0.035387958443813	-0.0705802778346977	0.0789559675505685	0.1684932521077122	9.134337172313775e-05	0.0080412871785114	0.0160381188451168	-0.2272322996897074	1.0	9.134337172313774e-05	0.008041287178511427	0.016038118845116838
RNA_unit_beta	M03	RNA_delta_morula_to_blastocyst_M03	RNA	0.7971025641025642	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.0698944174452917	LRFN1	5	-0.0004019823407494	-0.035387958443813	-0.0705802778346977	0.0789559675505685	0.1684932521077122	2.809632152997406e-05	0.0024734207400085	0.004933167402383	-0.0698944174452917	1.0	2.809632152997406e-05	0.002473420740008501	0.00493316740238303
RNA_unit_beta	M04	RNA_delta_8cell_to_morula_M04	RNA	-5.599476244343892	8-cell_to_morula	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from 8-cell to morula.	-1.0808809816810343	ALX4,BBC3,CTXN3,DSC1,IGF1,OR2H2,PNPLA1,SLC3A1	10	-0.0176945819967978	0.0011726581924131	-0.0268486449009252	0.032176436911094	0.158611941316062	0.0191257371591343	-0.0012675039381917	0.0290201896573175	-1.0808809816810343	1.0	0.019125737159134362	-0.0012675039381917787	0.029020189657317525
RNA_unit_beta	M04	RNA_delta_morula_to_blastocyst_M04	RNA	-0.3977458387531911	morula_to_blastocyst	methylation_non_leaking_external_morula_allowed	Mean linked-gene RNA expression change from morula to blastocyst.	-0.2587415680487698	ALX4,BBC3,CTXN3,DSC1,IGF1,OR2H2,PNPLA1,SLC3A1	10	-0.0176945819967978	0.0011726581924131	-0.0268486449009252	0.032176436911094	0.158611941316062	0.0045783238918189	-0.0003034154194902	0.0069468604816499	-0.2587415680487698	1.0	0.004578323891818995	-0.0003034154194902015	0.006946860481649994
