control_model	direction_cosine_to_measured_correction	PC1_control	PC2_control	PC3_control	PC3_negative_pull_recovered	control_norm	validation_status	n_features	beta_mode	feature_modality	random_iter	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
random_shuffled_feature_unit_beta	-0.46557259031840525	0.37491267944050205	0.5160107755221213	0.16847016797835632	-0.08785885583358768	0.6597035964422608	random_feature_value_control	5	unit	all_shuffled	0	1.415857844715812	1.0509391668872357	1.1618256556963966	0.8487798699346262	0.2472227021702626	0.6152846741896616	0.2477432909238138	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.527149703046626	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6706003969339474	0.17759569153296922	0.30832226463117696	0.2278039117970322	-0.11880198901133694	0.42248961022538895	random_feature_value_control	5	unit	all_shuffled	1	1.3733679291010994	1.03126829436145	1.2644461887023928	0.8487798699346262	0.24697632663524008	0.616895909559795	0.24749743361827387	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.457223644237054	1.0224014859114376
random_shuffled_feature_unit_beta	-0.8984070703937513	-0.0033226079930060055	-0.04694033111997129	0.23856372712697557	-0.12441333893289085	0.24316061833743102	random_feature_value_control	5	unit	all_shuffled	2	1.3253806224898954	1.0069913041857603	1.0424149139539458	0.8487798699346262	0.24660116571689703	0.6198678758209482	0.2471230044939398	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.3762777526416987	1.0224014859114376
random_shuffled_feature_unit_beta	-0.529872186432774	0.22047651939302734	0.19216237272514808	0.07934413193133938	-0.04137874813238327	0.30303756263367826	random_feature_value_control	5	unit	all_shuffled	3	1.2990272690403368	0.9941309900673737	1.0413378405221256	0.8487798699346262	0.24613204750442544	0.6204182718078569	0.2466549381993311	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.1111111111111111	0.875	0.875	2.330805693895383	1.0224014859114376
random_shuffled_feature_unit_beta	0.5755123819347914	0.02838082914510484	-0.6918770958266652	-0.5502386961463515	0.28695491230823916	0.8844557704765914	random_feature_value_control	5	unit	all_shuffled	4	0.9957384117516996	0.7308264664163275	0.9557647719664935	0.8487798699346262	0.24325662561922137	0.6348736648721952	0.2437619659580664	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5333333333333333	0.875	0.875	1.811351169460912	1.0224014859114376
random_shuffled_feature_unit_beta	-0.4938843758504639	0.27222064366058135	0.6273637417316396	0.26933460463264103	-0.14046065533961855	0.7350037227981404	random_feature_value_control	5	unit	all_shuffled	5	1.4549678667820019	1.0648098489934779	1.1576087203736107	0.8487798699346262	0.24769600095575683	0.6132624562673031	0.24821559704996254	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.594823186073798	1.0224014859114376
random_shuffled_feature_unit_beta	-0.911997939059074	6.401854121770162e-05	-0.03552183834853804	0.2400501104030494	-0.12518850248578053	0.24266409005567655	random_feature_value_control	5	unit	all_shuffled	6	1.3268375775389845	1.007740901336214	1.2073896751971709	0.8487798699346262	0.2466159983511509	0.6197594869595994	0.24713781265105728	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.3787952917910116	1.0224014859114376
random_shuffled_feature_unit_beta	0.4692659088501133	-0.48630257960727685	-0.10479312498508572	-0.05136093101994452	0.026785232591089232	0.5001097311711372	random_feature_value_control	5	unit	all_shuffled	7	1.0924944351957337	0.8650630042442995	0.9985718281307616	0.8487798699346262	0.244478759152089	0.6301182306845788	0.24500313804049284	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.4	0.875	0.875	1.9975089104965003	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6847783205833747	0.18985714629192021	0.3093076970276665	0.23756108219735805	-0.12389044970341694	0.43376520747225705	random_feature_value_control	5	unit	all_shuffled	8	1.3814203401568388	1.0350246657824624	1.2412497561465194	0.8487798699346262	0.24706612407135978	0.6165259423328513	0.24758704205398072	1.5666635350021403	1.9104332695957345	0.0	0.044444444444444446	0.875	0.875	2.470605194258692	1.0224014859114376
random_shuffled_feature_unit_beta	-0.3654562613003727	0.2903796151705104	0.48184329699457795	0.09740638491622229	-0.050798391384786826	0.5709477100292337	random_feature_value_control	5	unit	all_shuffled	9	1.3535248354036764	1.0218782885344908	1.2451903260536354	0.8487798699346262	0.2465318915975569	0.6180862701933082	0.2470539360222068	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.1111111111111111	0.875	0.875	2.4230920186606872	1.0224014859114376
random_shuffled_feature_unit_beta	0.4997212357827628	-0.4986103313257104	-0.17660751814114203	-0.08037666470868592	0.041917224169517625	0.53503540649045	random_feature_value_control	5	unit	all_shuffled	10	1.0772135366990472	0.8524798283051949	0.8650866927095202	0.8487798699346262	0.2443464784564982	0.6309935486654562	0.2448700716403628	1.5666635350021403	1.9104332695957345	0.08888888888888889	0.4	0.875	0.875	1.971554750316887	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6758901232217529	0.26488600336906626	0.20218442492942218	0.15625524602398277	-0.08148865344175708	0.36804733170462395	random_feature_value_control	5	unit	all_shuffled	11	1.3505515788554794	1.0210453409260551	1.1121545930132315	0.8487798699346262	0.24670291900129557	0.6181189265451354	0.24722460228131604	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.06666666666666667	0.875	0.875	2.4168274920029083	1.0224014859114376
random_shuffled_feature_unit_beta	0.574553306229567	-0.42451783197171994	-0.06964476410916096	-0.09781497541119559	0.05101147536175208	0.44117292782364026	random_feature_value_control	5	unit	all_shuffled	12	1.071941749732858	0.8504494495264212	0.8873073906916642	0.8487798699346262	0.24424929170781554	0.6305619920909191	0.24477417020477435	1.5666635350021403	1.9104332695957345	0.06666666666666667	0.4444444444444444	0.875	0.875	1.9630321605776595	1.0224014859114376
random_shuffled_feature_unit_beta	0.21390875013533042	-0.4627359976118799	0.05219720965630017	0.08068076806024274	-0.04207581706963496	0.4726082294211096	random_feature_value_control	5	unit	all_shuffled	13	1.1702126258353676	0.9193503332731727	0.9390290085874959	0.8487798699346262	0.2451970103161944	0.6265890724084752	0.24572100292833704	1.5666635350021403	1.9104332695957345	0.022222222222222223	0.35555555555555557	0.875	0.875	2.1268937523471374	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5110030295556957	0.2770279863695228	0.6228678797378994	0.2826925836729336	-0.1474269732866626	0.7379864481850716	random_feature_value_control	5	unit	all_shuffled	14	1.462158323557382	1.0676950954616784	1.2969575601273209	0.8487798699346262	0.24779212037973458	0.6128920813003393	0.24831151534248258	1.5666635350021403	1.9104332695957345	0.0	0.022222222222222223	0.875	0.875	2.606895987115319	1.0224014859114376
random_shuffled_feature_unit_beta	0.5928960113564982	0.040833261352581765	-0.6302406465237814	-0.5379009470230631	0.2805206543352001	0.8295830618881453	random_feature_value_control	5	unit	all_shuffled	15	0.9919054077614972	0.7348360009768392	0.8184769122890079	0.8487798699346263	0.24324005962817938	0.6346460023869991	0.24374737724234508	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5555555555555556	0.875	0.875	1.8065483395709496	1.0224014859114376
random_shuffled_feature_unit_beta	-0.45048905098872605	-0.16022801345233204	-0.132958636239722	0.21401136306793256	-0.11160903868126201	0.29858311869193455	random_feature_value_control	5	unit	all_shuffled	16	1.2847297636174355	0.9853635997372199	1.29722574959303	0.8487798699346262	0.24622254569190466	0.622168363231347	0.24674508864364203	1.5666635350021403	1.9104332695957345	0.0	0.1111111111111111	0.875	0.875	2.30967951561972	1.0224014859114376
