control_model	direction_cosine_to_measured_correction	PC1_control	PC2_control	PC3_control	PC3_negative_pull_recovered	control_norm	validation_status	n_features	beta_mode	feature_modality	random_iter	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
random_shuffled_feature_unit_beta	0.6610543108917276	-0.3639891851351304	-0.27828866351870085	-0.20341527426242684	0.10608307375860329	0.501308768067764	random_feature_value_control	5	unit	all_shuffled	0	1.0296530805933835	0.8104124938634029	0.9078327619067905	0.8487798699346262	0.24383866875236843	0.63271301991101	0.2443611244452382	1.5666635350021403	1.9104332695957345	0.24444444444444444	0.4666666666666667	0.875	0.875	1.888586788635553	1.0224014859114376
random_shuffled_feature_unit_beta	0.7228762303907602	0.019965136197542994	-0.378435904520925	-0.479697325447601	0.2501668910644934	0.6113279517047612	random_feature_value_control	5	unit	all_shuffled	1	0.9737163796560383	0.7455087174082518	0.9020054068131992	0.8487798699346262	0.24313760437769574	0.6341496903480593	0.24365326460248632	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.5777777777777777	0.875	0.875	1.7840344014885072	1.0224014859114376
random_shuffled_feature_unit_beta	0.7495127468242728	-0.3356402612923204	-0.334059060120172	-0.3182794714322866	0.16598588658706806	0.5705713474964945	random_feature_value_control	5	unit	all_shuffled	2	0.9756001462716215	0.7612545568231601	0.8011034381023725	0.8487798699346262	0.24335952875082328	0.6346026621946992	0.24387954959286107	1.5666635350021403	1.9104332695957345	0.35555555555555557	0.6	0.875	0.875	1.798126705566668	1.0224014859114376
random_shuffled_feature_unit_beta	-0.9804468664389111	0.08127220235672754	-0.008960180329278818	0.12558341047745677	-0.0654929883945189	0.14985542597649062	random_feature_value_control	5	unit	all_shuffled	3	1.2827598609080546	0.9840329153222014	1.0250961362363293	0.8487798699346262	0.24608492911779892	0.6215013049730057	0.24660791277805505	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.15555555555555556	0.875	0.875	2.3038510786369324	1.0224014859114376
random_shuffled_feature_unit_beta	-0.6099248421802875	0.35691932066261867	0.7004301351136926	0.4324051373375458	-0.22550354806984493	0.8972000771475405	random_feature_value_control	5	unit	all_shuffled	4	1.5684301454565948	1.1047101107346562	1.3489064583289951	0.8487798699346262	0.24910615149006585	0.6075844412934785	0.24962281233810887	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.785952527021655	1.0224014859114376
random_shuffled_feature_unit_beta	0.6246081376969763	-0.05099327969005579	-0.6176822904737307	-0.5108408252123879	0.26640853365809086	0.8031749966489843	random_feature_value_control	5	unit	all_shuffled	5	0.9777171804816394	0.727108388684113	0.8025444867589884	0.8487798699346263	0.24317022376098982	0.6352060962279674	0.24367854226030178	1.5666635350021403	1.9104332695957345	0.3111111111111111	0.5555555555555556	0.875	0.875	1.7856648575521836	1.0224014859114376
random_shuffled_feature_unit_beta	0.8513842757893343	-0.2929307128682841	-0.1900577464167637	-0.29953434029230874	0.15621011563502277	0.46005561677789414	random_feature_value_control	5	unit	all_shuffled	6	0.9816184269701033	0.7736549778077854	0.9056811378780032	0.8487798699346262	0.24338212330621464	0.6337451266404259	0.24390487868066119	1.5666635350021403	1.9104332695957345	0.3333333333333333	0.5333333333333333	0.875	0.875	1.8100811655945304	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5642539375794879	0.22534151195963598	-0.08675125939377848	0.060497797628843275	-0.03155019873194978	0.24892681964103802	random_feature_value_control	5	unit	all_shuffled	7	1.2844053226706524	0.9835701900965659	1.1450498211311535	0.8487798699346262	0.24604037288497804	0.6216048518195031	0.2465631676891402	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.15555555555555556	0.875	0.875	2.3033326609221936	1.0224014859114376
random_shuffled_feature_unit_beta	0.49810691779067007	0.17459724295170118	-0.366008383437284	-0.3566473411983587	0.18599510945940634	0.5400404243911447	random_feature_value_control	5	unit	all_shuffled	8	1.0770000230660026	0.8300882453139738	1.0163115662150402	0.8487798699346262	0.24397092402311082	0.630535621819202	0.24448971376209128	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9522074138722088	1.0224014859114376
random_shuffled_feature_unit_beta	0.3347453540190063	-0.2791059358078195	-0.46957042266668103	-0.07628148201583293	0.039781545965232826	0.5515572225481741	random_feature_value_control	5	unit	all_shuffled	9	1.131728353102402	0.8789290510976409	0.9944826262225811	0.8487798699346262	0.2446667635622264	0.6300474006435501	0.2451875794785382	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.37777777777777777	0.875	0.875	2.051009590985446	1.0224014859114376
random_shuffled_feature_unit_beta	-0.306715587914565	0.35280180841715764	0.16970200221186194	-0.01854097264868143	0.009669300283266017	0.39193322549114246	random_feature_value_control	5	unit	all_shuffled	10	1.2853962365802702	0.987614558307494	0.980342264660701	0.8487798699346262	0.24590443102038215	0.6211789320483049	0.24642775295428443	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.13333333333333333	0.875	0.875	2.305623054210985	1.0224014859114376
random_shuffled_feature_unit_beta	-0.021638037565604742	-0.4169870769198008	0.12818360225729383	0.18089570007538888	-0.09433889349407754	0.47226318140581425	random_feature_value_control	5	unit	all_shuffled	11	1.234200020279199	0.9581645785534072	1.092093990588931	0.8487798699346262	0.24581314253784917	0.6236973342756394	0.24633596017904189	1.5666635350021403	1.9104332695957345	0.0	0.15555555555555556	0.875	0.875	2.2326637396661693	1.0224014859114376
random_shuffled_feature_unit_beta	-0.38110157407922185	0.1269746666542778	-0.15631066072616145	0.034609398812079695	-0.01804914316407817	0.20433648503081311	random_feature_value_control	5	unit	all_shuffled	12	1.2475565159627027	0.9613322930600846	1.0338926886427038	0.8487798699346262	0.24569090311716502	0.6234065786341094	0.24621399765948043	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.2222222222222222	0.875	0.875	2.2422128069128973	1.0224014859114376
