control_model	direction_cosine_to_measured_correction	PC1_control	PC2_control	PC3_control	PC3_negative_pull_recovered	control_norm	validation_status	n_features	beta_mode	feature_modality	random_iter	latent_mean_rmse	latent_mmd_rbf	latent_sliced_wasserstein	latent_covariance_frobenius	dmr_mean_rmse	dmr_correlation	dmr_distributional_rmse	basin_radius_q90	basin_radius_q95	pred_basin_occupancy_q90	pred_basin_occupancy_q95	observed_basin_occupancy_q90	observed_basin_occupancy_q95	pred_mean_distance_to_morula_centroid	observed_mean_distance_to_morula_centroid
random_shuffled_feature_unit_beta	-0.436528565903813	0.468934671283604	0.05540101755779056	0.02892069949844238	-0.015082430309956122	0.4730807600587658	random_feature_value_control	5	unit	all_shuffled	0	1.339778568763537	1.015112391507425	1.131585992612571	0.8487798699346262	0.2465174287293209	0.6190214966945667	0.24703946815418035	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.3944514382931996	1.0224014859114376
random_shuffled_feature_unit_beta	0.45224070834758373	-0.2974302457711897	-0.535790213987327	-0.18035519344635392	0.09405701395084837	0.6387987948541917	random_feature_value_control	5	unit	all_shuffled	1	1.0822298302187543	0.8366324320013621	0.9757645634612412	0.8487798699346262	0.24420469066890096	0.632164339542821	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376
random_shuffled_feature_unit_beta	0.7509226931734263	0.09104735950837517	0.025030852959352104	-0.2717867585966407	0.14173947784089655	0.2877224485885463	random_feature_value_control	5	unit	all_shuffled	2	1.0786716476523261	0.8527354770750251	0.861287963991569	0.8487798699346262	0.2439589661928265	0.6295013319647936	0.24448355215588688	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.963675298481628	1.0224014859114376
random_shuffled_feature_unit_beta	-0.436528565903813	0.468934671283604	0.05540101755779056	0.02892069949844238	-0.015082430309956122	0.4730807600587658	random_feature_value_control	5	unit	all_shuffled	3	1.339778568763537	1.015112391507425	1.0715837950864668	0.8487798699346262	0.2465174287293209	0.6190214966945667	0.24703946815418035	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.3944514382931996	1.0224014859114376
random_shuffled_feature_unit_beta	0.6730379564770446	-0.19305737793752406	-0.18388225341096331	-0.1345461608718826	0.07016715121055797	0.29864109513087483	random_feature_value_control	5	unit	all_shuffled	4	1.089264511677278	0.8570787435338489	0.9819723148187112	0.8487798699346262	0.2442796514215075	0.6299320274427815	0.2448033565252401	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.984510848504478	1.0224014859114376
random_shuffled_feature_unit_beta	0.45224070834758373	-0.2974302457711897	-0.535790213987327	-0.18035519344635392	0.09405701395084837	0.6387987948541917	random_feature_value_control	5	unit	all_shuffled	5	1.0822298302187543	0.8366324320013621	0.8718232821065228	0.8487798699346262	0.24420469066890096	0.632164339542821	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5867297974399319	-0.06949440708326522	0.639240596881148	0.5577674134164351	-0.2908812126923469	0.851212371142526	random_feature_value_control	5	unit	all_shuffled	6	1.538527792998525	1.0923982708452897	1.3570135214113013	0.8487798699346263	0.24902152512811243	0.6083574631080416	0.24953785975323972	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7399337322574318	1.0224014859114376
random_shuffled_feature_unit_beta	-0.436528565903813	0.468934671283604	0.05540101755779056	0.02892069949844238	-0.015082430309956122	0.4730807600587658	random_feature_value_control	5	unit	all_shuffled	7	1.339778568763537	1.015112391507425	1.185175417112258	0.8487798699346262	0.2465174287293209	0.6190214966945667	0.24703946815418035	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.3944514382931996	1.0224014859114376
random_shuffled_feature_unit_beta	0.6730379564770446	-0.19305737793752406	-0.18388225341096331	-0.1345461608718826	0.07016715121055797	0.29864109513087483	random_feature_value_control	5	unit	all_shuffled	8	1.089264511677278	0.8570787435338489	0.9988287326378024	0.8487798699346262	0.2442796514215075	0.6299320274427815	0.2448033565252401	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.984510848504478	1.0224014859114376
random_shuffled_feature_unit_beta	0.45224070834758373	-0.2974302457711897	-0.535790213987327	-0.18035519344635392	0.09405701395084837	0.6387987948541917	random_feature_value_control	5	unit	all_shuffled	9	1.0822298302187543	0.8366324320013621	0.9511383990550544	0.8487798699346262	0.24420469066890096	0.632164339542821	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376
random_shuffled_feature_unit_beta	0.6730379564770446	-0.19305737793752406	-0.18388225341096331	-0.1345461608718826	0.07016715121055797	0.29864109513087483	random_feature_value_control	5	unit	all_shuffled	10	1.089264511677278	0.8570787435338489	0.8516830024690323	0.8487798699346262	0.2442796514215075	0.6299320274427815	0.2448033565252401	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.984510848504478	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5867297974399319	-0.06949440708326522	0.639240596881148	0.5577674134164351	-0.2908812126923469	0.851212371142526	random_feature_value_control	5	unit	all_shuffled	11	1.538527792998525	1.0923982708452897	1.328006725099732	0.8487798699346263	0.24902152512811243	0.6083574631080416	0.24953785975323972	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7399337322574318	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5867297974399319	-0.06949440708326522	0.639240596881148	0.5577674134164351	-0.2908812126923469	0.851212371142526	random_feature_value_control	5	unit	all_shuffled	12	1.538527792998525	1.0923982708452897	1.2775758200394614	0.8487798699346263	0.24902152512811243	0.6083574631080416	0.24953785975323972	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7399337322574318	1.0224014859114376
random_shuffled_feature_unit_beta	0.7509226931734263	0.09104735950837517	0.025030852959352104	-0.2717867585966407	0.14173947784089655	0.2877224485885463	random_feature_value_control	5	unit	all_shuffled	13	1.0786716476523261	0.8527354770750251	0.8611506341904315	0.8487798699346262	0.2439589661928265	0.6295013319647936	0.24448355215588688	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.963675298481628	1.0224014859114376
random_shuffled_feature_unit_beta	0.7509226931734263	0.09104735950837517	0.025030852959352104	-0.2717867585966407	0.14173947784089655	0.2877224485885463	random_feature_value_control	5	unit	all_shuffled	14	1.0786716476523261	0.8527354770750251	0.9476494642141202	0.8487798699346262	0.2439589661928265	0.6295013319647936	0.24448355215588688	1.5666635350021403	1.9104332695957345	0.15555555555555556	0.4888888888888889	0.875	0.875	1.963675298481628	1.0224014859114376
random_shuffled_feature_unit_beta	-0.5867297974399319	-0.06949440708326522	0.639240596881148	0.5577674134164351	-0.2908812126923469	0.851212371142526	random_feature_value_control	5	unit	all_shuffled	15	1.538527792998525	1.0923982708452897	1.3052604732632163	0.8487798699346263	0.24902152512811243	0.6083574631080416	0.24953785975323972	1.5666635350021403	1.9104332695957345	0.0	0.0	0.875	0.875	2.7399337322574318	1.0224014859114376
random_shuffled_feature_unit_beta	-0.436528565903813	0.468934671283604	0.05540101755779056	0.02892069949844238	-0.015082430309956122	0.4730807600587658	random_feature_value_control	5	unit	all_shuffled	16	1.339778568763537	1.015112391507425	1.3447190466493144	0.8487798699346262	0.2465174287293209	0.6190214966945667	0.24703946815418035	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.3944514382931996	1.0224014859114376
random_shuffled_feature_unit_beta	0.45224070834758373	-0.2974302457711897	-0.535790213987327	-0.18035519344635392	0.09405701395084837	0.6387987948541917	random_feature_value_control	5	unit	all_shuffled	17	1.0822298302187543	0.8366324320013621	0.8883290175651746	0.8487798699346262	0.24420469066890096	0.632164339542821	0.24472327354822482	1.5666635350021403	1.9104332695957345	0.2222222222222222	0.4666666666666667	0.875	0.875	1.9676035634648883	1.0224014859114376
random_shuffled_feature_unit_beta	-0.436528565903813	0.468934671283604	0.05540101755779056	0.02892069949844238	-0.015082430309956122	0.4730807600587658	random_feature_value_control	5	unit	all_shuffled	18	1.339778568763537	1.015112391507425	1.2041963524846266	0.8487798699346262	0.2465174287293209	0.6190214966945667	0.24703946815418035	1.5666635350021403	1.9104332695957345	0.044444444444444446	0.08888888888888889	0.875	0.875	2.3944514382931996	1.0224014859114376
random_shuffled_feature_unit_beta	0.6730379564770446	-0.19305737793752406	-0.18388225341096331	-0.1345461608718826	0.07016715121055797	0.29864109513087483	random_feature_value_control	5	unit	all_shuffled	19	1.089264511677278	0.8570787435338489	0.9588889430739921	0.8487798699346262	0.2442796514215075	0.6299320274427815	0.2448033565252401	1.5666635350021403	1.9104332695957345	0.1111111111111111	0.4444444444444444	0.875	0.875	1.984510848504478	1.0224014859114376
