bootstrap	center_PC1	center_PC2	center_PC3
0	-3.3626384505860343	-0.49068454489319846	-2.876229781465887
1	-3.129144327286597	-0.09119716892417705	-2.8003934378992783
2	-3.051242577426085	0.6894312147184312	-2.804538718869355
3	-2.984309662617182	-0.6393421504413812	-2.930883590637795
4	-3.3222303142692775	-0.29605215123584977	-2.754645268262919
5	-3.0979008690153327	-0.4343180400637628	-2.776816538128227
6	-3.375512605193016	0.4395288533393721	-2.526213349511768
7	-3.4453185793111674	0.42671180181404345	-2.837311865702217
8	-3.116056944777479	-0.09306366629134605	-2.9736160174698023
9	-3.2938865397948103	-0.3779364055462527	-2.9115044711172615
10	-2.958639337878175	-0.34551182910961376	-2.8006445573499734
11	-2.9961647883555234	0.09114079256188412	-2.7197299534168096
12	-2.963571531378967	0.15531430381402295	-3.029160214059293
13	-3.250863146360702	0.3686642209929191	-2.375897778469065
14	-3.071880799605449	0.03763235383226926	-3.036990051164544
15	-3.2249186072019906	0.32910595755120886	-2.8770737754829696
16	-2.9105188805851725	-0.385602833049805	-2.7795497463786525
17	-3.1521238007075216	-0.1967630418768127	-2.6922844444069964
18	-3.4027374417399914	0.46454024578971187	-2.838944897107245
19	-3.2385373941535622	-0.10035029352095803	-2.9343456322258006
20	-3.2416570915501426	-0.35475521033667584	-2.87168361924216
21	-3.083663505918625	-0.3146053417776914	-2.6215903666789124
22	-3.2127819126332215	-0.005316716207742905	-2.7980483857831486
23	-3.011088251503037	0.015788734466846754	-3.0191789150747477
24	-3.552583219213474	0.399479444597666	-2.9411089607667997
25	-3.4619031453079563	-0.4433971703536762	-2.8736818452468746
26	-3.4329726316219453	0.1876236342065826	-2.977401923634614
27	-2.92614598996047	-0.42419591122671696	-2.77934686227577
28	-3.424168458726659	0.12694979894584277	-2.4649990959017423
29	-2.948991027204683	-0.36015907787570534	-2.759190674069844
30	-3.189566157979061	0.049257285561391376	-2.834770834808138
31	-3.219835161671445	0.3313724185337555	-2.8438378854423876
32	-3.1256539124800686	0.2818185830116867	-2.8796217117019824
33	-3.0802176654018565	0.19713512722025608	-2.5474459966116805
34	-3.4027374417399923	0.46454024578971187	-2.838944897107245
35	-2.965607430135065	-0.20761943838666758	-2.8403758438543827
36	-3.2654914223494407	-0.09958565931971446	-2.932915484923655
37	-3.1930565727855895	-0.3237584663744724	-2.7555425610054343
38	-3.3728113970208375	-0.4084003269674179	-2.859357268141486
39	-3.0648167900878964	0.12125024658418047	-3.0151832194821218
40	-3.2334539486230165	-0.09808383253841149	-2.9011097421852186
41	-3.0197512604196324	-0.08204404432739609	-2.666441243572757
42	-3.0877171621011996	-0.09629523049613367	-2.817671719429444
43	-3.1068625314184306	0.43609186094223273	-3.095859252658439
44	-3.4285928323191825	0.22664907510725457	-2.6445141878332104
45	-2.986983112352642	-0.26362757479921084	-2.643785354495631
46	-3.200076008013382	-0.5461010761884675	-2.9307220365577926
47	-3.15457366568675	0.07110480594483747	-2.799884301291059
48	-3.279649176698102	-0.2582237072601814	-2.756278299667947
49	-3.2300188685855784	-0.006650391033873604	-2.8029827041411703
