cluster_name	cluster_7072	cluster_2190	cluster_5659	cluster_6087	cluster_4373	cluster_4364	cluster_5928	cluster_3275	cluster_3660	cluster_5977	cluster_5608	cluster_6960	cluster_5656	cluster_2324	cluster_6262	cluster_1688	cluster_4899	cluster_5336	cluster_3227	cluster_2365	cluster_5002	cluster_5923	cluster_2743	cluster_652	cluster_2910	cluster_6498	cluster_1007	cluster_6163	cluster_5215	cluster_1715	cluster_6406	cluster_125	cluster_883	cluster_7504	cluster_7683	cluster_1333	cluster_3348	cluster_6400	cluster_4593	cluster_483	cluster_5064	cluster_6655	cluster_4532	cluster_1387	cluster_4420	cluster_7612	cluster_293	cluster_4551	cluster_1257	cluster_6020	cluster_3967	cluster_3928	cluster_4064	cluster_6275	cluster_6518	cluster_123	cluster_5760	cluster_2126	cluster_950	cluster_1851	cluster_23	cluster_2004	cluster_6532	cluster_6171	cluster_3362	cluster_5400	cluster_1564	cluster_1742	cluster_1586	cluster_2832	cluster_5447	cluster_242	cluster_6871	cluster_4028	cluster_618	cluster_5307	cluster_126	cluster_4907	cluster_3336	cluster_4084	cluster_2727	cluster_6114	cluster_4404	cluster_5679	cluster_6651	cluster_3369	cluster_1921	cluster_5024	cluster_916	cluster_3123	cluster_1607	cluster_3519	cluster_4889	cluster_7052	cluster_915	cluster_1806	cluster_1718	cluster_1406	cluster_5020	cluster_386	cluster_3303	cluster_3416	cluster_6410	cluster_5599	cluster_587	cluster_3133	cluster_4920	cluster_3766	cluster_643	cluster_3978	cluster_1922	cluster_2355	cluster_3762	cluster_1758	cluster_2776	cluster_7000	cluster_1764	cluster_7042	cluster_1523	cluster_7095	cluster_832	cluster_4538	cluster_634	cluster_1556	cluster_5966	cluster_2637	cluster_7425	cluster_4909	cluster_4897	cluster_6442	cluster_543	cluster_4141	cluster_1976	cluster_6143	cluster_4605	cluster_67	cluster_6495	cluster_900	cluster_1126	cluster_5678	cluster_840	cluster_4449	cluster_3684	cluster_6975	cluster_5516	cluster_315	cluster_5661	cluster_6892	cluster_2623	cluster_7341	cluster_4026	cluster_6604	cluster_4904	cluster_5252	cluster_5240	cluster_5580
cluster_7072	9.786775820629725	0.0	-0.6231461956262043	-0.8132073005781834	-0.7475190476183885	0.0	0.0	0.0	0.0	0.0	0.0	-0.739110091469486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6590388146178932	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6728508445627343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6274656230751391	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7946599511346503	0.0	0.0	0.0	0.0	0.0	-0.6717152196426287	0.0	0.0	0.0	-0.6950051397752562	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.683239201902596	-0.7364995790436241	0.0	0.0	0.0	0.0	0.0	-0.667153639789673	0.0	0.0	0.0	0.0	-0.6561651717932673	0.0	0.0	0.0	0.0
cluster_2190	0.0	6.958882415053616	-0.7821697243273733	0.0	0.0	-0.7498827819786047	-0.6508232142716165	0.0	-0.7027944714737275	-0.6660981304693016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6666739839307017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.739657895962708	0.0	0.0	0.0	0.0	0.0	-0.6517336148746858	0.0	0.0	0.0	0.0	0.0	-0.6565096458194227	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6925389519454741	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cluster_5659	-0.6231461956262043	-0.7821697243273733	6.768891749556291	0.0	0.0	-0.7052986725350553	-0.660377918021203	0.0	-0.6921954593182188	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6219770569009861	-0.6274687012700803	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6917366940398273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6861839674879354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6783373600294067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cluster_6087	-0.8132073005781834	0.0	0.0	10.782806576337252	-0.7821148251724311	0.0	0.0	0.0	0.0	0.0	0.0	-0.7436282921962232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.656837081810024	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7378057716023309	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7523046144699357	0.0	0.0	0.0	0.0	0.0	-0.733140902913838	0.0	0.0	0.0	-0.7469228578957013	0.0	-0.6150586406507115	0.0	-0.7099184084139901	0.0	0.0	0.0	0.0	-0.7119968251422354	-0.7034736349477256	0.0	0.0	-0.6419784506850311	0.0	0.0	-0.7130871598437695	0.0	0.0	0.0	0.0	-0.7213318100151218	0.0	0.0	0.0	0.0
cluster_4373	-0.7475190476183885	0.0	0.0	-0.7821148251724311	9.306707902053809	0.0	0.0	0.0	0.0	0.0	0.0	-0.7938500542094347	0.0	0.0	-0.6444767913563753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.745545860705106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6853683215389719	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6714360071721129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7007161158283065	0.0	0.0	-0.7775894458964305	0.0	-0.6667257852475491	0.0	0.0	0.0	0.0	0.0	0.0	-0.6695387322625639	-0.7364484263260058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6853784887201314	0.0	0.0	0.0	0.0
cluster_4364	0.0	-0.7498827819786047	-0.7052986725350553	0.0	0.0	13.410088015327235	0.0	0.0	-0.7133828675823093	-0.7339472504351434	-0.7173017024786015	0.0	0.0	0.0	0.0	0.0	-0.7592622957938784	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7615622436982082	-0.6993201827171298	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6948041371097902	-0.7612823661267855	0.0	-0.6591424834371054	0.0	0.0	0.0	-0.6407927231038667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7058964972235335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6108582943669588	0.0	0.0	-0.7889632287488189	0.0	-0.6835113248197846	0.0	0.0	0.0	0.0	0.0	-0.6761412729802455	0.0	0.0	-0.6811613591184169	0.0	0.0	0.0	-0.6675763310729984	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
cluster_5928	0.0	-0.6508232142716165	-0.660377918021203	0.0	0.0	0.0	10.549438755182358	-0.7722333810791724	-0.7908513304344031	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7093789963165466	-0.7576115451313137	0.0	0.0	0.0	0.0	0.0	-0.700929639953814	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7050576326005183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7360269445647034	0.0	0.0	-0.710460636474007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.5996284358523288	-0.7342799360740963	0.0	0.0	-0.6075847207268401	0.0	0.0	0.0	-0.7774559082354212	0.0	-0.6367385154463726	0.0
cluster_3275	0.0	0.0	0.0	0.0	0.0	0.0	-0.7722333810791724	7.7736151874625765	-0.7162611497387047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.67676423177292	0.0	0.0	0.0	-0.6558233627772604	0.0	0.0	-0.6606813668410718	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7150578318528098	0.0	-0.6823408397387969	0.0	0.0	-0.7000715625328026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7549967117802137	-0.6475620151973741	0.0	0.0	0.0	0.0	0.0	-0.7918227341514508	0.0	0.0	0.0
cluster_3660	0.0	-0.7027944714737275	-0.6921954593182188	0.0	0.0	-0.7133828675823093	-0.7908513304344031	-0.7162611497387047	11.594503282914344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7146665645697667	-0.8089301303889994	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7396550115766826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7282503049192788	0.0	0.0	-0.6622249472480782	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.791604905597938	0.0	0.0	-0.6977216729276123	-0.6292752281940698	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7684142191826606	0.0	0.0	0.0	0.0	0.0	0.0	-0.7557433315195247	-0.6825316882423695	0.0	0.0
cluster_5977	0.0	-0.6660981304693016	0.0	0.0	0.0	-0.7339472504351434	0.0	0.0	0.0	11.946929508999062	-0.8080746637414626	0.0	0.0	0.0	0.0	0.0	-0.7553478343286611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.7208808637833215	0.0	0.0	0.0	0.0	0.0	0.0	-0.7391216484355616	0.0	0.0	0.0	-0.7605673261131601	0.0	0.0	0.0	0.0	0.0	0.0	-0.7279492236862749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6614585199458921	0.0	0.0	0.0	-0.6996411910843514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6955892958810727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6381748113138875	0.0	0.0	0.0	-0.5630559664051772	0.0	0.0	-0.7175283942007821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.6965504705586137	0.0	0.0	0.0	0.0	-0.694049486445294	0.0	-0.6688944321711053	0.0	0.0	0.0	0.0	0.0	0.0
