dataset	sample_name	stage	P	Hr	D	M	P_raw	Hr_raw	to_stage	vP	vHr	vD	vM
GSE36552	Oocyte #1(RPKM)	oocyte	0.3163801439601027	0.694639604700115	0.6193298657312205	0.2027673807290468	0.3558315583696919	7.381788202896162	zygote	0.08165525432250925	0.0011599401013580035	0.07358937786354958	0.031018572304627456
GSE36552	Oocyte #2(RPKM)	oocyte	0.3301224893014873	0.7095020837447127	0.6293697834764728	0.2099145454124449	0.363529979196631	7.476926477091045	zygote	0.06791430564039236	-0.013690907792196505	0.06357635519853277	0.023850873073177764
GSE36552	Oocyte #3(RPKM)	oocyte	0.3606560991269658	0.7099377008908028	0.6582799080682231	0.2203691255930968	0.3806348162504794	7.479714966370953	zygote	0.037423814539803146	-0.014157718966034571	0.03472249725121124	0.013398369244466551
GSE36552	Zygote #1(RPKM)	zygote	0.4020370225729052	0.6956166575150825	0.7035200193540583	0.2295588218867343	0.4038162860054882	7.388042551066096	2-cell	0.19957095803090408	-0.048813458671030596	-0.14456583373118959	0.3423860777188652
GSE36552	Zygote #2(RPKM)	zygote	0.40135223822477545	0.6868652984984072	0.6842869239143583	0.2445951916443718	0.4034326718583653	7.332023014136357	2-cell	0.2411310290600303	-0.0341708100942173	-0.1440074536149094	0.38849091903498745
GSE36552	Zygote #3(RPKM)	zygote	0.39076284609357986	0.7049087466652678	0.6910608443207934	0.2271648528257542	0.3975005260053629	7.447523430585651	2-cell	0.1916981432525317	-0.0599820222194376	-0.1316920245364862	0.32298717232429575
GSE36552	2-cell embryo#1 -Cell#1(RPKM)	2-cell	0.39245527581638795	0.6132163442706264	0.6724325632030966	0.2443676705400137	0.3984486200826497	6.8605784872533535	4-cell	-0.09175086175488328	0.05597733756991652	-0.2314588558794336	0.08738977849748256
GSE36552	2-cell embryo#1 -Cell#2(RPKM)	2-cell	0.3823554323687425	0.6247451971632972	0.6652957542034595	0.2389160944635008	0.3927907179404274	6.9343774251266455	4-cell	-0.08677032103160992	0.04459430874279935	-0.23024021222572955	0.09196860207399468
GSE36552	2-cell embryo#2 -Cell#1(RPKM)	2-cell	0.39426466596661147	0.616402965478345	0.6718277488810935	0.2468918689511962	0.3994622350421422	6.880976809855218	4-cell	-0.09317207967877333	0.052777462127449604	-0.23045089548593428	0.08496922576032795
GSE36552	2-cell embryo#2 -Cell#2(RPKM)	2-cell	0.4061289139576618	0.6247592476724477	0.675577597677513	0.2571032968977664	0.4061085513412398	6.934467365787832	4-cell	-0.10017717403935089	0.04428251505012182	-0.22868092941960888	0.07566640051682955
GSE36552	2-cell embryo#3 -Cell#1(RPKM)	2-cell	0.3757773434009159	0.585746152869204	0.6406193298657311	0.2518223573486753	0.3891056921421838	6.684735238365182	4-cell	-0.0877867412673376	0.08373963277780416	-0.21505840756943095	0.07835510868596463
GSE36552	2-cell embryo#3 -Cell#2(RPKM)	2-cell	0.3755026763825475	0.5907613139702133	0.6411031813233338	0.2511170472677952	0.3889518244986228	6.716838481069686	4-cell	-0.0875145184610221	0.07872826679634792	-0.21551459070801132	0.07903494556869833
GSE36552	4-cell embryo#2 -Cell#1(RPKM)	2-cell	0.5379237784297309	0.6314573083904939	0.582315229224628	0.4813980174958874	0.4799396408918658	6.977343250440404	4-cell	-0.2138176718121359	0.036711949846517156	-0.11954313717295961	-0.14133291658874714
GSE36552	4-cell embryo#2 -Cell#2(RPKM)	2-cell	0.3072108640935082	0.6470854435838637	0.46522317648481915	0.3191217461356145	0.3506949551670021	7.077382672310738	4-cell	-0.05677713723959632	0.023140050145957103	-0.08759274270888012	0.00836111422982988
GSE36552	4-cell embryo#2 -Cell#3(RPKM)	2-cell	0.6247710278308704	0.6395029001184657	0.7245675577597677	0.4618141677251962	0.5285912106889573	7.028845002576033	4-cell	-0.21924122796698597	0.026903803703100526	-0.16516756276643263	-0.10992040695839922
GSE36552	4-cell embryo#2 -Cell#4(RPKM)	2-cell	0.2980323924370831	0.6435240558295835	0.4671585823152292	0.3072479421287681	0.3455532027510951	7.054585379634038	4-cell	-0.04834830289280237	0.026752461292561258	-0.09007833337134868	0.01984710918363336
