transition_tested	A_drop_rank_largest_is_1	reset_entry_rank_largest_is_1	destination_reset_rank_lowest_is_1	mean_transport_A	mean_transport_P	reset_entry_score	p_min	p_min_definition	iteration
8-cell -> morula	1	1	1	-0.18648027664397113	-0.06315915029049542	0.18648027664397113	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	0
8-cell -> morula	1	1	1	-0.19438159766613555	-0.07040137418713258	0.19438159766613555	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	1
8-cell -> morula	1	1	1	-0.20991992583896696	-0.01252742299137832	0.235686579302604	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	2
8-cell -> morula	1	1	1	-0.19559576949604068	-0.06991311799748431	0.19559576949604068	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	3
8-cell -> morula	1	1	1	-0.21749728254498144	-0.07015130014015915	0.21749728254498144	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	4
8-cell -> morula	1	1	1	-0.20126173711131046	-0.04198704759332254	0.22353324555241916	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	5
8-cell -> morula	1	1	1	-0.21288874065460486	-0.05027869519049135	0.23092072242529496	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	6
8-cell -> morula	1	1	1	-0.20150517584536487	-0.04634756508230839	0.20545405479983225	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	7
8-cell -> morula	1	1	1	-0.20437776816240294	-0.03863690658815377	0.20437776816240294	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	8
8-cell -> morula	1	1	1	-0.2226448579239471	-0.06298010998837875	0.2226448579239471	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	9
8-cell -> morula	1	1	1	-0.20876019687143885	-0.06878820069067373	0.20876019687143885	0.7387540714131886	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	10
8-cell -> morula	1	1	1	-0.22639985067230814	-0.0577443235047429	0.23204755570428234	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	11
8-cell -> morula	1	1	1	-0.20458949966891954	-0.030237207358222707	0.2068013443631868	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	12
8-cell -> morula	1	1	1	-0.18174708386965005	-0.046917831434430304	0.19954869070151232	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	13
8-cell -> morula	1	1	1	-0.23154899656248837	-0.02487637430557267	0.24195703966188595	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	14
8-cell -> morula	1	1	1	-0.204948343335397	-0.012976996611524738	0.22761670331297	0.7383790217399016	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	15
8-cell -> morula	1	1	1	-0.21124634980506227	-0.017515896122183093	0.24354357573777582	0.7219415713099067	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	16
8-cell -> morula	1	1	1	-0.20486845207577195	-0.04061560760933658	0.23682558980343923	0.6973985140260488	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	17
8-cell -> morula	1	1	1	-0.23470763223492616	-0.05120199962655736	0.24617121685406293	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	18
8-cell -> morula	1	1	1	-0.21009688132248763	-0.043399824758412905	0.23136258641326105	0.7072835152390234	stage-agnostic global fused-particle P quantile q=0.6; not derived from morula	19
