iteration	previous_stage	mean_transport_A	mean_transport_Hm	mean_transport_P	mean_transport_Hr	mean_squared_displacement
0	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
1	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
2	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
3	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
4	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
5	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
6	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
7	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
8	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
9	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
10	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
11	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
12	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
13	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
14	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
15	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
16	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
18	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
19	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
20	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
21	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
22	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
23	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
24	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
26	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
27	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
28	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
29	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
30	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
31	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
32	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
33	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
34	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
36	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
37	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
39	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
40	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
42	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
43	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
44	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
45	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
47	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
48	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
49	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
50	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
52	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
53	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
55	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
56	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
57	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
58	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
59	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
60	MII oocyte	-0.16141955089898677	0.010392339957455763	0.3946896923276669	-0.09151571017102711	0.28493458875781486
61	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
62	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
63	8-cell	-0.20068847739403312	-0.09782114162330201	-0.0420903295924514	-0.021037837560139768	0.14928157097759773
64	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
65	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
66	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
67	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
68	zygote/PN	-0.20091201350124943	-0.010439882532041945	0.33235856749343207	-0.08261948128540278	0.23927163546136515
69	blastocyst	-0.39573323929505916	-0.789913031271793	0.4245748231699204	-0.02432153004179211	1.0762302294557977
70	2-cell	-0.2658915429166202	-0.3597659934155164	0.12155852404561003	-0.03496405095717425	0.3239558056004571
71	4-cell	-0.135697481725658	-0.16142267545866643	0.38612665051590556	-0.054692216426557756	0.27745889895262066
