sample_id	stage	genome_met_reads	genome_total_reads	genome_cpg_rows	genome_beta	sample_mean_cpg_entropy	sample_global_beta_entropy
GSM2146951	MII oocyte	2195765.0	6502432.0	3650028	0.3376836543619372	0.0056708234835052	0.6394870908626917
GSM2146952	MII oocyte	3981260.0	10301527.0	5265304	0.3864728015565071	0.0127830587668289	0.6671441513758029
GSM2146953	MII oocyte	3150411.0	8787845.0	4444602	0.3584964231845236	0.0087179920241325	0.652548181479109
GSM2146954	MII oocyte	2772169.0	7850173.0	4147402	0.3531347653102676	0.007156954042573	0.6493656139534894
GSM2481532	2-cell	2456193.0	10750109.0	6574355	0.2284807530788757	0.0200551849331479	0.5374340919113716
GSM2481533	2-cell	2308099.0	7244009.0	3206039	0.3186217742136985	0.0092005020397912	0.6258262218354304
GSM2481534	2-cell	4103405.0	13062582.0	7299429	0.3141342959607832	0.020860174184689	0.6223687371568971
GSM2481535	2-cell	3670308.0	14854725.0	6508853	0.2470801714605958	0.022115545268854	0.5591045912984579
GSM2481536	4-cell	3869722.0	19656755.0	6984030	0.1968647419169644	0.019246725544581	0.4960251932580046
GSM2481537	4-cell	3830353.0	18517762.0	7541528	0.2068475121345657	0.0199609806693696	0.5097497960528712
GSM2481538	4-cell	4071704.0	21764757.0	6599721	0.1870778525117464	0.0248571762656552	0.4819579694389848
GSM2481539	4-cell	3842378.0	26569033.0	10687933	0.1446186618835544	0.0234580191534079	0.4132599094317811
GSM2481540	4-cell	4357595.0	19680409.0	9709606	0.221417908540417	0.0255541008557836	0.5286967115974419
GSM2481541	4-cell	3708135.0	22684130.0	9984851	0.1634682485067754	0.0234158141637101	0.4453765354719164
GSM2481542	4-cell	4341480.0	23636615.0	10093386	0.1836760466758882	0.0240794034228437	0.47692211474588
GSM2481543	4-cell	3929148.0	19645367.0	8710362	0.2000037973329793	0.0197953146422932	0.500407687714423
GSM2481544	4-cell	3920026.0	23077211.0	9681871	0.169865673975941	0.0224232845886162	0.4556731580693561
GSM2481545	4-cell	3605081.0	20572957.0	9631886	0.1752339734147113	0.0233205759558001	0.4640890488692752
GSM2481546	4-cell	1127023.0	6768768.0	4526052	0.1665034168699533	0.0108059330729532	0.4502983724874181
