region_type	control_set	stage	n_samples	n_regions_valid	mean_region_total_reads	mean_region_cpg_rows	mean_width	mean_n_cpg_target	s_epi	s_matched_weighted
age_DMR	age_DMR	MII oocyte	36	104	259.02884615384613	107.97115384615384	371.8269230769231	3.2596153846153846	0.4361939613290521	0.446365860458853
age_DMR	age_DMR	zygote/PN	30	112	240.3125	83.75892857142857	351.73214285714283	3.125	0.41196501624912624	0.42925311684139067
age_DMR	age_DMR	2-cell	20	144	245.19444444444446	92.94444444444444	314.40277777777777	3.048611111111111	0.3524717409010539	0.3753126443467982
age_DMR	age_DMR	4-cell	25	129	271.06201550387595	101.63565891472868	326.90697674418607	3.108527131782946	0.2927970071144575	0.323726010969903
age_DMR	age_DMR	8-cell	48	106	410.3207547169811	150.16981132075472	366.5566037735849	3.2452830188679247	0.3617215186690529	0.3830423615266949
age_DMR	age_DMR	morula	8	56	29.464285714285715	19.053571428571427	402.92857142857144	3.232142857142857	0.2684453846984667	0.27778171654404055
age_DMR	age_DMR	blastocyst	5	147	77.83673469387755	35.53741496598639	312.6530612244898	3.020408163265306	0.2848190184777659	0.31271813079530414
age_DMR	age_DMR	ICM	19	141	243.6950354609929	95.17021276595744	319.9078014184397	3.0425531914893615	0.3290613097633697	0.34734587696247116
age_DMR	age_DMR	TE	13	147	136.39455782312925	54.93197278911565	312.85714285714283	3.0272108843537415	0.3017228059412761	0.32198342659883317
matched_non_age_window	matched_non_age_0000	MII oocyte	36	31	179.29032258064515	87.61290322580645	451.5806451612903	3.5161290322580645	0.4269558357668064	0.4427005926114659
matched_non_age_window	matched_non_age_0000	zygote/PN	30	31	168.83870967741936	61.87096774193548	439.1290322580645	3.4838709677419355	0.4616239954430008	0.46030429037685877
matched_non_age_window	matched_non_age_0000	2-cell	20	64	114.59375	51.671875	442.421875	3.375	0.48042196579788393	0.4834445143623216
matched_non_age_window	matched_non_age_0000	4-cell	25	48	136.04166666666666	59.854166666666664	445.4791666666667	3.4166666666666665	0.4671555321065235	0.4827706895874637
matched_non_age_window	matched_non_age_0000	8-cell	48	35	231.0	100.42857142857143	449.54285714285714	3.5714285714285716	0.4877271522326588	0.5001039181229927
matched_non_age_window	matched_non_age_0000	morula	8	11	21.90909090909091	13.636363636363637	518.9090909090909	4.2727272727272725	0.4118066626473817	0.46631686986184223
matched_non_age_window	matched_non_age_0000	blastocyst	5	76	35.63157894736842	18.763157894736842	420.0131578947368	3.3947368421052633	0.31407279938836397	0.30738953341914516
matched_non_age_window	matched_non_age_0000	ICM	19	63	112.42857142857143	53.57142857142857	413.74603174603175	3.2857142857142856	0.4435781553371007	0.45356560447175076
matched_non_age_window	matched_non_age_0000	TE	13	63	69.2063492063492	32.61904761904762	435.3015873015873	3.4126984126984126	0.4686925121848648	0.4836364968073031
