cluster_name	latent_residual_delta_beta	observed_minus_strict_pred_delta_beta	strict_model_delta_beta_8cell_to_morula	abs_latent_residual_delta_beta	signed_latent_residual_direction	PC_loading_norm	PC1_loading	residual_contribution_PC1	PC2_loading	residual_contribution_PC2	PC3_loading	residual_contribution_PC3	residual_alignment_score	abs_residual_alignment_score	module_id	module_index	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	basin_residual_rank	width_bin	cpg_bin	overlap_GSE101571_8cell_2pn	overlap_GSE101571_8cell_3pn	overlap_GSE101571_icm_2pn	overlap_GSE101571_icm_3pn
cluster_2623	-0.1966477625952775	-0.0613144088378704	0.0613144088378704	0.1966477625952775	-1.0	0.2880882000316785	0.0277110451522805	-0.0219307561201714	0.1260602623647947	-0.0042669444185453	0.2575572154426659	-0.4938683407378922	0.0120573413128193	0.0120573413128193	M05	5	age_DMR	age_DMR	cluster_2623	chr15	37190548	37190694	146	2	0.033252448	1	1	0	False	False	False	False
cluster_6262	-0.1912454605053165	-0.2232955999872511	0.147201323892975	0.1912454605053165	-1.0	0.22489344098978	0.1632347683861509	-0.1291853799139269	0.0278581852184817	-0.0009429563741888	0.1521689577623375	-0.2917853827264619	0.0427042698483727	0.0427042698483727	M10	10	age_DMR	age_DMR	cluster_6262	chr6	31628935	31629199	264	3	-0.037492605	2	2	2	True	True	False	False
cluster_6892	-0.1797887109823562	-0.1013730936894064	0.056928649244962	0.1797887109823562	-1.0	0.2732296217193122	0.0275610449749262	-0.021812044707828	0.1644978423539801	-0.0055679969018618	0.2164145901866453	-0.4149769766040267	0.018225737842712	0.018225737842712	M05	5	age_DMR	age_DMR	cluster_6892	chr7	37947051	37947061	10	2	0.024035571	3	0	0	False	False	False	False
cluster_5678	-0.1645691559665318	0.2892455965286077	0.355229971476372	0.1645691559665318	-1.0	0.2093552302740935	0.1117771941195308	-0.0884614192846764	0.0603234870188668	-0.0020418565011191	0.1664227996152211	-0.3191172562013519	-0.047600903687749	0.047600903687749	M10	10	age_DMR	age_DMR	cluster_5678	chr4	186425697	186425754	57	3	0.066265623	4	0	2	False	False	False	False
cluster_3275	-0.1422064863349969	-0.0982214121186156	0.0315547454519489	0.1422064863349969	-1.0	0.2647480243480902	0.0079145450620712	-0.0062636380766066	0.1376428889653156	-0.004658998369553	0.2260161752838924	-0.4333881047577504	0.01396772190025	0.01396772190025	M05	5	age_DMR	age_DMR	cluster_3275	chr17	10421635	10422077	442	3	0.045068689	5	3	2	False	False	False	False
cluster_4373	-0.1361948309072878	-0.433864336909323	-0.038146245101259	0.1361948309072878	-1.0	0.1889114726963323	0.1149454232445261	-0.090968782680437	0.0440881445559217	-0.0014923153324282	0.1432875769250426	-0.274755252896717	0.0590900800020678	0.0590900800020678	M01	1	age_DMR	age_DMR	cluster_4373	chr2	49382159	49382401	242	3	0.049797989	6	2	2	False	False	False	False
cluster_4141	-0.1345314971598012	-0.3230115427412088	-0.1695810498513836	0.1345314971598012	-1.0	0.2111363148294087	0.07322648482591	-0.0579520610438724	0.0994110778807558	-0.0033649108446035	0.1712713138688738	-0.3284143270886106	0.0434552264448719	0.0434552264448719	M05	5	age_DMR	age_DMR	cluster_4141	chr19	51858208	51858276	68	2	-0.044835746	7	0	0	False	False	False	False
cluster_7042	-0.1297927692615848	0.0535308737787312	0.0603580151101576	0.1297927692615848	-1.0	0.2426501263390196	0.0299588367363791	-0.0237096774408558	0.1059008754610605	-0.0035845804299534	0.21625576637474	-0.4146724304769826	-0.0069479203487338	0.0069479203487338	M05	5	age_DMR	age_DMR	cluster_7042	chr7	108168130	108168721	591	3	0.0377521	8	4	2	False	False	False	False
cluster_4605	-0.1245572055941755	0.0665854994779426	0.0334145005220573	0.1245572055941755	-1.0	0.2110846260673856	0.1782155143224307	-0.141041269282999	0.0664236486086159	-0.0022483375123381	0.0915633590598259	-0.1755735871485629	-0.0082937037480649	0.0082937037480649	M01	1	age_DMR	age_DMR	cluster_4605	chr2	227288327	227288518	191	2	0.049177448	9	1	0	False	False	False	False
cluster_6498	0.1233684733597841	0.6839411513095702	-0.1839411513095702	0.1233684733597841	1.0	0.2341773019090066	0.0561488922410204	-0.0444367094560583	-0.0097626123282461	0.0003304492899109	-0.2271365272914435	0.435536390085578	0.0843767757049948	0.0843767757049948	M12	12	age_DMR	age_DMR	cluster_6498	chr6	132931714	132931736	22	2	0.017322151	10	0	0	False	False	False	False
