cluster_name	beta_8cell	beta_morula	beta_blastocyst	module_id	module_index	basin_residual_rank	latent_residual_delta_beta	abs_latent_residual_delta_beta	signed_latent_residual_direction	chr	start	end	width	n_cpg_target	branch	entry_change	exit_change	curvature	rebound_ratio	signed_duality	is_u_shape	is_inverted_u	is_residual_ranked	is_priority_residual_module
cluster_1007	0.0661375661375661	0.0	0.1015873015873015	M00	0	94	0.0125476901199886	0.0125476901199886	1.0	chr10	116444240	116444463	224	3	other	-0.0661375661375661	0.1015873015873015	0.1677248677248676	1.535999999976775	1	True	False	True	False
cluster_1126	0.1071439628482972	0.0	0.1243386243386243	M00	0	91	-0.0135334574224416	0.0135334574224416	-1.0	chr10	134661502	134661640	139	3	other	-0.1071439628482972	0.1243386243386243	0.2314825871869215	1.160481851072768	1	True	False	True	False
cluster_123	0.00422812334249	0.0	0.0206896551724137	M11	11	137	-0.0044926365869018	0.0044926365869018	-1.0	chr1	6519923	6520194	272	2	other	-0.00422812334249	0.0206896551724137	0.024917778514903698	4.8933423865860854	1	True	False	True	False
cluster_125	0.1313326179992846	0.0	0.0619047619047618	M07	7	27	-0.0639287189875389	0.0639287189875389	-1.0	chr1	6529710	6530205	496	2	other	-0.1313326179992846	0.0619047619047618	0.1932373799040464	0.47135862246062626	1	True	False	True	False
cluster_1257	0.0121212121212121	0.0	0.019047619047619	M02	2	109	-0.0096917226454566	0.0096917226454566	-1.0	chr11	2909690	2909715	26	3	access	-0.0121212121212121	0.019047619047619	0.031168831168831103	1.5714285712989273	1	True	False	True	True
cluster_126	0.0410987912727881	0.0208333333333333	0.0547157610972477	M06	6	90	-0.0135635274944179	0.0135635274944179	-1.0	chr1	6546027	6546646	620	4	other	-0.0202654579394548	0.0338824277639144	0.054147885703369196	1.6719300330379807	1	True	False	True	False
cluster_1333	0.0696193889575277	0.0080645161290322	0.025541346973572	M04	4	62	-0.023856994352479	0.023856994352479	-1.0	chr11	44328423	44329915	1493	3	other	-0.0615548728284955	0.017476830844539798	0.0790317036730353	0.2839227837079594	1	True	False	True	False
cluster_1387	0.2833333333333333	0.1428571428571428	0.0	M12	12	32	0.0591703250537913	0.0591703250537913	1.0	chr11	59824038	59824089	52	2	closure	-0.14047619047619053	-0.1428571428571428	-0.0023809523809522615	1.0169491525351326	-1	False	False	True	True
cluster_1406	0.0055555555555555	0.4705882352941176	0.0	M07	7	120	0.0074696948770885	0.0074696948770885	1.0	chr11	62559856	62559882	27	2	other	0.4650326797385621	-0.4705882352941176	-0.9356209150326796	1.0119465917054837	1	False	True	True	False
cluster_1523	0.0489679061018454	0.4285714285714285	0.0694699680164796	M06	6	53	0.0286577847525831	0.0286577847525831	1.0	chr11	74978433	74978559	127	2	other	0.37960352246958307	-0.3591014605549489	-0.7387049830245319	0.9459908543993478	1	False	True	True	False
cluster_1556	0.0333333333333333	0.0	0.1	M00	0	48	-0.0326013937956062	0.0326013937956062	-1.0	chr11	108408950	108408962	13	2	other	-0.0333333333333333	0.1	0.1333333333333333	2.9999999999100035	1	True	False	True	False
cluster_1564	0.0074074074074074	0.0	0.0	M02	2	123	-0.0071050622888113	0.0071050622888113	-1.0	chr11	111956647	111956885	239	6	access	-0.0074074074074074	0.0	0.0074074074074074	0.0	0	False	False	True	True
cluster_1586	0.0074074074074074	0.0	0.1399999999999999	M00	0	81	0.0172386176409699	0.0172386176409699	1.0	chr11	117688335	117688338	4	2	other	-0.0074074074074074	0.1399999999999999	0.1474074074074073	18.899999997448504	1	True	False	True	False
cluster_1607	0.0296949891067538	0.5	0.0181818181818181	M06	6	98	0.0117056333091945	0.0117056333091945	1.0	chr11	122756770	122756965	196	3	other	0.4703050108932462	-0.4818181818181819	-0.9521231927114281	1.0244802216800633	1	False	True	True	False
cluster_1688	0.0444444444444444	0.0	0.0	M02	2	64	0.0232575833755816	0.0232575833755816	1.0	chr12	1738035	1738060	26	2	access	-0.0444444444444444	0.0	0.0444444444444444	0.0	0	False	False	True	True
cluster_1715	0.0264699970019118	0.0	0.0457076023391812	M06	6	60	-0.0242076987155792	0.0242076987155792	-1.0	chr12	7032991	7033911	921	8	other	-0.0264699970019118	0.0457076023391812	0.072177599341093	1.7267702121066804	1	True	False	True	False
cluster_1718	0.1469208776971304	0.7	0.1214035087719298	M00	0	40	0.0448208684134199	0.0448208684134199	1.0	chr12	7188165	7188426	262	3	other	0.5530791223028696	-0.5785964912280701	-1.1316756135309396	1.046136923082374	1	False	True	True	False
cluster_1742	0.515904139433551	0.25	0.1666666666666666	M08	8	13	0.1109335240179164	0.1109335240179164	1.0	chr12	11151430	11151622	193	4	other	-0.26590413943355096	-0.0833333333333334	0.18257080610021756	0.31339614911803537	-1	False	False	True	False
cluster_1758	0.9762962962962964	0.5	0.1333333333333333	M01	1	43	0.0414697851795486	0.0414697851795486	1.0	chr12	20848285	20848473	189	2	closure	-0.47629629629629644	-0.3666666666666667	0.10962962962962974	0.7698289269035158	-1	False	False	True	True
cluster_1764	0.0470588235294117	0.5	0.5	M15	15	34	-0.0569407704222629	0.0569407704222629	-1.0	chr12	25801455	25801621	167	4	other	0.4529411764705883	0.0	-0.4529411764705883	0.0	0	False	False	True	False
cluster_1806	0.1016381766381766	0.5	0.0210526315789473	M06	6	66	0.0225683910443349	0.0225683910443349	1.0	chr12	49371182	49371310	129	2	other	0.3983618233618234	-0.4789473684210527	-0.877309191782876	1.2022923391050775	1	False	True	True	False
cluster_1851	0.0083333333333333	0.0	0.0	M02	2	130	-0.0059938138733272	0.0059938138733272	-1.0	chr12	56131768	56132083	316	2	access	-0.0083333333333333	0.0	0.0083333333333333	0.0	0	False	False	True	True
cluster_1921	0.0	0.0	0.2	M08	8	149	-0.0020292941244891	0.0020292941244891	-1.0	chr12	101988756	101988803	48	2	other	0.0	0.2	0.2	200000000000.0	0	False	False	True	False
cluster_1922	0.1019795657726692	0.5	0.0333333333333333	M04	4	129	0.0063867158268501	0.0063867158268501	1.0	chr12	102872603	102873312	710	4	other	0.3980204342273308	-0.4666666666666667	-0.8646871008939975	1.172469115992562	1	False	True	True	False
cluster_1976	0.9277777777777778	1.0	0.3333333333333333	M01	1	119	-0.0077316862708786	0.0077316862708786	-1.0	chr12	120242490	120242513	24	2	closure	0.07222222222222219	-0.6666666666666667	-0.7388888888888889	9.230769230641425	1	False	True	True	True
cluster_2004	0.0034211134211134	0.0	0.0	M11	11	82	0.0160837424277074	0.0160837424277074	1.0	chr12	124763658	124763800	143	2	other	-0.0034211134211134	0.0	0.0034211134211134	0.0	0	False	False	True	False
cluster_2126	0.0037037037037037	0.0	0.0	M02	2	72	0.020437472066274	0.020437472066274	1.0	chr13	22058122	22058128	7	2	access	-0.0037037037037037	0.0	0.0037037037037037	0.0	0	False	False	True	True
cluster_2190	0.3555555555555555	0.0	0.0	M12	12	25	0.0710896289019975	0.0710896289019975	1.0	chr13	58299015	58299073	59	2	closure	-0.3555555555555555	0.0	0.3555555555555555	0.0	0	False	False	True	True
cluster_23	0.0305244659298547	0.015625	0.0093939393939393	M06	6	103	0.0109137307456697	0.0109137307456697	1.0	chr1	1135492	1135955	464	2	other	-0.0148994659298547	-0.0062310606060607	0.008668405323794	0.41820697701365583	-1	False	False	True	False
cluster_2324	0.0869237298649063	0.0	0.1120401337792642	M14	14	71	0.0206743665662644	0.0206743665662644	1.0	chr13	114865944	114866221	278	2	other	-0.0869237298649063	0.1120401337792642	0.1989638636441705	1.2889476090373013	1	True	False	True	False
cluster_2355	0.025448530797368	0.05625	0.0153846153846153	M11	11	131	0.0058218859076673	0.0058218859076673	1.0	chr14	23525003	23525720	718	3	other	0.030801469202632003	-0.0408653846153847	-0.0716668538180167	1.3267349146632914	1	False	True	True	False
cluster_2365	0.3740033816558312	0.046875	0.0367167919799498	M07	7	42	-0.0420659517157953	0.0420659517157953	-1.0	chr14	24630327	24630512	186	6	other	-0.3271283816558312	-0.0101582080200502	0.316970173635781	0.03105266491583878	-1	False	False	True	False
cluster_242	0.5869483537904592	0.375	0.36	M01	1	21	0.0773625907521746	0.0773625907521746	1.0	chr1	33231070	33231109	40	2	closure	-0.21194835379045918	-0.015000000000000013	0.19694835379045916	0.07077195803445048	-1	False	False	True	True
cluster_2623	0.0	0.0	0.0	M05	5	1	-0.1966477625952775	0.1966477625952775	-1.0	chr15	37190548	37190694	147	2	closure	0.0	0.0	0.0	0.0	0	False	False	True	True
cluster_2637	0.0738163071496404	0.0	0.0663101604278074	M06	6	153	-0.0010649187275356	0.0010649187275356	-1.0	chr15	48413040	48413344	305	5	other	-0.0738163071496404	0.0663101604278074	0.1401264675774478	0.8983131639528531	1	True	False	True	False
cluster_2727	0.0011111111111111	0.0	0.0	M02	2	111	0.0090489299184929	0.0090489299184929	1.0	chr15	91447374	91447749	376	3	access	-0.0011111111111111	0.0	0.0011111111111111	0.0	0	False	False	True	True
cluster_2743	0.0555555555555555	0.0	0.1	M07	7	11	-0.1179709977870684	0.1179709977870684	-1.0	chr15	96894342	96894509	168	2	other	-0.0555555555555555	0.1	0.1555555555555555	1.799999999967602	1	True	False	True	False
cluster_2776	0.0250542501400625	0.125	0.0378378378378378	M14	14	68	-0.0224303631697264	0.0224303631697264	-1.0	chr16	685580	685686	107	2	other	0.0999457498599375	-0.0871621621621622	-0.1871079120220997	0.8720947342276972	1	False	True	True	False
cluster_2832	0.0090988429283454	0.0	0.0114285714285714	M02	2	143	0.0037662201832184	0.0037662201832184	1.0	chr16	2073518	2073792	275	2	access	-0.0090988429283454	0.0114285714285714	0.020527414356916802	1.2560466772881866	1	True	False	True	True
cluster_2910	0.1057981233011969	0.025	0.1687830687830687	M00	0	152	0.0014337262853429	0.0014337262853429	1.0	chr16	27899239	27899404	166	2	other	-0.0807981233011969	0.1437830687830687	0.22458119208426558	1.7795347578222678	1	True	False	True	False
cluster_293	0.0174603174603174	0.0	0.1	M00	0	102	-0.0113203313595498	0.0113203313595498	-1.0	chr1	47901555	47902085	531	4	other	-0.0174603174603174	0.1	0.1174603174603174	5.727272726944732	1	True	False	True	False
cluster_3123	0.6639058456800905	0.4739130434782609	0.3652951607734216	M01	1	107	0.0100925810247043	0.0100925810247043	1.0	chr16	88165722	88165938	217	2	closure	-0.18999280220182957	-0.1086178827048393	0.08137491949699027	0.5716947244605756	-1	False	False	True	True
cluster_3133	0.0226437472965605	0.0833333333333333	0.0554112554112554	M14	14	73	-0.0204314138955557	0.0204314138955557	-1.0	chr16	88717755	88717989	235	3	other	0.0606895860367728	-0.027922077922077904	-0.08861166395885071	0.4600802171347715	1	False	True	True	False
cluster_315	0.0666666666666666	0.0	0.08	M00	0	144	-0.0035426819026432	0.0035426819026432	-1.0	chr1	66797701	66798063	363	2	other	-0.0666666666666666	0.08	0.1466666666666666	1.1999999999820012	1	True	False	True	False
cluster_3227	0.1349911816578483	0.0	0.0666666666666666	M00	0	79	0.0182982290311602	0.0182982290311602	1.0	chr17	4486580	4486934	355	2	other	-0.1349911816578483	0.0666666666666666	0.2016578483245149	0.4938594199074987	1	True	False	True	False
