cluster_name	max_velocity	morula_entry_velocity	blastocyst_exit_velocity	morula_acceleration	prediction_importance_abs_coef_m_j	reset_dynamic_score	beta_8cell	beta_morula	beta_blastocyst	velocity_MII_oocyte_to_zygote_PN	velocity_zygote_PN_to_2-cell	velocity_2-cell_to_4-cell	velocity_4-cell_to_8-cell	velocity_8-cell_to_morula	velocity_morula_to_blastocyst	region_type	control_set	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr	dynamic_rank
cluster_916	6.0	6.0	-6.0	-72.0	8.71090488601494	44.17772622150373	0.0	1.0	0.0	-0.05555555555555555	0.30000000000000004	-0.26	-0.04	6.0	-6.0	age_DMR	age_DMR	cluster_916	chr10	74870240	74870311	72	2	-0.025276367	1
cluster_3348	6.0	5.846153846153847	-6.0	-71.07692307692308	8.06499744554663	43.40086474600204	0.02564102564102564	1.0	0.0	0.15000000000000002	-0.4	0.16	-0.006153846153846149	5.846153846153847	-6.0	age_DMR	age_DMR	cluster_3348	chr17	38911538	38911540	3	2	0.023898612	2
cluster_5977	5.730909090909091	5.591854469590602	-5.730909090909091	-67.93658136299815	7.876043303880419	41.52915597705978	0.06802425506823308	1.0	0.044848484848484846	0.19053140096618357	-0.13878151342682235	-0.08350124729072088	0.16434133460520264	5.591854469590602	-5.730909090909091	age_DMR	age_DMR	cluster_5977	chr5	147040667	147040773	107	3	0.060793808	3
cluster_5215	5.522405372405373	5.522405372405373	-4.5	-60.13443223443223	6.980352535519803	37.334709623501446	0.07959910459910459	1.0	0.25	0.3339285714285715	0.3096969696969698	-0.29007792207792227	-0.2586910866910867	5.522405372405373	-4.5	age_DMR	age_DMR	cluster_5215	chr3	63428234	63428840	607	3	0.019791166	4
cluster_4532	5.667474747474748	5.667474747474748	-4.2	-59.20484848484849	6.947191536712622	37.00669687407714	0.055420875420875426	1.0	0.3	0.7928937728937729	0.14214285714285707	-0.437369337979094	-0.17796255235279623	5.667474747474748	-4.2	age_DMR	age_DMR	cluster_4532	chr2	159651559	159651918	360	3	0.015502877	5
cluster_6498	5.828571428571429	3.0	-5.828571428571429	-52.971428571428575	7.017405153229162	31.24006557402158	0.5	1.0	0.02857142857142857	-3.0	0.30000000000000004	-0.30000000000000004	3.0	3.0	-5.828571428571429	age_DMR	age_DMR	cluster_6498	chr6	132931714	132931736	23	2	0.017322151	6
cluster_4026	5.4	3.7600000000000002	-4.32	-48.480000000000004	8.262710260190826	30.06567756504771	0.3733333333333333	1.0	0.27999999999999997	-5.4	4.800000000000001	-0.06000000000000005	-3.1000000000000005	3.7600000000000002	-4.32	age_DMR	age_DMR	cluster_4026	chr19	39806522	39806765	244	2	-0.028841341	7
cluster_3762	3.8285714285714283	3.586507936507936	-3.8285714285714283	-44.49047619047619	6.565220599249744	27.473051181558464	0.10224867724867726	0.7	0.06190476190476191	-2.541758241758242	0.6583333333333333	-0.8586103896103896	0.34710245310245313	3.586507936507936	-3.8285714285714283	age_DMR	age_DMR	cluster_3762	chr19	863226	863244	19	2	-0.027459185	8
cluster_643	4.15812989467717	4.15812989467717	-3.0043781642086724	-42.97504835331506	6.251906177055265	27.208630615598516	0.1819783508871383	0.875	0.3742703059652212	-0.5671908625396995	0.26069627589591293	0.5064918836554866	-0.08236933627985171	4.15812989467717	-3.0043781642086724	age_DMR	age_DMR	cluster_643	chr1	236192895	236192973	79	3	0.045617076	9
cluster_4909	3.659999999999999	-3.659999999999999	3.4533333333333336	42.67999999999999	6.568863974329786	26.642215993582443	0.6099999999999998	0.0	0.5755555555555556	1.6716666666666669	-1.186666666666667	-0.6333333333333334	3.5999999999999988	-3.659999999999999	3.4533333333333336	age_DMR	age_DMR	cluster_4909	chr21	32014696	32015231	536	2	0.023414564	10
cluster_1718	3.4715789473684207	3.318474733817218	-3.4715789473684207	-40.740322087113825	6.210509495902664	25.2412631513498	0.1469208776971304	0.7	0.1214035087719298	0.377044252044252	-0.007762266802964379	-0.5852728534747405	0.71741752931763	3.318474733817218	-3.4715789473684207	age_DMR	age_DMR	cluster_1718	chr12	7188165	7188426	262	3	0.013745268	11
cluster_6143	4.822222222222224	-4.822222222222224	1.2000000000000002	36.13333333333335	6.619210955208531	24.54369162769103	0.8037037037037039	0.0	0.2	2.8333333333333335	-2.7	-0.30000000000000004	4.822222222222224	-4.822222222222224	1.2000000000000002	age_DMR	age_DMR	cluster_6143	chr6	25650786	25651144	359	2	0.008409488	12
cluster_7072	3.7393405188162228	-3.7393405188162228	2.0064777327935226	34.474909509658474	5.825925552422094	22.433276661750984	0.6232234198027038	0.0	0.3344129554655871	-1.0226495726495732	-1.7806729756386508	-0.5393026043369293	1.3533331928088967	-3.7393405188162228	2.0064777327935226	age_DMR	age_DMR	cluster_7072	chr7	132435910	132436239	330	2	0.082616718	13
cluster_4373	4.2700000000000005	-2.832063492063493	3.0	34.992380952380955	5.945652980982167	21.81466721349951	0.4720105820105821	0.0	0.5	1.383333333333333	-0.8500000000000003	-4.2700000000000005	2.1520634920634927	-2.832063492063493	3.0	age_DMR	age_DMR	cluster_4373	chr2	49382159	49382401	243	3	0.049797989	14
cluster_1607	2.890909090909091	2.8218300653594772	-2.890909090909091	-34.27643493761141	5.959944669842854	21.450033701625898	0.029694989106753816	0.5	0.01818181818181818	0.49935185185185194	-0.1209722222222222	-0.2698214285714287	-0.3132586367880485	2.8218300653594772	-2.890909090909091	age_DMR	age_DMR	cluster_1607	chr11	122756770	122756965	196	3	0.023808391	15
