cluster_name	chr	start	end	nearest_gene	gene_id	gene_type	dist_to_tss	genomic_context	module_id	basin_residual_rank	x_morula	x_blast	is_mzero	is_remeth
cluster_1007	chr10	116444240	116444463	ABLIM1	ENSG00000099204.14	protein_coding	410.5	promoter_2kb	M00	94	0.0	0.1015873015873016	1	1
cluster_1126	chr10	134661502	134661640	NKX6-2	ENSG00000148826.6	protein_coding	-62015.0	intergenic	M00	91	0.0	0.12433862433862433	1	1
cluster_123	chr1	6519923	6520194	TNFRSF25	ENSG00000215788.5	protein_coding	6196.5	intergenic	M11	137	0.0	0.020689655172413796	1	0
cluster_125	chr1	6529710	6530205	TNFRSF25	ENSG00000215788.5	protein_coding	-3702.5	promoter_5kb	M07	27	0.0	0.061904761904761886	1	1
cluster_1257	chr11	2909690	2909715	CDKN1C	ENSG00000129757.8	protein_coding	-2591.5	promoter_5kb	M02	109	0.0	0.019047619047619046	1	0
cluster_126	chr1	6546027	6546646	TNFRSF25	ENSG00000215788.5	protein_coding	-20081.5	intergenic	M06	90	0.02083333333333333	0.054715761097247774	0	0
cluster_1333	chr11	44328423	44329915	ALX4	ENSG00000052850.5	protein_coding	2547.0	promoter_5kb	M04	62	0.008064516129032258	0.025541346973572042	1	0
cluster_1387	chr11	59824038	59824089	MS4A3	ENSG00000149516.9	protein_coding	-3.5	promoter_2kb	M12	32	0.14285714285714285	0.0	0	0
cluster_1406	chr11	62559856	62559882	TMEM223	ENSG00000168569.7	protein_coding	-376.0	promoter_2kb	M07	120	0.4705882352941176	0.0	0	0
cluster_1523	chr11	74978433	74978559	CTD-2562J17.9	ENSG00000254963.1	antisense	-3163.0	promoter_5kb	M06	53	0.42857142857142855	0.06946996801647964	0	0
cluster_1556	chr11	108408950	108408962	KDELC2	ENSG00000178202.8	protein_coding	-39797.0	intergenic	M00	48	0.0	0.1	1	1
cluster_1564	chr11	111956647	111956885	SDHD	ENSG00000204370.4	protein_coding	731.0	promoter_2kb	M02	123	0.0	0.0	1	0
cluster_1586	chr11	117688335	117688338	DSCAML1	ENSG00000177103.9	protein_coding	-96.5	promoter_2kb	M00	81	0.0	0.14	1	1
cluster_1607	chr11	122756770	122756965	C11orf63	ENSG00000109944.6	protein_coding	-3476.5	promoter_5kb	M06	98	0.5	0.01818181818181818	0	0
cluster_1688	chr12	1738035	1738060	MIR3649	ENSG00000266043.1	miRNA	31498.5	intergenic	M02	64	0.0	0.0	1	0
cluster_1715	chr12	7032991	7033911	ATN1	ENSG00000111676.10	protein_coding	175.0	promoter_2kb	M06	60	0.0	0.04570760233918129	1	0
cluster_1718	chr12	7188165	7188426	RP3-461F17.2	ENSG00000257078.1	pseudogene	-39350.5	intergenic	M00	40	0.7	0.1214035087719298	0	0
cluster_1742	chr12	11151430	11151622	TAS2R20	ENSG00000255837.1	protein_coding	-1052.0	promoter_2kb	M08	13	0.25	0.16666666666666666	0	0
cluster_1758	chr12	20848285	20848473	SLCO1C1	ENSG00000139155.4	protein_coding	-90.0	promoter_2kb	M01	43	0.5	0.13333333333333333	0	0
