cluster_name	chr	start	end	nearest_gene	distance_to_TSS	gene_type	simple_genomic_context
cluster_2623	chr15	37190548	37190694	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6262	chr6	31628935	31629199	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6892	chr7	37947051	37947061	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_5678	chr4	186425697	186425754	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_3275	chr17	10421635	10422077	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4373	chr2	49382159	49382401	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4141	chr19	51858208	51858276	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_7042	chr7	108168130	108168721	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4605	chr2	227288327	227288518	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6498	chr6	132931714	132931736	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_2743	chr15	96894342	96894509	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6960	chr7	76828885	76829845	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_1742	chr12	11151430	11151622	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6655	chr6	168963358	168963731	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4404	chr2	74607470	74607600	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_543	chr1	198828060	198828249	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4026	chr19	39806522	39806765	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4904	chr21	31661731	31661998	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6651	chr6	168867541	168867685	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_5923	chr5	120191823	120192115	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_242	chr1	33231070	33231109	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6087	chr6	2437142	2437147	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6495	chr6	130182053	130182551	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_7072	chr7	132435910	132436239	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_2190	chr13	58299015	58299073	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_587	chr1	213122829	213123025	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_125	chr1	6529710	6530205	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_5002	chr22	26829758	26830041	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_643	chr1	236192895	236192973	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_832	chr10	17347047	17347391	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_5679	chr4	186427685	186427765	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_1387	chr11	59824038	59824089	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6114	chr6	7248862	7248983	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_1764	chr12	25801455	25801621	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_5661	chr4	177190237	177190421	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6975	chr7	94927713	94928249	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_3348	chr17	38911538	38911540	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_5977	chr5	147040667	147040773	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4909	chr21	32014696	32015231	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_1718	chr12	7188165	7188426	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6532	chr6	152702330	152702463	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_2365	chr14	24630327	24630512	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_1758	chr12	20848285	20848473	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6604	chr6	167173257	167173343	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_3519	chr17	76481380	76481729	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_916	chr10	74870240	74870311	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_3684	chr18	61817088	61817320	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_1556	chr11	108408950	108408962	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_6143	chr6	25650786	25651144	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_5240	chr3	99904510	99904609	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4364	chr2	44502740	44502977	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_950	chr10	95123718	95123774	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_1523	chr11	74978433	74978559	NA_no_gene_tss_file		NA	unclassified_without_gene_model
cluster_4907	chr21	31802169	31802829	NA_no_gene_tss_file		NA	unclassified_without_gene_model
