region_type	control_set	cluster_name	matched_age_cluster	chr	start	end	width	n_cpg_target	age_weight_5yr
age_DMR	age_DMR	cluster_3123	cluster_3123	chr16	88165722	88165938	217	2	0.029691182
age_DMR	age_DMR	cluster_840	cluster_840	chr10	23287263	23287284	22	2	0.08106502
age_DMR	age_DMR	cluster_7052	cluster_7052	chr7	121651766	121652024	259	4	0.031851411
age_DMR	age_DMR	cluster_915	cluster_915	chr10	74714308	74714935	628	4	0.034264481
age_DMR	age_DMR	cluster_5923	cluster_5923	chr5	120191823	120192115	293	2	0.033485903
age_DMR	age_DMR	cluster_4026	cluster_4026	chr19	39806522	39806765	244	2	-0.028841341
age_DMR	age_DMR	cluster_2190	cluster_2190	chr13	58299015	58299073	59	2	0.067321522
age_DMR	age_DMR	cluster_483	cluster_483	chr1	158670124	158670617	494	3	0.025181528
age_DMR	age_DMR	cluster_3519	cluster_3519	chr17	76481380	76481729	350	2	0.033654647
age_DMR	age_DMR	cluster_4028	cluster_4028	chr19	40005557	40005602	46	2	-0.005814663
age_DMR	age_DMR	cluster_4364	cluster_4364	chr2	44502740	44502977	238	2	0.050410937
age_DMR	age_DMR	cluster_2776	cluster_2776	chr16	685580	685686	107	2	-0.057703016
age_DMR	age_DMR	cluster_1387	cluster_1387	chr11	59824038	59824089	52	2	0.027980847
age_DMR	age_DMR	cluster_6975	cluster_6975	chr7	94927713	94928249	537	2	0.037164296
age_DMR	age_DMR	cluster_5516	cluster_5516	chr4	15341641	15341878	238	2	0.020991971
age_DMR	age_DMR	cluster_1007	cluster_1007	chr10	116444240	116444463	224	3	0.020471085
age_DMR	age_DMR	cluster_6892	cluster_6892	chr7	37947051	37947061	11	2	0.024035571
age_DMR	age_DMR	cluster_7341	cluster_7341	chr8	1563040	1563113	74	2	0.071478852
age_DMR	age_DMR	cluster_6171	cluster_6171	chr6	29555799	29556229	431	4	0.026677932
age_DMR	age_DMR	cluster_6532	cluster_6532	chr6	152702330	152702463	134	5	0.037280463
age_DMR	age_DMR	cluster_2365	cluster_2365	chr14	24630327	24630512	186	6	-0.041337281
age_DMR	age_DMR	cluster_3133	cluster_3133	chr16	88717755	88717989	235	3	-0.018315712
age_DMR	age_DMR	cluster_3336	cluster_3336	chr17	37764503	37764802	300	3	-0.010225803
age_DMR	age_DMR	cluster_4904	cluster_4904	chr21	31661731	31661998	268	2	0.033716782
age_DMR	age_DMR	cluster_3762	cluster_3762	chr19	863226	863244	19	2	-0.027459185
age_DMR	age_DMR	cluster_1523	cluster_1523	chr11	74978433	74978559	127	2	0.066262174
age_DMR	age_DMR	cluster_3348	cluster_3348	chr17	38911538	38911540	3	2	0.023898612
age_DMR	age_DMR	cluster_6262	cluster_6262	chr6	31628935	31629199	265	3	-0.037492605
age_DMR	age_DMR	cluster_293	cluster_293	chr1	47901555	47902085	531	4	-0.033578283
age_DMR	age_DMR	cluster_643	cluster_643	chr1	236192895	236192973	79	3	0.045617076
age_DMR	age_DMR	cluster_126	cluster_126	chr1	6546027	6546646	620	4	-0.021650446
age_DMR	age_DMR	cluster_4907	cluster_4907	chr21	31802169	31802829	661	2	0.025709315
age_DMR	age_DMR	cluster_652	cluster_652	chr1	240783328	240783389	62	3	0.040863042
age_DMR	age_DMR	cluster_3275	cluster_3275	chr17	10421635	10422077	443	3	0.045068689
age_DMR	age_DMR	cluster_6143	cluster_6143	chr6	25650786	25651144	359	2	0.008409488
age_DMR	age_DMR	cluster_1976	cluster_1976	chr12	120242490	120242513	24	2	-0.025163308
age_DMR	age_DMR	cluster_543	cluster_543	chr1	198828060	198828249	190	5	0.018045133
age_DMR	age_DMR	cluster_6442	cluster_6442	chr6	54172183	54172378	196	2	0.024665217
age_DMR	age_DMR	cluster_618	cluster_618	chr1	228604953	228605010	58	2	-0.028772272
age_DMR	age_DMR	cluster_4909	cluster_4909	chr21	32014696	32015231	536	2	0.023414564
age_DMR	age_DMR	cluster_1688	cluster_1688	chr12	1738035	1738060	26	2	-0.051417718
age_DMR	age_DMR	cluster_5760	cluster_5760	chr5	1855899	1856713	815	6	-0.024623956
age_DMR	age_DMR	cluster_67	cluster_67	chr1	2559320	2559371	52	2	-0.031518464
age_DMR	age_DMR	cluster_7000	cluster_7000	chr7	100077221	100077394	174	2	-0.023266685
age_DMR	age_DMR	cluster_3369	cluster_3369	chr17	40333521	40333758	238	3	-0.012269211
age_DMR	age_DMR	cluster_3660	cluster_3660	chr18	28742633	28743074	442	2	0.042266849
age_DMR	age_DMR	cluster_4084	cluster_4084	chr19	47745212	47745582	371	2	-0.019523443
age_DMR	age_DMR	cluster_4593	cluster_4593	chr2	219860379	219860717	339	2	-0.042572963
age_DMR	age_DMR	cluster_6400	cluster_6400	chr6	36237982	36238410	429	8	0.057841086
age_DMR	age_DMR	cluster_7683	cluster_7683	chr9	34628025	34628238	214	2	-0.027870513
age_DMR	age_DMR	cluster_125	cluster_125	chr1	6529710	6530205	496	2	-0.020406298
age_DMR	age_DMR	cluster_2637	cluster_2637	chr15	48413040	48413344	305	5	0.040134182
age_DMR	age_DMR	cluster_1556	cluster_1556	chr11	108408950	108408962	13	2	0.027292831
age_DMR	age_DMR	cluster_1806	cluster_1806	chr12	49371182	49371310	129	2	-0.025223915
age_DMR	age_DMR	cluster_5307	cluster_5307	chr3	147112541	147113092	552	3	-0.024274621
age_DMR	age_DMR	cluster_6871	cluster_6871	chr7	27225772	27226329	558	7	-0.011480476
age_DMR	age_DMR	cluster_634	cluster_634	chr1	234293071	234293143	73	3	0.102996079
age_DMR	age_DMR	cluster_4420	cluster_4420	chr2	88366775	88367503	729	6	0.037238383
age_DMR	age_DMR	cluster_1257	cluster_1257	chr11	2909690	2909715	26	3	-0.042734524
age_DMR	age_DMR	cluster_2910	cluster_2910	chr16	27899239	27899404	166	2	0.041373344
age_DMR	age_DMR	cluster_4538	cluster_4538	chr2	167168604	167168852	249	2	0.027143405
age_DMR	age_DMR	cluster_6960	cluster_6960	chr7	76828885	76829845	961	3	0.062913074
age_DMR	age_DMR	cluster_832	cluster_832	chr10	17347047	17347391	345	3	0.093944091
age_DMR	age_DMR	cluster_1718	cluster_1718	chr12	7188165	7188426	262	3	0.013745268
age_DMR	age_DMR	cluster_4897	cluster_4897	chr21	17961737	17962124	388	4	0.054251055
age_DMR	age_DMR	cluster_900	cluster_900	chr10	71560212	71560231	20	2	-0.022477033
age_DMR	age_DMR	cluster_1715	cluster_1715	chr12	7032991	7033911	921	8	-0.061309439
age_DMR	age_DMR	cluster_123	cluster_123	chr1	6519923	6520194	272	2	-0.032496993
age_DMR	age_DMR	cluster_1922	cluster_1922	chr12	102872603	102873312	710	4	0.043206154
age_DMR	age_DMR	cluster_6163	cluster_6163	chr6	29274617	29275337	721	11	0.016966375
age_DMR	age_DMR	cluster_6518	cluster_6518	chr6	143929300	143929511	212	3	0.059909335
age_DMR	age_DMR	cluster_5064	cluster_5064	chr22	46370644	46371152	509	2	-0.024982701
age_DMR	age_DMR	cluster_4532	cluster_4532	chr2	159651559	159651918	360	3	0.015502877
age_DMR	age_DMR	cluster_5024	cluster_5024	chr22	32598479	32598570	92	2	-0.023901857
age_DMR	age_DMR	cluster_6651	cluster_6651	chr6	168867541	168867685	145	3	0.028197967
age_DMR	age_DMR	cluster_5928	cluster_5928	chr5	126984765	126984994	230	2	0.052801687
age_DMR	age_DMR	cluster_2324	cluster_2324	chr13	114865944	114866221	278	2	-0.070097421
age_DMR	age_DMR	cluster_3227	cluster_3227	chr17	4486580	4486934	355	2	-0.024409725
age_DMR	age_DMR	cluster_1764	cluster_1764	chr12	25801455	25801621	167	4	0.045710488
age_DMR	age_DMR	cluster_2004	cluster_2004	chr12	124763658	124763800	143	2	0.054339939
age_DMR	age_DMR	cluster_5336	cluster_5336	chr3	177315226	177315882	657	2	0.030072859
age_DMR	age_DMR	cluster_7504	cluster_7504	chr8	53080905	53081140	236	2	0.072558145
age_DMR	age_DMR	cluster_5447	cluster_5447	chr4	1794043	1794084	42	2	-0.034925917
age_DMR	age_DMR	cluster_4404	cluster_4404	chr2	74607470	74607600	131	4	-0.034161596
age_DMR	age_DMR	cluster_5252	cluster_5252	chr3	114036607	114036631	25	2	0.01909685
age_DMR	age_DMR	cluster_5656	cluster_5656	chr4	174457944	174458502	559	2	-0.038815357
age_DMR	age_DMR	cluster_4920	cluster_4920	chr21	39627271	39628679	1409	5	0.027287077
age_DMR	age_DMR	cluster_3303	cluster_3303	chr17	26553567	26554245	679	4	-0.028370305
age_DMR	age_DMR	cluster_4141	cluster_4141	chr19	51858208	51858276	69	2	-0.044835746
age_DMR	age_DMR	cluster_883	cluster_883	chr10	50816058	50816262	205	2	-0.033963623
age_DMR	age_DMR	cluster_3928	cluster_3928	chr19	13214412	13215041	630	2	-0.036694162
age_DMR	age_DMR	cluster_3978	cluster_3978	chr19	18902527	18902727	201	3	-0.036936656
age_DMR	age_DMR	cluster_5599	cluster_5599	chr4	106472990	106473806	817	4	0.044142923
age_DMR	age_DMR	cluster_7095	cluster_7095	chr7	140218068	140218338	271	3	-0.064702969
age_DMR	age_DMR	cluster_1851	cluster_1851	chr12	56131768	56132083	316	2	-0.015637944
